# CLCA Protocol v3.2 — F5 Opposition Table
# Language: English (en)

| Term A | Term B | Transliteration | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|---------------|---------------|---------------------|---------------|------------------|
| true | false | N/A | true, corresponding to reality | false, not corresponding to reality | Primary lexical opposition for evaluating correspondence between statements and reality. "True" indicates correspondence; "false" indicates lack of correspondence. | lexical | [CORE] |
| true | untrue | N/A | true, corresponding to reality | untrue, not true | Morphological negation of "true" using un- prefix. Functionally equivalent to "false" but formed through productive negation rather than independent lexical item. | morphological | [CORE] |
| right | wrong | N/A | right, correct, proper | wrong, incorrect, improper | Lexical opposition used for both epistemic correctness and moral evaluation. Applies to answers, actions, and judgments across multiple domains. | lexical | [CORE] |
| correct | incorrect | N/A | correct, accurate, right | incorrect, not correct, wrong | Morphological negation using in- prefix. "Correct" indicates factual accuracy; "incorrect" indicates lack of accuracy. | morphological | [CORE] |
| accurate | inaccurate | N/A | accurate, precise, exact | inaccurate, not accurate, imprecise | Morphological negation using in- prefix. Emphasizes precision and correspondence to actual values or states. | morphological | [CORE] |
| genuine | fake | N/A | genuine, authentic, real | fake, counterfeit, not genuine | Lexical opposition for authenticity of objects. "Genuine" indicates authenticity; "fake" indicates fraudulent imitation. | lexical | [CORE] |
| genuine | counterfeit | N/A | genuine, authentic, real | counterfeit, forged, fraudulent | Lexical opposition emphasizing deliberate fraud. "Counterfeit" specifically indicates fraudulent imitation, especially of currency or documents. | lexical | [CORE] |
| genuine | spurious | N/A | genuine, authentic, real | spurious, false, superficially plausible but actually false | Lexical opposition with "spurious" emphasizing deceptive appearance of plausibility. More formal register than "fake." | lexical | [CORE] |
| authentic | inauthentic | N/A | authentic, genuine, original | inauthentic, not authentic, fake | Morphological negation using in- prefix. Applies to objects, documents, and personal authenticity. | morphological | [CORE] |
| real | unreal | N/A | real, actual, existing | unreal, not real, imaginary | Morphological negation using un- prefix. Contrasts actual existence with imagination or fiction. | morphological | [CORE] |
| real | fake | N/A | real, genuine, authentic | fake, counterfeit, not genuine | Lexical opposition for authenticity. "Real" indicates genuineness; "fake" indicates fraudulent imitation. | lexical | [CORE] |
| real | ersatz | N/A | real, genuine, authentic | ersatz, substitute, artificial | Lexical opposition with "ersatz" (borrowed from German) emphasizing inferior substitution. Carries connotation of inferiority beyond mere inauthenticity. | lexical | [CORE] |
| valid | invalid | N/A | valid, sound, legitimate | invalid, not valid, unsound | Morphological negation using in- prefix. Used for logical arguments, legal documents, and administrative authorization. | morphological | [CORE] |
