# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1 | kayqa chiqaqyapun | kayqa chiqaq-ya-pu-n | [CORE] | Standard inchoative for "becomes true/verified"; directional suffixes -pu-/-mu- add aspectual nuance |
| 1 | willakuyniyki chiqaqyamun | willakuy-ni-yki chiqaq-ya-mu-n | [CORE] | "Your report becomes verified"; natural with directional -mu- "toward speaker" |
| 1 | chiqaqman kutiy | chiqaq-man kutiy | [CORE] | Alternate construction "return to truth" for restoration of truth |
| 2 | willakuyqa llullan | willakuy-qa llulla-n | [CORE] | Stative "the report is false"; standard expression |
| 2 | chiqaq nisqanqa llulla tukupun | chiqaq ni-sqa-n-qa llulla tuku-pu-n | [MARGINAL] | "What was said to be true turned out false"; uses general change verb *tukuy* |
| 2 | — | — | [NO INCHOATIVE] | NO dedicated *llullayay "become false" exists; asymmetry with *chiqaqyay* |
| 3 | unqusqaqa allinyapun | unqu-sqa-qa allin-ya-pu-n | [CORE] | "The sick one gets better"; extremely common for improvement/healing |
| 3 | ruwaynikiqa allinyamuchkan | ruway-ni-ki-qa allin-ya-mu-chka-n | [CORE] | "Your work is improving"; natural with progressive -chka- and directional -mu- |
| 4 | kayqa mana allinyapunchu | kayqa mana allin-ya-pu-n-chu | [CORE] | "This doesn't improve"; negated inchoative is standard |
| 4 | ruwaynin mana allin tukupun | ruway-ni-n mana allin tuku-pu-n | [MARGINAL] | "His deed became bad"; uses general change verb *tukuy* |
| 4 | — | — | [NO INCHOATIVE] | NO dedicated inchoative for "worsen"; asymmetry with *allinyay* |
| 5 | willakuyqa sut'iyapun | willakuy-qa sut'i-ya-pu-n | [CORE] | "The report becomes clear"; standard inchoative for clarification |
| 5 | kayqa sut'iyamuchkan | kayqa sut'i-ya-mu-chka-n | [CORE] | "This is becoming clear"; natural with progressive and directional |
| 6 | — | — | [NO COMMON EXPRESSION] | NO dedicated inchoative or common expression for "become obscure/unclear" |
| 7 | ñuqaqa pantarqani | ñuqa-qa panta-rqa-ni | [CORE] | "I made a mistake"; *pantay* itself expresses change to error state; sudden -rqo- common |
| 7 | payqa pantaypi urmaykupun | pay-qa panta-y-pi urmay-ku-pu-n | [MARGINAL] | "He/she fell into error"; more elaborate construction with "fall" |
| 8 | pantasqaqa allinman kutirimun | panta-sqa-qa allin-man kuti-ri-mu-n | [CORE] | "The error is corrected" (lit. "returns to good"); directional construction |
| 8 | kayqa chiqanman chayapun | kayqa chiqan-man chaya-pu-n | [CORE] | "This arrives at correctness"; directional construction with "arrive" |
| 8 | — | — | [NO INCHOATIVE] | NO dedicated *chiqanyay "become correct" exists |
| 9 | mankaqa hunt'ayaypun | manka-qa hunt'a-ya-y-pu-n | [CORE] | "The pot fills up"; standard inchoative for becoming full |
| 9 | tukuy hunt'ayaymuchkan | tukuy hunt'a-ya-y-mu-chka-n | [CORE] | "Everything is filling up"; natural with progressive |
| 10 | mankaqa ch'usaqyapun | manka-qa ch'usaq-ya-pu-n | [CORE] | "The pot becomes empty"; standard inchoative; symmetric with *hunt'ayay* |
| 10 | yuyayniyki ch'usaqyamun | yuyay-ni-yki ch'usaq-ya-mu-n | [CORE] | "Your thought becomes empty"; metaphorical use natural |
| 11 | wamraqa hatunyapun | wamra-qa hatun-ya-pu-n | [CORE] | "The child grows"; standard inchoative for physical/metaphorical growth |
| 11 | pantayniyki hatunyamuchkan | panta-y-ni-yki hatun-ya-mu-chka-n | [CORE] | "Your error is growing"; metaphorical magnitude increase natural |
| 12 | kayqa huch'uyyapun | kayqa huch'uy-ya-pu-n | [CORE] | "This becomes small"; standard inchoative; symmetric with *hatunyay* |
| 12 | pantayniyki huch'uyyamun | panta-y-ni-yki huch'uy-ya-mu-n | [CORE] | "Your error diminishes"; metaphorical use natural |
| 13 | wasiyki sumaqyapun | wasi-yki sumaq-ya-pu-n | [CORE] | "Your house becomes beautiful"; standard inchoative for beautification |
| 13 | kawsayninchik sumaqyamuchkan | kawsay-ni-nchik sumaq-ya-mu-chka-n | [CORE] | "Our life is becoming beautiful"; metaphorical improvement natural |
| 14 | kayqa millayyapun | kayqa millay-ya-pu-n | [CORE] | "This becomes ugly"; standard inchoative; symmetric with *sumaqyay* |
| 14 | ruwaynin millayyamun | ruway-ni-n millay-ya-mu-n | [CORE] | "His deed becomes disgusting"; metaphorical use natural |
| 15 | runaqa qhapaqyapun | runa-qa qhapaq-ya-pu-n | [CORE] | "The person becomes rich"; standard inchoative for prosperity |
| 15 | aylluninchik qhapaqyamuchkan | ayllu-ni-nchik qhapaq-ya-mu-chka-n | [CORE] | "Our community is prospering"; natural for collective prosperity |
| 16 | runaqa wakchayaypun | runa-qa wakcha-ya-y-pu-n | [CORE] | "The person becomes poor"; standard inchoative; symmetric with *qhapaqyay* |
| 16 | wamraqa wakchayaymun | wamra-qa wakcha-ya-y-mu-n | [CORE] | "The child becomes orphaned"; natural for loss of support |
| 17 | kaspiqa k'uchiyapun | kaspi-qa k'uchi-ya-pu-n | [CORE] | "The stick becomes crooked"; standard inchoative for physical bending |
| 17 | runaqa k'uchiyamun | runa-qa k'uchi-ya-mu-n | [CORE] | "The person becomes corrupt"; metaphorical moral corruption natural |
| 18 | — | — | [NO COMMON EXPRESSION] | NO dedicated inchoative for "become straight" (physical/moral); asymmetry with *k'uchiyay* |
| 19 | payqa willakuyta chiqanchan | pay-qa willakuy-ta chiqan-cha-n | [CORE] | "He/she verifies the report"; standard causative for verification |
| 19 | ñuqaykuqa kayta chiqanchanchik | ñuqayku-qa kay-ta chiqan-cha-nchik | [CORE] | "We verify this"; highly productive in formal/institutional contexts |
| 20 | payqa willakuyta llulla ruwan | pay-qa willakuy-ta llulla ruwa-n | [MARGINAL] | "He/she falsifies the report"; uses general verb *ruway* "make/do" |
| 20 | llullaman tukuchipun | llulla-man tuku-chi-pu-n | [MARGINAL] | "He/she caused it to become false"; compositional with *tukuchiy* |
| 20 | — | — | [NO CAUSATIVE] | NO dedicated *llullachay "falsify" exists; asymmetry with *chiqanchay* |
| 21 | hampiqqa unqusqata allinyachin | hampi-q-qa unqu-sqa-ta allin-ya-chi-n | [CORE] | "The healer makes the patient better"; extremely common for healing/fixing |
| 21 | ñuqaqa ruwayta allinyachini | ñuqa-qa ruwa-y-ta allin-ya-chi-ni | [CORE] | "I improve the work"; standard causative across domains |
| 22 | — | — | [NO COMMON EXPRESSION] | NO dedicated causative for "make worse"; asymmetry with *allinyachiy* |
| 23 | yachachiqqa yachayta sut'iyachin | yachachi-q-qa yacha-y-ta sut'i-ya-chi-n | [CORE] | "The teacher clarifies the knowledge"; standard causative for clarification |
| 23 | ñuqaqa kayta sut'iyachini | ñuqa-qa kay-ta sut'i-ya-chi-ni | [CORE] | "I clarify this"; very common in educational contexts |
| 24 | — | — | [NO COMMON EXPRESSION] | NO dedicated causative for "obscure/make unclear"; asymmetry with *sut'iyachiy* |
| 25 | payqa ñuqata pantachin | pay-qa ñuqa-ta panta-chi-n | [CORE] | "He/she misleads me"; standard causative for causing error |
| 25 | llullaqqa runata pantachin | llulla-q-qa runa-ta panta-chi-n | [CORE] | "The liar misleads people"; common in deception contexts |
| 26 | yachachiqqa pantasqata allinyachin | yachachi-q-qa panta-sqa-ta allin-ya-chi-n | [CORE] | "The teacher corrects the mistake"; uses *allinyachiy* "make good" |
| 26 | payqa ruwayta allinman kutichipun | pay-qa ruwa-y-ta allin-man kuti-chi-pu-n | [MARGINAL] | "He/she corrected the deed"; directional causative construction |
| 26 | — | — | [NO CAUSATIVE] | NO dedicated *chiqanchiy "correct" distinct from *chiqanchay* "verify" |
| 27 | payqa mankata hunt'achin | pay-qa manka-ta hunt'a-chi-n | [CORE] | "He/she fills the pot"; standard causative for filling |
| 27 | tukuyta hunt'achiy | tukuy-ta hunt'a-chi-y | [CORE] | "To complete everything"; natural for metaphorical completion |
| 28 | payqa mankata ch'usaqchan | pay-qa manka-ta ch'usaq-cha-n | [CORE] | "He/she empties the pot"; standard causative; symmetric with *hunt'achiy* |
| 28 | yuyayta ch'usaqchay | yuyay-ta ch'usaq-cha-y | [CORE] | "To empty thought"; metaphorical use natural |
| 29 | payqa wasiyta hatunchan | pay-qa wasi-ta hatun-cha-n | [CORE] | "He/she enlarges the house"; standard causative for physical enlargement |
| 29 | pantayta hatunchay | panta-y-ta hatun-cha-y | [CORE] | "To magnify the error"; metaphorical exaggeration natural |
| 30 | payqa pantayta huch'uyachin | pay-qa panta-y-ta huch'uy-a-chi-n | [CORE] | "He/she diminishes the error"; standard causative; symmetric with *hatunchay* |
| 30 | huch'uyachiy munani | huch'uy-a-chi-y muna-ni | [CORE] | "I want to minimize"; natural for minimization |
| 31 | payqa wasiyta sumaqyachin | pay-qa wasi-ta sumaq-ya-chi-n | [CORE] | "He/she beautifies the house"; standard causative for beautification |
| 31 | kawsayta sumaqyachiy | kawsay-ta sumaq-ya-chi-y | [CORE] | "To beautify life"; metaphorical improvement natural |
| 32 | payqa wasiyta millaychan | pay-qa wasi-ta millay-cha-n | [CORE] | "He/she makes the house ugly"; standard causative; symmetric with *sumaqyachiy* |
| 32 | ruwayta millaychay | ruwa-y-ta millay-cha-y | [CORE] | "To make the deed disgusting"; metaphorical use natural |
| 33 | payqa runata qhapaqchan | pay-qa runa-ta qhapaq-cha-n | [CORE] | "He/she enriches the person"; standard causative for enrichment |
| 33 | aylluninchikta qhapaqchay | ayllu-ni-nchik-ta qhapaq-cha-y | [CORE] | "To enrich our community"; natural for collective enrichment |
| 34 | payqa runata wakchachan | pay-qa runa-ta wakcha-cha-n | [CORE] | "He/she impoverishes the person"; standard causative; symmetric with *qhapaqchay* |
| 34 | wamrata wakchachay | wamra-ta wakcha-cha-y | [CORE] | "To orphan the child"; natural for causing loss of support |
| 35 | payqa kaspita k'uchichin | pay-qa kaspi-ta k'uchi-chi-n | [CORE] | "He/she bends the stick"; standard causative for physical bending |
| 35 | runata k'uchichiy | runa-ta k'uchi-chi-y | [CORE] | "To corrupt the person"; metaphorical moral corruption natural |
| 36 | — | — | [NO COMMON EXPRESSION] | NO dedicated causative for "straighten" (physical/moral); asymmetry with *k'uchichiy* |
| 37 | kayqa chiqaqraqmi | kayqa chiqaq-raq-mi | [CORE] | "This is still true"; continuative suffix -raq expresses stability |
| 37 | willakuyniyki chiqaqpunim | willakuy-ni-yki chiqaq-puni-mi | [CORE] | "Your report is certainly true"; emphatic -puni for continued truth |
| 37 | — | — | [NO STABILITY VERB] | NO dedicated "remain true" verb; stability via aspectual suffixes |
| 38 | kayqa llullaraqmi | kayqa llulla-raq-mi | [CORE] | "This is still false"; parallel to truth construction with -raq |
| 38 | willakuyqa llullapunim | willakuy-qa llulla-puni-mi | [CORE] | "The report is certainly false"; parallel emphatic construction |
| 38 | — | — | [NO STABILITY VERB] | NO dedicated "remain false" verb; stability via aspectual suffixes |
| 39 | kayqa allinraqmi | kayqa allin-raq-mi | [CORE] | "This is still good"; continuative suffix for stability |
| 39 | ruwaynin allinpunim | ruway-ni-n allin-puni-mi | [CORE] | "His deed is certainly good"; emphatic for continued goodness |
| 39 | — | — | [NO STABILITY VERB] | NO dedicated "remain good" verb; stability via aspectual suffixes |
| 40 | kayqa sut'iraqmi | kayqa sut'i-raq-mi | [CORE] | "This is still clear"; continuative suffix for stability |
| 40 | willakuyqa sut'ipunim | willakuy-qa sut'i-puni-mi | [CORE] | "The report is certainly clear"; emphatic for continued clarity |
| 40 | — | — | [NO STABILITY VERB] | NO dedicated "remain clear" verb; stability via aspectual suffixes |
| 41 | chiqaqpi waqaychay munani | chiqaq-pi waqaycha-y muna-ni | [MARGINAL] | "I want to guard (it) in truth"; compositional with *waqaychay* "guard" |
| 41 | mana llullaman tukukunanpaq | mana llulla-man tuku-ku-na-n-paq | [MARGINAL] | "So that it not become false"; purpose clause with negation |
| 41 | — | — | [NO PREVENTION VERB] | NO dedicated "prevent from becoming false" verb; compositional expressions |
| 42 | mana pantananpaq yachachini | mana panta-na-n-paq yachachi-ni | [MARGINAL] | "I teach so that (one) not err"; purpose clause with negation |
| 42 | pantaymanta waqaychay | panta-y-manta waqaycha-y | [MARGINAL] | "To guard from error"; ablative + *waqaychay* "guard" |
| 42 | — | — | [NO PREVENTION VERB] | NO dedicated "prevent from erring" verb; compositional expressions |
