| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| totoo | totoo | Root *totoo*; possibly reduplicated base | true, real, genuine, actually | Base predicate used to affirm the truth or reality of a proposition or state of affairs in everyday speech. Used predicatively to assert that a statement or situation corresponds to reality (*Totoo ba iyan?* — "Is that true?"). The foundational predicate of truth-assertion in everyday speech. Used across all registers. | [CORE] |
| katotohanan | katotohanan | *ka-* + *totoo* + *-nan* / *-an* (circumfix forming abstract noun); "the state of being *totoo*" | truth, the truth, reality, the true state of affairs | The standard abstract noun for truth in philosophical, religious, legal, and everyday discourse. Used in formal declarations, moral exhortations, and Bible translations. *Sabihin ang katotohanan* ("tell the truth") is a standard fixed phrase. | [CORE] |
| makatotohanan | makatotohanan | *maka-* + *totoo* + *-an*; "in accordance with or aligned with truth/reality" | realistic, true-to-life, truthful, verisimilar | Applied to literary, cinematic, and artistic works to evaluate whether their depictions correspond faithfully to reality. Used in aesthetic, narrative, and moral evaluation to assess whether a representation or depiction faithfully corresponds to reality. Common in film, literary, and journalistic criticism. Less common in purely propositional contexts. | [CORE] |
| totoong-totoo | totoong-totoo | *totoo* + *-ng* (linker) + *totoo* (full reduplication with linker) | absolutely true, really and truly real, genuinely genuine, very real | Used for emphatic assertion that something is unambiguously real or true, often in response to expressed doubt (*Totoong-totoo ito, hindi biro* "This is absolutely real, not a joke"). An intensified form used in emphatic speech to stress that something is unambiguously real or true. Common in spoken Tagalog and informal writing; common in emotional or emphatic registers of everyday speech. *Totoong-totoo ang nangyari* ("what happened was absolutely real"). | [CORE] |
| totoo naman | totoo naman | *totoo* + *naman* (discourse particle marking contrast, concession, or turn-taking) | it's true though, that's actually true, well, it is real, it really is true | Used to concede or affirm a truth while managing conversational dynamics — often acknowledging a point made by another speaker (*Totoo naman na mahirap* "It's true though that it's difficult"). Used in conversational Tagalog to concede a point or affirm something while managing the flow of dialogue. The particle *naman* softens or contextualizes the assertion. Extremely common in spoken Tagalog. | [CORE] |
| totoo ba? | totoo ba? | *totoo* + *ba* (interrogative particle) | Is it true? Really? Is that real? | Standard interrogative formula for questioning the truth or reality of a claim or situation. Extremely common interrogative expression used in everyday conversation to request confirmation of a claim or to express surprise. Functions as a discourse-level truth-check. One of the most frequent utterances in Tagalog conversation when expressing surprise or seeking confirmation. | [CORE] |
| hindi totoo | hindi totoo | *hindi* (negation) + *totoo* | not true, untrue, not real, false | Standard negation of *totoo*, used to deny the truth of a statement or the reality of something (*Hindi totoo ang balita* "The news is not true"). Used across all registers to deny the truth or reality of a proposition. Extremely common across all registers. | [CORE] |
| parang totoo | parang totoo | *parang* (like, as if, seemingly) + *totoo* | as if it were real, seemingly true, lifelike, seems real, looks genuine | Used to describe something that resembles reality closely enough to be mistaken for it, or that creates a convincing impression of truth (*Parang totoo ang kanyang pagiyak* "Her crying seemed real"). Used in everyday evaluative discourse to describe something that has the appearance of being real without asserting that it is. Common in aesthetic evaluation and in descriptions of deception; common in assessments of performances, stories, and objects. | [CORE] |
| mukhang totoo | mukhang totoo | *mukha* (face, appearance) + *-ng* (linker) + *totoo* | looks real, appears to be true, seems genuine | Evaluates the surface appearance of something as consistent with being real or true, without necessarily asserting that it is (*Mukhang totoo ang produkto pero peke pala* "The product looked real but turned out to be fake"). Common in consumer, journalistic, and everyday contexts. | [CORE] |
| sa totoo lang | sa totoo lang | *sa* (locative/oblique marker) + *totoo* + *lang* (only, just — limiting particle) | to tell the truth, honestly speaking, actually, in truth | Discourse marker used to introduce a frank or candid statement, often one that contrasts with what was previously said or implied (*Sa totoo lang, hindi ko alam* "To tell the truth, I don't know"). Very common in spoken Tagalog across all social registers. | [CORE] |
| ang totoo | ang totoo | *ang* (topic/nominative marker) + *totoo* | the truth is, what is actually true, the real situation, actually, to tell the truth, in reality | Used to introduce a corrective or clarifying statement that reveals what is actually the case, often contrasting with a mistaken belief (*Ang totoo, wala siyang pera* "The truth is, he has no money"). Discourse-initial or mid-sentence marker used to introduce a corrective or clarifying statement of what is actually the case. Common in spoken and written Tagalog as a discourse-framing device. | [CORE] |
| ang totoo nito | ang totoo nito | *ang* + *totoo* + *nito* (of this, genitive of proximal demonstrative) | the truth of this matter, what is really true about this | Used to introduce a clarification or revelation about a specific matter under discussion (*Ang totoo nito ay mas kumplikado* "The truth of this matter is more complicated"). Used to introduce a statement that reveals the actual truth of a specific situation under discussion. Common in formal speech, journalism, and argumentation; common in explanatory and argumentative discourse. | [CORE] |
| katotohanang-katotohanan | katotohanang-katotohanan | *katotohanan* + *-ng* (linker) + *katotohanan* (full reduplication with linker) | absolute truth, the very truth itself, undeniable reality, the whole truth, pure truth | Emphatic form of *katotohanan*, used in philosophical, religious, or rhetorical contexts to assert the highest or most fundamental level of truth (*Ito ang katotohanang-katotohanan* "This is the absolute truth"). An intensified or emphatic form of *katotohanan*, used in rhetorical, religious, or philosophical contexts to stress the completeness or absoluteness of a truth. Less common than the base form; found in formal, literary, and religious registers. | [MARGINAL] |
| sabihin ang katotohanan | sabihin ang katotohanan | *sabihin* (to say, infinitive) + *ang* + *katotohanan* | to tell the truth, to state the truth, to speak the truth | Standard verbal collocation for the act of disclosing what is true (*Sabihin mo ang katotohanan* "Tell the truth"). Standard fixed phrase used in moral, legal, and everyday contexts to enjoin or describe the act of truthful disclosure. Equivalent to "tell the truth" in oath-taking and moral instruction. Common in moral instruction, legal contexts, and everyday speech. | [CORE] |
| ibunyag ang katotohanan | ibunyag ang katotohanan | *ibunyag* (to reveal, to expose — *i-* + *bunyag*) + *ang* + *katotohanan* | to reveal the truth, to expose the truth | Used when a hidden or suppressed truth is brought to light, often in investigative journalism, legal proceedings, or dramatic narrative (*Ibunyag ang katotohanan sa likod ng kaso* "Reveal the truth behind the case"). | [CORE] |
| itago ang katotohanan | itago ang katotohanan | *itago* (to hide, to conceal — *i-* + *tago*) + *ang* + *katotohanan* | to hide the truth, to conceal the truth | Describes the act of suppressing or withholding true information (*Huwag itago ang katotohanan* "Don't hide the truth"). Used in moral, legal, and journalistic contexts to describe the act of suppressing or withholding true information. Commonly appears in discussions of cover-ups and deception. Common in moral, legal, and journalistic discourse. | [CORE] |
| harapin ang katotohanan | harapin ang katotohanan | *harapin* (to face, to confront — *harap* + *-in*) + *ang* + *katotohanan* | to face the truth, to confront reality | Used in psychological, moral, and motivational contexts to describe accepting or confronting an uncomfortable truth (*Kailangan mong harapin ang katotohanan* "You need to face the truth"). | [CORE] |
| ang buong katotohanan | ang buong katotohanan | *ang* + *buong* (whole, entire — *buo* + *-ng*) + *katotohanan* | the whole truth, the full truth | Used in legal testimony and moral discourse to emphasize that nothing is being withheld (*Sabihin ang buong katotohanan* "Tell the whole truth"). Parallels the legal formula "the whole truth and nothing but the truth." | [CORE] |
| walang katotohanan | walang katotohanan | *wala* (none, there is no) + *-ng* (linker) + *katotohanan* | without truth, baseless, having no truth to it, groundless | Used to dismiss a claim as entirely false or unfounded (*Walang katotohanan ang alegasyon* "The allegation has no truth to it"). Used to characterize a claim, rumor, or statement as entirely without factual basis. Common in formal denials, press statements, journalistic fact-checking, and everyday speech. | [CORE] |
| may katotohanan | may katotohanan | *may* (there is, having) + *katotohanan* | there is truth to it, it has some truth, it is partly true | Used to partially affirm a claim, acknowledging that it contains some truth without fully endorsing it (*May katotohanan sa sinabi niya* "There is some truth in what he said"). Used to concede partial truth in a claim or statement. Common in nuanced evaluative discourse where a claim is neither fully accepted nor fully rejected. | [CORE] |
| makatotohanang-makatotohanan | makatotohanang-makatotohanan | *makatotohanan* + *-ng* + *makatotohanan* (full reduplication with linker) | extremely realistic, very true-to-life | Emphatic form of *makatotohanan*, used in aesthetic criticism to describe a portrayal of exceptional realism (*Makatotohanang-makatotohanan ang pelikula* "The film is extremely true-to-life"). Found in literary and film criticism. | [MARGINAL] |
| hindi makatotohanan | hindi makatotohanan | *hindi* + *makatotohanan* | unrealistic, not true-to-life, implausible | Used in aesthetic and critical evaluation to describe a portrayal or narrative that fails to reflect reality convincingly (*Hindi makatotohanan ang kwento* "The story is unrealistic"). Common in literary and film criticism. | [CORE] |
| totoo sa buhay | totoo sa buhay | *totoo* + *sa* (locative marker) + *buhay* (life) | true to life, realistic, lifelike | Used in aesthetic and narrative evaluation to describe characters, situations, or portrayals that accurately reflect lived experience (*Totoo sa buhay ang mga karakter sa nobela* "The characters in the novel are true to life"). Common in literary, dramatic, and film criticism and in everyday discussion of films and stories. | [CORE] |
