# F4 Construction Table — Finnish (fi)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Se on totta. | se on totta | That is true. | Highly frequent in everyday and formal discourse. Partitive *totta* obligatory with abstract noun; nominative adjectives (*tosi*, *väärä*) equally common. No register restrictions. | [CORE] |
| ATTRIBUTION | Väite on väärä. | väite on väärä | The claim is false. | Standard pattern for evaluating statements. Adjective form preferred in formal/written contexts. | [CORE] |
| NEGATIVE ATTRIBUTION | Se ei ole totta. | se ei ole totta | That is not true. | Standard negation pattern, fully productive. Partitive case automatic in negation. Used across all registers. | [CORE] |
| NEGATIVE ATTRIBUTION | Väite ei pidä paikkaansa. | väite ei pidä paikkaansa | The claim does not hold. | Fixed expression common in formal/academic discourse. Preferred over simple negation in careful argumentation. Less frequent in casual speech. | [CORE] |
| ADNOMINAL MODIFICATION | tosi asia | tosi asia | true matter/fact | Fully productive pattern. *Tosiasia* lexicalized as single word "fact." Adjectives freely modify statement-nouns (*väite*, *käsitys*, *vastaus*). | [CORE] |
| ADNOMINAL MODIFICATION | väärä käsitys | väärä käsitys | wrong impression | Common collocation. Pattern unrestricted across truth-domain vocabulary. | [CORE] |
| BECOME / INCHOATIVE | Totuus paljastuu. | totuus paljastuu | The truth is revealed. | Common in narrative and journalistic contexts. Implies gradual or eventual revelation. | [CORE] |
| BECOME / INCHOATIVE | Suunnitelma toteutui. | suunnitelma toteutui | The plan was realized. | Frequent with *toteutua* "come true/be realized." Used for plans, hopes, predictions. Neutral register. | [CORE] |
| CAUSATIVE | todistaa syyttömyytensä | todistaa syyttömyytensä | prove one's innocence | Standard legal and formal usage. *Todistaa* highly frequent with abstract objects (*syyttömyys*, *väite*). | [CORE] |
| CAUSATIVE | vääristää totuutta | vääristää totuutta | distort the truth | Common in critical discourse (media, politics). Implies intentional or systematic distortion. | [CORE] |
| ABSTRACT NOMINALIZATION | totuus | totuus | truth | Basic vocabulary item. Productive pattern generates technical/formal terms (*oikeellisuus*, *luotettavuus*). | [CORE] |
| ABSTRACT NOMINALIZATION | rehellisyys | rehellisyys | honesty | Common abstract noun. Pattern fully productive across adjective stems. | [CORE] |
| AGENTIVE NOMINALIZATION | todistaja | todistaja | witness | Standard legal/formal term. Pattern productive but not all verbs generate common agent nouns. | [CORE] |
| AGENTIVE NOMINALIZATION | valehtelija | valehtelija | liar | Common, slightly pejorative. Implies habitual lying. Neutral term would be descriptive phrase. | [CORE] |
| FIXED INESSIVE CONSTRUCTIONS | Sinä olit oikeassa. | sinä olit oikeassa | You were right. | Extremely common fixed expression. Used to concede correctness in disagreements. Cannot be varied (*\*oikeudessa* not used this way). | [CORE] |
