# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Tamil (ta)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| உண்மை | uṇmai | that which exists/is | truth, reality, fact, genuine | Used broadly for truth in factual, moral, and existential contexts. Can refer to truthfulness of statements ("uṇmaiyai col" = speak the truth) or genuineness of objects and persons. Common in everyday speech and formal discourse. | [CORE] |
| பொய் | poy | falsehood, lie | lie, falsehood, untruth, fake | Primary term for falsehood, lies, and deception. Used for false statements ("poy collu" = tell lies) and fake objects. Contrasts directly with uṇmai in moral and factual contexts. | [CORE] |
| மெய் | mey | body; truth, reality | truth, reality, genuine, real | Literary and formal term for truth and reality, often with philosophical or spiritual connotations. Used in classical Tamil literature and formal registers. Related to physical reality and authenticity. | [CORE] |
| நிஜம் | nijam | (from Sanskrit) reality, truth | truth, reality, fact | Commonly used in colloquial speech for truth and reality, particularly in questions like "nijamā?" (really? is it true?). Borrowed from Sanskrit but fully integrated into everyday Tamil usage. | [CORE] |
| சரி | cari | correct, right, proper | correct, right, okay, proper | Extremely common term for correctness, rightness, and appropriateness. Used for factual accuracy ("cari illai" = not correct) and moral rightness. Also functions as agreement marker in conversation. | [CORE] |
| தப்பு | tappu | mistake, error, wrong | wrong, mistake, error, fault | Primary term for wrongness, mistakes, and errors in both factual and moral contexts. Used in everyday speech for incorrect answers, moral wrongs, and faults. Direct opposite of cari. | [CORE] |
| நேர்மை | nērmai | straightness, uprightness | honesty, integrity, uprightness | Refers to honesty and moral integrity of persons and conduct. Used to describe honest behavior and truthful character. Common in moral and ethical discourse about personal qualities. | [CORE] |
| நியாயம் | niyāyam | (from Sanskrit) justice, rightness | justice, fairness, rightness, legitimacy | Used for justice, fairness, and what is right or legitimate. Common in legal, moral, and everyday contexts to evaluate actions and situations. Often appears in phrases like "niyāyam illai" (not fair/just). | [CORE] |
| பொருத்தம் | poruttam | fitness, suitability, matching | suitability, appropriateness, compatibility, match | Refers to appropriateness, suitability, and proper matching between things. Used to evaluate whether something fits or is appropriate for a context. Common in assessments of compatibility and correctness of fit. | [CORE] |
| தவறு | tavaṟu | mistake, error, deviation | mistake, error, wrong, fault | Formal term for mistakes, errors, and wrongdoing. Used in both factual contexts (errors in work) and moral contexts (wrongful conduct). Slightly more formal than tappu. | [CORE] |
| உண்மையான | uṇmaiyāṉa | that which is true/real (adjectival form) | true, real, genuine, authentic | Adjectival form used to modify nouns, indicating truthfulness or genuineness. Common in phrases like "uṇmaiyāṉa viṣayam" (true matter/fact). Productive derivational form from uṇmai. | [CORE] |
| போலி | pōli | fake, counterfeit, imitation | fake, counterfeit, false, imitation | Refers to fake or counterfeit objects, false representations, and pretense. Used for inauthentic items and deceptive appearances. Common in contexts of fraud and imitation. | [CORE] |
| அசல் | acal | (from Arabic/Urdu) original, genuine | original, genuine, authentic, real | Used to indicate originality and genuineness, particularly of objects and documents. Common in commercial and legal contexts. Often contrasted with pōli (fake). | [CORE] |
| நம்பகம் | nampakam | trustworthiness, reliability | reliability, trustworthiness, credibility | Refers to reliability and trustworthiness of persons, sources, and information. Used to evaluate credibility in formal and informal contexts. Related to nampikkai (trust/belief). | [CORE] |
| சாத்தியம் | cāttiyam | (from Sanskrit) possibility, feasibility | possible, feasible, potential | Used to evaluate possibility and feasibility of events and actions. Common in assessments of what can or cannot happen. Often appears in negative constructions to indicate impossibility. | [CORE] |
| சந்தேகம் | cantēkam | (from Sanskrit) doubt, suspicion | doubt, suspicion, uncertainty | Refers to doubt, suspicion, and uncertainty about truth or facts. Used when questioning reliability or accuracy of information. Common in everyday speech and formal inquiry. | [CORE] |
| நம்பிக்கை | nampikkai | trust, belief, faith | trust, belief, faith, confidence | Refers to trust, belief, and confidence in persons, statements, or systems. Used in religious, interpersonal, and epistemic contexts. Can indicate both faith and credence. | [CORE] |
| ஒப்பு | oppu | similarity, resemblance, comparison | similarity, resemblance, comparison, likeness | Used to indicate resemblance and similarity between things. Common in comparative evaluations and assessments of likeness. Often appears in compound forms. | [CORE] |
| பொய்யான | poyyāṉa | that which is false (adjectival form) | false, fake, untrue, lying | Adjectival form modifying nouns to indicate falseness or deception. Used for false statements, fake objects, and deceptive appearances. Productive derivation from poy. | [CORE] |
| உறுதி | uṟuti | firmness, certainty, confirmation | certainty, confirmation, assurance, firmness | Refers to certainty, confirmation, and assured truth of matters. Used when something is definitively established or confirmed. Common in formal and legal contexts for verification. | [CORE] |
| தெளிவு | teḷivu | clarity, clearness | clarity, clearness, lucidity, understanding | Refers to clarity and clear understanding of truth or facts. Used when something becomes clear or is clearly understood. Important in epistemic contexts about knowledge and comprehension. | [CORE] |
| குற்றம் | kuṟṟam | fault, defect, crime | fault, defect, crime, guilt, blame | Used for faults, defects, crimes, and moral wrongs. Common in legal and moral contexts to indicate wrongdoing or culpability. Can refer to both minor faults and serious crimes. | [CORE] |
| அறம் | aṟam | virtue, righteousness, dharma | virtue, righteousness, dharma, morality, duty | Classical Tamil term for virtue, righteousness, and moral duty. Central concept in Tamil ethics and literature. Used in formal and literary contexts for moral rightness and proper conduct. | [CORE] |
| நீதி | nīti | (from Sanskrit) justice, righteousness | justice, righteousness, morality, ethics | Refers to justice, moral rightness, and ethical principles. Common in legal, moral, and philosophical discourse. Used to evaluate fairness and righteousness of actions and systems. | [CORE] |
