# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Georgian (ka)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| სიმართლე (simart'le) | ტყუილი (ṭq'uili) | simart'le vs. ṭq'uili | truth vs. lie | Core lexical opposition between truth and falsehood in speech acts. Both terms function as nouns denoting the content of statements and appear in parallel constructions (სიმართლე თქვა "tell the truth" vs. ტყუილი თქვა "tell a lie"). | lexical | [CORE] |
| ჭეშმარიტი (č'ešmarit'i) | ყალბი (q'albi) | č'ešmarit'i vs. q'albi | true/genuine vs. false/fake/counterfeit | Lexical opposition focusing on authenticity versus falsification, particularly for objects and representations. ჭეშმარიტი emphasizes genuineness and correspondence to reality, while ყალბი denotes counterfeit or deliberately fabricated items. | lexical | [CORE] |
| ნამდვილი (namdvili) | ყალბი (q'albi) | namdvili vs. q'albi | real/genuine vs. false/fake | Lexical opposition between reality/genuineness and falsification. ნამდვილი emphasizes ontological authenticity (what is real versus apparent), while ყალბი denotes counterfeit or inauthentic status. | lexical | [CORE] |
| სწორი (sc'ori) | მცდარი (mcdari) | sc'ori vs. mcdari | correct vs. false/erroneous | Lexical opposition between correctness and error in statements or judgments. სწორი denotes factual correctness or propriety, while მცდარი implies mistake or incorrectness without necessarily implying deliberate deception. | lexical | [CORE] |
| მართალი (mart'ali) | მცდარი (mcdari) | mart'ali vs. mcdari | right/correct vs. false/erroneous | Lexical opposition between rightness/correctness and error. მართალი spans both epistemic correctness and moral rightness, while მცდარი focuses on factual incorrectness or mistaken judgment. | lexical | [CORE] |
| ბუნებრივი (bunebrivi) | ხელოვნური (xelovnuri) | bunebrivi vs. xelovnuri | natural vs. artificial | Lexical opposition between what occurs naturally or is inherent versus what is artificially created or man-made. This contrast focuses on mode of production rather than truth per se, appearing in scientific, aesthetic, and commercial contexts. | lexical | [CORE] |
| ობიექტური (obiek't'uri) | სუბიექტური (subiek't'uri) | obiek't'uri vs. subiek't'uri | objective vs. subjective | Borrowed lexical opposition distinguishing impartial, objective perspectives from personal, subjective ones. This contrast focuses on the relationship between knower and known, common in academic and analytical discourse. | lexical | [CORE] |
| სამართლიანი (samart'liani) | უსამართლო (usamart'lo) | samart'liani vs. usamart'lo | just/fair vs. unjust/unfair | Morphological opposition created by negative prefix უ- (u-). სამართლიანი denotes moral and legal rightness, while უსამართლო is its negation, denoting injustice or unfairness. | morphological | [CORE] |
| მართებული (mart'ebuli) | უმართებულო (umart'ebulo) | mart'ebuli vs. umart'ebulo | correct/proper vs. incorrect/improper | Morphological opposition created by negative prefix უ- (u-). მართებული denotes correctness or propriety, while უმართებულო is its lexical negation, denoting incorrectness or impropriety. | morphological | [CORE] |
| უტყუარი (uṭq'uari) | მატყუარა (maṭq'uara) | uṭq'uari vs. maṭq'uara | truthful/honest vs. liar/deceiver | Morphological opposition where უტყუარი (formed with negative prefix უ- + root ტყუ- "lie") denotes truthfulness, contrasting with მატყუარა (formed with agentive prefix მა-) denoting a habitual liar or deceiver. | morphological | [CORE] |
| სიმართლე თქვა (simart'le t'qva) | ტყუილი თქვა (ṭq'uili t'qva) | simart'le t'qva vs. ṭq'uili t'qva | to tell the truth vs. to tell a lie | Constructional opposition using parallel light verb constructions with contrasting nouns. Both use the same verb თქვა "say" but with opposing objects (truth vs. lie), creating a systematic contrast in speech act descriptions. | constructional | [CORE] |
| სიმართლე გამოაჩინა (simart'le gamoač'ina) | სიმართლე დამალა (simart'le damala) | simart'le gamoač'ina vs. simart'le damala | to reveal the truth vs. to hide the truth | Constructional opposition between revelation and concealment of truth. Both constructions use truth as object but with opposing verbs (გამოაჩინა "revealed" with preverb გამო- "out from" vs. დამალა "hid" with preverb და-). | constructional | [CORE] |
| სიმართლე გამოვლინდა (simart'le gamovlinda) | სიმართლე დაიფარა (simart'le daip'ara) | simart'le gamovlinda vs. simart'le daip'ara | the truth was revealed vs. the truth was covered | Constructional opposition between intransitive revelation and concealment. Truth appears as subject in both, but with opposing verbs indicating emergence versus covering. | constructional | [CORE] |
