# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Turkish (tr)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| doğru | doğru söylemek | doğru söylemek | to tell the truth, to speak truthfully | Common verbal phrase emphasizing truthful speech. Used across all registers to describe honest communication. | CORE |
| doğru | doğrusunu söylemek | doğrusunu söylemek | to tell the truth, to be honest (lit. "to say its truth") | Fixed phrase used to introduce honest statements or confessions. Very common in conversational Turkish, often as discourse marker: "Doğrusunu söylemek gerekirse..." (To tell the truth...). | CORE |
| doğru | doğru mu? | doğru mu | is it true? right? correct? | Common question form used to seek confirmation or verification. Can function as tag question or standalone inquiry. | CORE |
| doğru | doğru yol | doğru yol | right path, correct way, straight path | Used literally for direct routes and metaphorically for moral or religious righteousness. Common in religious discourse and moral instruction. | CORE |
| doğru | doğru dürüst | doğru dürüst | proper, decent, respectable, adequate | Colloquial reduplicative expression meaning "proper" or "decent." Often used to describe adequate quality or respectable behavior. Can be used negatively: "doğru dürüst bir iş yok" (there's no proper job). | CORE |
| doğru | doğru düzgün | doğru düzgün | proper, decent, orderly, respectable | Alliterative compound similar to "doğru dürüst" but emphasizing orderliness and propriety. Common in everyday speech to describe adequate or respectable quality. | CORE |
| doğru | doğru olmak | doğru olmak | to be true, to be correct, to be right | Copular construction asserting truth or correctness. Essential across all contexts for truth evaluation. | CORE |
| doğru | doğru çıkmak | doğru çıkmak | to turn out to be true/correct, to prove right | Verbal phrase indicating that something previously uncertain has been verified as true. Common in discussions of predictions or claims. | CORE |
| doğru | doğru kabul etmek | doğru kabul etmek | to accept as true, to acknowledge as correct | Formal expression for accepting the truth of a statement. Used in academic and formal discourse. | CORE |
| doğru | doğru bulmak | doğru bulmak | to find correct, to consider right, to deem appropriate | Expression for evaluating something as correct or appropriate. Common in moral and practical judgments. | CORE |
| yanlış | yanlış anlamak | yanlış anlamak | to misunderstand, to understand wrongly | Common verbal phrase for misunderstanding. Essential in clarifications and corrections. | CORE |
| yanlış | yanlış yapmak | yanlış yapmak | to make a mistake, to do wrong | General expression for making errors or doing something incorrectly. Used across all contexts. | CORE |
| yanlış | yanlış olmak | yanlış olmak | to be wrong, to be incorrect | Copular construction asserting incorrectness. Essential for error identification. | CORE |
| yanlış | yanlış çıkmak | yanlış çıkmak | to turn out to be wrong, to prove incorrect | Verbal phrase indicating that something has been shown to be incorrect. Common in discussions of verification. | CORE |
| yanlış | yanlış bilmek | yanlış bilmek | to know incorrectly, to be mistaken about | Expression for holding incorrect information or beliefs. Common in corrections. | CORE |
| yanlış | yanlış anlaşılmak | yanlış anlaşılmak | to be misunderstood | Passive construction indicating that one's meaning has been misinterpreted. Common in clarifications. | CORE |
| yanlış | yanlış gitmek | yanlış gitmek | to go wrong, to go astray | Idiomatic expression for situations developing incorrectly. Used for plans, relationships, or processes. | CORE |
| gerçek | gerçek olmak | gerçek olmak | to be real, to be true, to be actual | Copular construction asserting reality or truth. Common in verification and authentication contexts. | CORE |
| gerçek | gerçek anlamda | gerçek anlamda | in the true sense, in reality, genuinely | Fixed adverbial phrase emphasizing genuine or literal meaning as opposed to figurative or superficial. Common in clarifications and emphatic statements. | CORE |
| gerçek | gerçek hayat | gerçek hayat | real life, actual life | Common collocation distinguishing actual lived experience from fiction, simulation, or idealized versions. Used in discussions of media, education, and expectations. | CORE |
| gerçek | gerçeği yansıtmak | gerçeği yansıtmak | to reflect reality, to represent truthfully | Expression used in discussions of media, art, and representation. Evaluates accuracy of depictions or accounts. | CORE |
| gerçek | gerçek göstermek | gerçek göstermek | to show the truth, to reveal reality | Expression meaning to reveal or demonstrate what is actually true. Used when exposing deception or clarifying misconceptions. | CORE |
| gerçek | gerçeğe aykırı | gerçeğe aykırı | contrary to reality, false, untrue | Formal expression used in legal and official contexts to describe statements or claims that contradict reality or facts. | CORE |
