# F2a DERIVATIONAL TABLE

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| true | untrue | N/A | un- (negation prefix) + true | not true, false, incorrect | Negates truth claims; used to evaluate statements as not corresponding to reality. Common in both formal and informal discourse. | [CORE] |
| true | truth | N/A | true + -th (abstract noun suffix, Old English -þu/-þo) | truth, the quality of being true, true statement(s) | Nominal form referring to the property of being true or to true propositions themselves. Fundamental across all registers and contexts. | [CORE] |
| true (via truth) | untruth | N/A | un- (negation) + truth | falsehood, lie, false statement | Nominal form for false statements. More formal or literary than "lie"; less common than "falsehood" in contemporary usage. | [CORE] |
| true | truly | N/A | true + -ly (adverbial suffix) | in a true manner, genuinely, really | Adverbial form used to emphasize truth, genuineness, or sincerity. Extremely common across all registers. | [CORE] |
| true | truism | N/A | true + -ism (abstract noun suffix) | obvious truth, self-evident statement, platitude | Refers to statements so obviously true as to be trite or uninteresting. Often used dismissively in analytical discourse. | [CORE] |
| false | falsehood | N/A | false + -hood (state/condition suffix, Old English -hād) | lie, untruth, false statement, the quality of being false | Nominal form for false statements or the condition of being false. More formal than "lie"; common in moral and philosophical discourse. | [CORE] |
| false | falsely | N/A | false + -ly (adverbial suffix) | in a false manner, incorrectly, untruthfully | Adverbial form indicating manner of being false. Common in legal contexts ("falsely accused") and formal descriptions. | [CORE] |
| false | falsify | N/A | false + -ify (verb-forming suffix from Latin -ficare) | to make false, to forge, to alter fraudulently, to disprove | Verb meaning to alter something to make it false or to prove something false. Used in legal, scientific, and philosophical contexts. | [CORE] |
| false (via falsify) | falsification | N/A | falsify + -ation (noun suffix) | act of falsifying, forgery, the process of disproving | Nominal form for the act or result of falsifying. Technical term in philosophy of science (Popperian falsification); also used in legal contexts for fraud. | [CORE] |
| false (via falsify) | falsifiable | N/A | falsify + -able (capable of being) | capable of being proven false, testable | Technical term in philosophy of science for hypotheses that can be empirically tested and potentially disproven. Primarily academic usage. | [MARGINAL] |
| false (via falsifiable) | falsifiability | N/A | falsifiable + -ity (quality suffix) | the quality of being falsifiable, testability | Technical term in philosophy of science for the property of being empirically testable. Used in epistemological and scientific methodology discussions. | [MARGINAL] |
| false (via falsify) | falsifier | N/A | falsify + -er (agent noun suffix) | one who falsifies, forger | Refers to persons who falsify documents or data. Less common than "forger" in everyday usage; appears in legal and academic contexts. | [CORE] |
| false | falsity | N/A | false + -ity (quality suffix, via Latin falsitas) | the quality of being false, a false statement | Formal term for the quality of being false or for false statements. More formal than "falsehood"; used in philosophical and formal discourse. | [CORE] |
| right | rightly | N/A | right + -ly (adverbial suffix) | correctly, justly, properly | Adverbial form indicating correct or proper manner. Common across all registers in both epistemic and moral contexts. | [CORE] |
| right | rightness | N/A | right + -ness (quality suffix) | correctness, propriety, the quality of being right | Nominal form for the quality of being right. Used in moral and epistemic evaluation; somewhat formal. | [CORE] |
| right | rightful | N/A | right + -ful (full of, characterized by) | legitimate, proper, having a just claim | Evaluates claims, ownership, or positions as legitimate or proper. Common in legal and political contexts ("rightful owner," "rightful heir"). | [CORE] |
| right (via rightful) | rightfully | N/A | rightful + -ly (adverbial suffix) | legitimately, justly, properly | Adverbial form emphasizing legitimacy or justice of claims or actions. Used in legal, moral, and everyday contexts. | [CORE] |
| right | righteous | N/A | right + -eous (adjective suffix, archaic variant of -ous, from Old English rihtwīs) | morally right, virtuous, just | Evaluates persons or actions as morally upright or justified. Strong religious connotations; also used ironically for self-righteousness. | [CORE] |
| right (via righteous) | righteousness | N/A | righteous + -ness (quality suffix) | moral virtue, justice, uprightness | Nominal form for moral virtue or justness. Common in religious and moral discourse; also used ironically. | [CORE] |
| right (via righteous) | righteously | N/A | righteous + -ly (adverbial suffix) | in a righteous manner, virtuously, justly | Adverbial form indicating righteous manner. Used in religious and moral contexts; also ironically. | [CORE] |
| wrong | wrongly | N/A | wrong + -ly (adverbial suffix) | incorrectly, unjustly, improperly | Adverbial form indicating incorrect or improper manner. Common in both epistemic and moral contexts. | [CORE] |
| wrong | wrongness | N/A | wrong + -ness (quality suffix) | incorrectness, impropriety, the quality of being wrong | Nominal form for the quality of being wrong. Used in moral and epistemic evaluation; somewhat formal. | [CORE] |
| wrong | wrongful | N/A | wrong + -ful (full of, characterized by) | unjust, improper, illegal | Evaluates actions as unjust or illegal. Common in legal contexts ("wrongful death," "wrongful termination," "wrongful dismissal"). | [CORE] |
| wrong (via wrongful) | wrongfully | N/A | wrongful + -ly (adverbial suffix) | unjustly, illegally, improperly | Adverbial form emphasizing injustice or illegality of actions. Used in legal and moral contexts. | [CORE] |
| wrong | wrongdoing | N/A | wrong + doing (gerund from "do") | misconduct, offense, immoral or illegal action | Nominal form for immoral or illegal actions. Common in legal, moral, and administrative contexts. | [CORE] |
| wrong | wrongdoer | N/A | wrong + doer (agent noun from "do") | offender, malefactor, one who commits wrongs | Describes persons who commit wrongs or offenses. Used in legal and moral contexts; somewhat formal. | [CORE] |
| correct | correctly | N/A | correct + -ly (adverbial suffix) | in a correct manner, accurately, properly | Adverbial form indicating correct manner. Common across all registers and contexts. | [CORE] |
| correct | correctness | N/A | correct + -ness (quality suffix) | accuracy, propriety, the quality of being correct | Nominal form for the quality of being correct. Used in epistemic, social, and political contexts (including "political correctness"). | [CORE] |
| correct | correction | N/A | correct + -ion (noun suffix, from Latin correctionem) | act of correcting, amendment, something that corrects | Nominal form for the act or result of correcting. Common in educational, editorial, and disciplinary contexts. | [CORE] |
| correct | corrective | N/A | correct + -ive (adjective/noun suffix) | serving to correct, a corrective measure | Adjective describing things that correct; also used as noun for corrective measures. Common in medical, educational, and administrative contexts. | [CORE] |
| correct | correctable | N/A | correct + -able (capable of being) | capable of being corrected, fixable | Describes errors or problems that can be corrected. Used in technical, educational, and practical contexts. | [CORE] |
| correct | corrector | N/A | correct + -or (agent noun suffix) | one who corrects, correcting device | Refers to persons or devices that correct. Less common than "editor" or "proofreader" for persons; appears in technical contexts. | [CORE] |
| correct | incorrect | N/A | in- (negation prefix) + correct | not correct, wrong, inaccurate | Negates correctness; evaluates statements or actions as wrong or inaccurate. Common across all registers. | [CORE] |
| correct (via incorrect) | incorrectly | N/A | incorrect + -ly (adverbial suffix) | in an incorrect manner, wrongly, inaccurately | Adverbial form indicating incorrect manner. Common across all registers. | [CORE] |
