| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Truth/fact revelation and concealment | This group centers on expressions used when something hidden, disputed, or uncertain is brought out, checked, or concealed. They are especially common in journalism, investigations, legal discussion, and public controversy, where the focus is on what really happened. | 진실 (*jinsil*); 진실을 밝히다 (*jinsireul balkhida*); 진실을 숨기다 (*jinsireul sumgida*); 진실이 드러나다 (*jinsiri deureonada*); 사실 (*sasil*); 사실을 확인하다 (*sasireul hwaginhada*); 사실을 밝히다 (*sasireul balkhida*); 사실 여부를 확인하다 (*sasil yeobureul hwaginhada*); 사실 관계 (*sasil gwangye*); 사실 규명 (*sasil gyumyeong*); 진상 (*jinsang*); 진상규명 (*jinsang gyumyeong*); 실체를 밝히다 (*silchereul balkhida*); 사건의 실체 (*sageonui silche*) | 실체 (*silche*) also fits groups about underlying reality beyond appearances.; 진상 (*jinsang*) overlaps with investigative and journalistic language more than everyday truth-telling.; 사실 (*sasil*) also belongs in more general factual-correctness usage. | As stated in CONTEXT: 실체 (*silche*) also fits groups about underlying reality beyond appearances; 진상 (*jinsang*) overlaps with investigative and journalistic language more than everyday truth-telling; 사실 (*sasil*) also belongs in more general factual-correctness usage. |
| 2. Falsehood, lying, and false reporting | These expressions are used when speech, reporting, testimony, or written claims are treated as untrue or deceptive. In practice, some are everyday and broad, while others are strongly associated with legal, administrative, or media language. | 거짓 (*geojit*); 거짓말 (*geojinmal*); 거짓말을 하다 (*geojinmareul hada*); 거짓 정보 (*geojit jeongbo*); 거짓 증언 (*geojit jeung-eon*); 거짓으로 드러나다 (*geojiseuro deureonada*); 허위 (*heowi*); 허위 사실 (*heowi sasil*); 허위 신고 (*heowi singo*); 허위 기재 (*heowi gijae*); 허위로 드러나다 (*heowiro deureonada*); 사실무근 (*sasilmugeun*); 사실과 다르다 (*sasilgwa dareuda*) | 허위 사실 (*heowi sasil*) is a fixed formal expression and belongs especially to legal/media usage.; 사실무근 (*sasilmugeun*) often appears in denials rather than direct accusation of lying.; 거짓 (*geojit*) can cover both deliberate lies and broader untruth. | As stated in CONTEXT: 허위 사실 (*heowi sasil*) is a fixed formal expression and belongs especially to legal/media usage; 사실무근 (*sasilmugeun*) often appears in denials rather than direct accusation of lying; 거짓 (*geojit*) can cover both deliberate lies and broader untruth. |
| 3. Everyday real vs fake, especially in spoken Korean | This group includes highly common expressions used to distinguish the genuine from the fake in ordinary speech. They are used for objects, situations, feelings, and appearances, often with a colloquial tone rather than formal verification language. | 진짜 (*jinjja*); 진짜로 (*jinjjaro*); 진짜 같다 (*jinjja gatda*); 진짜가 아니다 (*jinjjaga anida*); 진짜처럼 보이다 (*jinjjacheoreom boida*); 가짜 (*gajja*); 가짜 뉴스 (*gajja nyuseu*); 가짜 신분증 (*gajja sinbunjeung*); 가짜가 아니다 (*gajjaga anida*); 가짜처럼 보이다 (*gajjacheoreom boida*); 진짜배기 (*jinjjabaegi*); 가짜배기 (*gajjabaegi*) | 가짜 뉴스 (*gajja nyuseu*) also overlaps with false-information discourse.; 진짜 (*jinjja*) can function as an intensifier (“really”), so not every use is about authenticity.; 진짜 같다 / 가짜처럼 보이다 focus on appearance, not confirmed authenticity. | As stated in CONTEXT: 가짜 뉴스 (*gajja nyuseu*) also overlaps with false-information discourse; 진짜 (*jinjja*) can function as an intensifier (“really”), so not every use is about authenticity; 진짜 같다 / 가짜처럼 보이다 focus on appearance, not confirmed authenticity. |
| 4. Product and artifact authenticity | These expressions are used when the issue is whether an item is genuine, certified, original, or forged. They are especially common in commerce, resale, luxury goods, art, archives, and authentication disputes. | 정품 (*jeongpum*); 정품 여부 (*jeongpum yeobu*); 정품 여부를 확인하다 (*jeongpum yeobureul hwaginhada*); 정품 인증 (*jeongpum injeung*); 정품 인증을 받다 (*jeongpum injeungeul batda*); 정품만 취급하다 (*jeongpumman chwigeuphada*); 정품이 아니다 (*jeongpumi anida*); 진품 (*jinpum*); 진본 (*jinbon*); 위작 (*wijak*); 위작 논란 (*wijak nonran*); 위작 시비 (*wijak sibi*); 위작으로 판명되다 (*wijageuro panmyeongdoeda*); 모사 (*mosa*); 모사하다 (*mosahada*) | 정품 (*jeongpum*) is mainly commercial, while 진품 / 진본 are more common in art, antiques, documents, and scholarship.; 모사 (*mosa*) can be neutral in art training, so it does not always imply fraud.; 위작 (*wijak*) is narrower and more domain-specific than everyday 가짜. | As stated in CONTEXT: 정품 (*jeongpum*) is mainly commercial, while 진품 / 진본 are more common in art, antiques, documents, and scholarship; 모사 (*mosa*) can be neutral in art training, so it does not always imply fraud; 위작 (*wijak*) is narrower and more domain-specific than everyday 가짜. |
| 5. Accuracy, exactness, and faithful expression | This group covers expressions used when wording, measurement, timing, memory, translation, or information is judged for exactness. The emphasis is not mainly on sincerity or legitimacy, but on whether something matches details correctly and precisely. | 정확하다 (*jeonghwakhada*); 정확성 (*jeonghwakseong*); 정확도 (*jeonghwakdo*); 정확히 (*jeonghwakhi*); 정확하게 말하다 (*jeonghwakhage malhada*); 정확하게 표현하다 (*jeonghwakhage pyohyeonhada*); 정확한 정보 (*jeonghwakan jeongbo*); 정확한 시간에 (*jeonghwakan sigane*); 정확성을 높이다 (*jeonghwakseongeul nopida*); 정확성을 검증하다 (*jeonghwakseongeul geomjeunghada*) | 정확한 정보 (*jeonghwakan jeongbo*) overlaps with reliability and factual correctness.; 정확하게 표현하다 (*jeonghwakhage pyohyeonhada*) can also connect with resemblance/faithful representation.; 정확하다 is broader than simple truth/falsity and often applies to non-propositional domains like time or measurement. | As stated in CONTEXT: 정확한 정보 (*jeonghwakan jeongbo*) overlaps with reliability and factual correctness; 정확하게 표현하다 (*jeonghwakhage pyohyeonhada*) can also connect with resemblance/faithful representation; 정확하다 is broader than simple truth/falsity and often applies to non-propositional domains like time or measurement. |
| 6. Correctness, rightness, and proper way of doing things | These expressions are used when judging whether an action, understanding, attitude, or statement is right or proper. In actual usage, they often cover educational, moral, procedural, and practical evaluation rather than narrow factual verification. | 올바르다 (*olbareuda*); 올바르게 이해하다 (*olbareuge ihaehada*); 올바르게 사용하다 (*olbareuge sayonghada*); 올바른 태도 (*olbareun taedo*); 올바른 방향 (*olbareun banghyang*); 옳다 (*olta*); 옳고 그름 (*olgo geureum*); 옳다고 생각하다 (*oltago saenggakhada*); 네 말이 옳다 (*ne mari olta*); 정답 (*jeongdap*); 정오 (*jeongo*); 정정 (*jeongjeong*); 정정하다 (*jeongjeonghada*) | 옳다 (*olta*) can refer to factual correctness or moral rightness depending on context.; 올바르다 (*olbareuda*) often sounds broader and more practical/procedural than 옳다.; 정답 (*jeongdap*) is narrower, especially tied to questions, tests, and fixed-answer settings. | As stated in CONTEXT: 옳다 (*olta*) can refer to factual correctness or moral rightness depending on context; 올바르다 (*olbareuda*) often sounds broader and more practical/procedural than 옳다; 정답 (*jeongdap*) is narrower, especially tied to questions, tests, and fixed-answer settings. |
| 7. Justification, legitimacy, and valid grounds | This group is used when actions, claims, authority, or reasoning are evaluated as justified, legitimate, or well-founded. These expressions are especially common in law, politics, academic writing, and formal argument. | 정당하다 (*jeongdanghada*); 정당성 (*jeongdangseong*); 정당한 이유 (*jeongdanghan iyu*); 정당한 대가 (*jeongdanghan daega*); 정당하게 행사하다 (*jeongdanghage haengsahada*); 정당방위 (*jeongdangbangwi*); 정당행위 (*jeongdanghaengwi*); 타당하다 (*tadanghada*); 타당성 (*tadangseong*); 타당한 근거 (*tadanghan geungeo*); 타당한 주장 (*tadanghan jujang*); 타당하다고 보기 어렵다 (*tadanghadago bogi eoryeopda*) | 정당하다 (*jeongdanghada*) is often about legitimacy or fairness.; 타당하다 (*tadanghada*) is often about soundness of reasoning or appropriateness.; These two are related in formal evaluation but are not interchangeable in all contexts. | As stated in CONTEXT: 정당하다 (*jeongdanghada*) is often about legitimacy or fairness; 타당하다 (*tadanghada*) is often about soundness of reasoning or appropriateness; These two are related in formal evaluation but are not interchangeable in all contexts. |
| 8. Formal validity and invalidity in institutional settings | These expressions are used when something counts or does not count within legal, administrative, electoral, or procedural systems. The focus is on operative status—whether a contract, vote, document, or rule is in force, recognized, or null. | 유효하다 (*yuhyohada*); 유효성 (*yuhyoseong*); 유효기간 (*yuhyogigan*); 유효한 계약 (*yuhyohan gyeyak*); 유효한 표 (*yuhyohan pyo*); 유효기간이 지나다 (*yuhyogigani jinada*); 아직 유효하다 (*ajik yuhyohada*); 무효 (*muhyo*); 무효하다 (*muhyohada*); 무효가 되다 (*muhyoga doeda*); 무효로 하다 (*muhyoro hada*); 무효화 (*muhyohwa*); 무효표 (*muhyopyo*); 무효 판결 (*muhyo pangyeol*) | 유효하다 (*yuhyohada*) can also mean effective, not only legally valid.; 무효 (*muhyo*) is strongly institutional and less natural for everyday “wrong/untrue.”; This group is distinct in usage from 정당하다 / 타당하다, which judge justification rather than formal operative status. | As stated in CONTEXT: 유효하다 (*yuhyohada*) can also mean effective, not only legally valid; 무효 (*muhyo*) is strongly institutional and less natural for everyday “wrong/untrue”; This group is distinct in usage from 정당하다 / 타당하다, which judge justification rather than formal operative status. |
| 9. Trustworthiness and dependable sources | This group concerns whether a person, institution, report, system, or piece of information can be relied on. In usage, these expressions evaluate dependability and credibility rather than directly asserting truth. | 신뢰하다 (*silloehada*); ~을 신뢰하다 (*~eul silloehada*); 서로를 신뢰하다 (*seororeul silloehada*); 신뢰할 수 있다 (*silloehal su itda*); 신뢰를 얻다 (*silloereul eotda*); 신뢰성 (*silloeseong*); 신뢰도 (*silloedo*); 신뢰성이 높다 (*silloeseongi nopda*); 신뢰성을 확보하다 (*silloeseongeul hwakbohada*); 신뢰성에 문제가 있다 (*silloeseonge munjega itda*); 믿을 만하다 (*mideul manhada*); 믿을 만한 사람 (*mideul manhan saram*); 믿을 만한 정보 (*mideul manhan jeongbo*); 믿을 만하지 않다 (*mideul manhaji anta*) | 믿을 만하다 (*mideul manhada*) is less formal and often more conversational than 신뢰할 수 있다.; 신뢰성 (*silloeseong*) often appears in technical or evaluative writing.; These do not directly mean “true”; a source may be trusted without a specific claim yet being established as fact. | As stated in CONTEXT: 믿을 만하다 (*mideul manhada*) is less formal and often more conversational than 신뢰할 수 있다; 신뢰성 (*silloeseong*) often appears in technical or evaluative writing; These do not directly mean “true”; a source may be trusted without a specific claim yet being established as fact. |
