| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| ჭეშმარიტი | č̣ešmariti | root č̣ešmar- (truth, genuine quality) + adjectival suffix -i | true, truthful, genuine, real | Used to predicate truth of statements, beliefs, and propositions, and also to characterize persons or things as genuine or authentic. Appears in philosophical, theological, and everyday evaluative contexts. Participates in productive derivation: č̣ešmariteba (truth, as abstract noun), č̣ešmaritad (truly, adverb). | [CORE] |
| ჭეშმარიტება | č̣ešmariteba | č̣ešmariti + nominalizing suffix -eba | truth, truthfulness, veracity, genuineness | The standard abstract noun for truth in Georgian, used across philosophical, religious, legal, and everyday registers. Commonly appears as the subject or object of predications about what is the case. Central to Georgian theological and philosophical writing. Contrasts with mtkuaroba (falsehood) and t'yupiloba (deception). | [CORE] |
| სიმართლე | simartle | si- (nominalizing circumfix, front part) + martal- (right, correct, just) + -e (back part of circumfix) | truth, correctness, rightness, justice | One of the two primary words for truth in Georgian, often more colloquial or concrete than č̣ešmariteba. Used for factual correctness of statements and for moral rightness of conduct. Also carries connotations of fairness and justice. The phrase simartle tkva ("told the truth") is highly frequent in everyday speech. Also used in the sense of what is factually accurate in a dispute. | [CORE] |
| მართალი | martali | root martal- (right, correct, just) + adjectival suffix -i | right, correct, true, just, honest, innocent | Applied to persons (a truthful, just, or honest person), statements (a correct or true claim), and situations or verdicts (a rightful state of affairs, a just outcome). Covers both epistemic correctness and moral uprightness, making it semantically broad. In legal contexts can carry the sense of innocent or vindicated. Closely related to simartle through shared root. Commonly used in everyday speech and legal contexts. | [CORE] |
| სიყალბე | siq̇albe | si- + q̇alb- (false, counterfeit) + -e | falsehood, falsity, falseness, forgery, inauthenticity, fraud | Denotes the abstract quality of being false or counterfeit, applicable to documents, currency, statements, and persons. Used in both epistemic contexts (the falsity of a statement) and moral-legal contexts (fraudulence of conduct). Frequently appears in legal contexts involving forgery or fraud. Antonym of simartle and č̣ešmariteba. | [CORE] |
| ყალბი | q̇albi | borrowed root (cf. Persian/Arabic qalb, "heart; counterfeit," via Turkish); adjectival form | false, fake, counterfeit, forged, spurious | The standard adjective for counterfeit or forged items (q̇albi dokumenti, "forged document"; q̇albi fuli, "counterfeit money"). Also used for insincere or false behavior and colloquially for inauthentic persons. Strongly associated with deliberate deception or forgery. Appears frequently in legal and commercial contexts. Productive in derivation: siq̇albe, q̇alboba. | [CORE] |
| ყალბობა | q̇alboba | q̇albi + nominalizing suffix -oba | falseness, forgery, fraud, falsification | The nominal form of q̇albi, referring to the act or state of being counterfeit or fraudulent. Used in legal discourse to describe forgery or falsification of documents and evidence. | [CORE] |
| ნამდვილი | namdvili | na- (perfective/resultative prefix) + mdvil- (root related to being placed, settled, established) + -i; roughly "that which has been established/settled" | genuine, real, authentic, actual, true | The primary adjective for authenticity and genuineness of objects, persons, and states of affairs. Does not typically predicate truth of propositions directly. Namdvili oqro ("real gold"), namdvili megobari ("true friend"). Widely used across registers and participates in productive derivation (namdviloba, "genuineness, authenticity"). | [CORE] |
| ნამდვილობა | namdviloba | namdvili + nominalizing suffix -oba | authenticity, genuineness, realness, reality | Abstract noun derived from namdvili, used in legal, philosophical, administrative, and archival contexts to refer to the property of being genuine or authentic. Appears in discussions of document authentication, identity verification, and philosophical discourse about reality. | [CORE] |
