| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | magkatotoo / nagkatotoo + ang NP | magkatotoo / nagkatotoo + ang NP | clearly supported dynamic pattern | This is the clearest attested dynamic pattern in the material for movement into a truth-related state. It is specifically supported for the **totoo** family, especially with wishes, predictions, fears, suspicions, and expectations. |
| 2 | totohanan na / totohanin + object | totohanan na / totohanin + object | colloquial and more restricted | This is a dynamic extension within the **totoo** family, but it shifts away from factual truth toward seriousness or earnestness. It is colloquial and more restricted than **magkatotoo / nagkatotoo**. |
| 3 | ang katotohanan ay lumabas / lumabas din sa huli | ang katotohanan ay lumabas / lumabas din sa huli | discourse-dynamic sense | The first example shows a discourse-dynamic sense in which truth becomes revealed or established. This is not the same as **magkatotoo**: here the focus is on truth emerging in public or in discussion, not on a wish or suspicion becoming real. |
| 4 | (no common expression identified) | (no common expression identified) | no common expression identified | The provided material does **not** support a clear common dynamic expression meaning “become fake,” “become false,” or “turn baseless” using the listed truth-related vocabulary. The oppositions **totoo / peke**, **tunay / huwad**, and **may saligan / walang saligan** are attested, but not a productive “become X” pattern for the negative side. |
| 5 | (no common expression identified) | (no common expression identified) | no common expression identified | No common dedicated causative construction meaning “make something true” is directly supported by the material. The inventory gives dynamic inchoative **magkatotoo / nagkatotoo**, but not a parallel causative for causing truth. |
| 6 | wastuhin + object | wastuhin + object | supported | This is the nearest attested causative-like pattern in the material for moving something into a correctness state. It belongs to the **wasto** family and is less common than paraphrases with **tama**, but it is supported. |
| 7 | beripikahin + object | beripikahin + object | supported | This is a procedural dynamic pattern: an agent checks information, identity, or records so that they count as **beripikado**. The material supports the verb **beripikahin** and the resulting modifier **beripikadong**. |
| 8 | beripikadong + noun | beripikadong + noun | stable result of prior checking | This is not itself a change verb, but it encodes the stable result of prior checking. In dynamic terms, it is the state that typically follows **beripikahin**. |
| 9 | salig sa / nakasalig sa + NP | salig sa / nakasalig sa + NP | dynamic in a weaker sense | These expressions do not directly mean “become supported,” but they encode a state in which a report, decision, or judgment rests on evidence or data. They are dynamic in a weaker sense: they describe grounding rather than simple truth. |
| 10 | walang saligan / walang saligang + noun | walang saligan / walang saligang + noun | resulting evaluative state only | These forms encode the opposed stable state of lacking basis. However, the material does **not** provide a common dynamic expression meaning “become baseless”; it provides only the resulting evaluative state. |
| 11 | tiyak na + clause / hindi pa tiyak + NP; sigurado + clause / sigurado ka ba | tiyak na + clause / hindi pa tiyak + NP; sigurado + clause / sigurado ka ba | stable or unstable certainty | These forms encode stable or unstable certainty, but the material does not support a dedicated dynamic verb meaning “become certain” or “make certain” within this vocabulary set. The contrast is mainly between settled certainty and not-yet-settled certainty. |
| 12 | tama / wasto / tumpak / eksakto + ang NP | tama / wasto / tumpak / eksakto + ang NP | stable evaluative states | These are stable evaluative states. Among them, only **wasto** has an attested corrective verb in the material (**wastuhin**). For **tama, tumpak, eksakto**, no common dynamic or causative expression is directly supported here. |
| 13 | tunay / totoo / peke / huwad + ang NP; tunay na / totoong / pekeng / huwad na + noun | tunay / totoo / peke / huwad + ang NP; tunay na / totoong / pekeng / huwad na + noun | stable contrasts of authenticity and falseness | The material strongly supports stable contrasts of authenticity and falseness. But it does **not** provide a common dynamic expression meaning “become genuine,” “become fake,” or “make genuine/fake.” |
| 14 | mapagkakatiwalaan / maaasahan + noun; Maaasahan mo siya... | mapagkakatiwalaan / maaasahan + noun; Maaasahan mo siya... | stable reliability | These forms encode stable reliability. No common dynamic expression meaning “become trustworthy” or “make reliable” is directly supported by the material. |
| 15 | magkatotoo / nagkatotoo; totohanin / totohanan na; beripikahin; wastuhin | magkatotoo / nagkatotoo; totohanin / totohanan na; beripikahin; wastuhin | clearly dynamic / not clearly supported | The strongest dynamic encoding in the supplied Tagalog material is concentrated in: 1. the **totoo** family, especially **magkatotoo / nagkatotoo**, and 2. procedural or corrective verbs like **beripikahin** and **wastuhin**. Most other truth-related items in the context are primarily **stative** or **evaluative**, not dynamic. |
