# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | väite osoittautuu todeksi | väite osoittautuu todeksi | [CORE] | Standard across registers. Translative case marks result state. |
| 1.1 | asia käy todeksi | asia käy todeksi | [CORE] | Archaic/formal register. Less common than osoittautua. |
| 1.1 | ennustus toteutuu | ennustus toteutuu | [CORE] | Common for predictions, plans. Standard across registers. |
| 1.1 | pelko todellistuu | pelko todellistuu | [CORE] | Common for fears, possibilities becoming real. |
| 1.2 | väite osoittautuu oikeaksi | väite osoittautuu oikeaksi | [CORE] | Standard across registers. More common than paikkansapitäväksi. |
| 1.2 | arvio osoittautuu oikeaksi | arvio osoittautuu oikeaksi | [CORE] | Standard construction for estimates proving correct. |
| 1.2 | tieto osoittautuu paikkansapitäväksi | tieto osoittautuu paikkansapitäväksi | [CORE] | Formal register. Less common than oikeaksi in everyday usage. |
| 1.3 | unelma toteutuu | unelma toteutuu | [CORE] | Very common for dreams, plans. Standard across registers. |
| 1.3 | suunnitelma toteutuu | suunnitelma toteutuu | [CORE] | Common in planning/achievement contexts. |
| 1.3 | uhka todellistuu | uhka todellistuu | [CORE] | Common for threats, negative outcomes. |
| 1.3 | mahdollisuus todellistuu | mahdollisuus todellistuu | [CORE] | Common for possibilities becoming real. |
| 1.4 | tieto todentuu | tieto todentuu | [CORE] | Formal/written registers. Less common than osoittautua. |
| 1.4 | epäilyt todentuivat | epäilyt todentuivat | [CORE] | Common in investigative/journalistic contexts. |
| 1.4 | väitteet todentuivat | väitteet todentuivat | [CORE] | Formal/investigative contexts. |
| 1.5 | totuus paljastuu | totuus paljastuu | [CORE] | Common in narrative/journalistic contexts. Dramatic connotation. |
| 1.5 | totuus tulee ilmi | totuus tulee ilmi | [CORE] | Neutral/formal register. Common in legal contexts. |
| 1.5 | totuus tulee esiin | totuus tulee esiin | [CORE] | Standard across registers. |
| 1.5 | totuus selviää | totuus selviää | [CORE] | Common across registers. Emphasizes clarification. |
| 1.5 | valhe paljastuu | valhe paljastuu | [CORE] | Common in investigative/narrative contexts. |
| 2.1 | väite osoittautuu vääräksi | väite osoittautuu vääräksi | [CORE] | Standard across registers. Common in scientific/analytical contexts. |
| 2.1 | teoria osoittautuu vääräksi | teoria osoittautuu vääräksi | [CORE] | Common in scientific contexts. |
| 2.1 | tieto osoittautuu virheelliseksi | tieto osoittautuu virheelliseksi | [CORE] | Formal register. Standard for information proving erroneous. |
| 2.2 | totuus vääristyy | totuus vääristyy | [CORE] | Common in critical discourse, media analysis. |
