# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Hebrew (he)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| אמת | emet | truth, firmness, stability (from root א-מ-נ) | truth, true, truthfulness | The primary term for truth in Hebrew, used across all registers from biblical to modern contexts. Appears in moral, legal, philosophical, and everyday discourse to denote correspondence with reality or factual accuracy. | [CORE] |
| שקר | sheker | falsehood, deception (from root ש-ק-ר) | lie, falsehood, deception, false | The standard antonym of emet, denoting falsehood or deception. Used in moral condemnation of dishonesty and in factual contexts to indicate something is not true. | [CORE] |
| נכון | nakhon | correct, established, ready (from root כ-ו-נ) | correct, right, true, accurate | Common in modern Hebrew for correctness or accuracy, particularly in factual or procedural contexts. Often used to confirm statements ("that's right") or indicate something is properly done. | [CORE] |
| אמיתי | amiti | true, genuine (adjective derived from emet) | true, real, genuine, authentic | Adjectival form emphasizing genuineness or authenticity of objects, persons, or statements. Distinguishes the real from the fake or superficial. | [CORE] |
| אמין | amin | reliable, trustworthy (from root א-מ-נ) | reliable, trustworthy, credible, faithful | Describes persons, sources, or information that can be trusted or relied upon. Emphasizes reliability and trustworthiness rather than factual truth alone. | [CORE] |
| מדויק | meduyak | precise, exact (passive participle from root ד-י-ק) | precise, accurate, exact | Indicates precision and exactness, particularly in technical, scientific, or detailed contexts. Emphasizes correspondence to fine detail rather than general truth. | [CORE] |
| נאמן | ne'eman | faithful, loyal, reliable (from root א-מ-נ) | faithful, loyal, reliable, trustworthy | Describes persons or things that are dependable and faithful. Used for both personal loyalty and reliability of information or testimony. | [CORE] |
| כנה | kene | honest, sincere (from root כ-נ-ה) | honest, sincere, candid | Describes honesty and sincerity in speech or conduct. Emphasizes the speaker's genuine intention and lack of deception. | [CORE] |
| צודק | tsodek | right, just, correct (from root צ-ד-ק) | right, correct, just | Indicates moral or factual rightness, often with connotations of justice. Used to affirm someone's position in an argument or dispute. | [CORE] |
| יושר | yosher | straightness, uprightness, honesty (from root י-ש-ר) | honesty, integrity, uprightness, fairness | Denotes moral uprightness and honesty in conduct. Often used in ethical and business contexts to describe fair dealing. | [CORE] |
| מציאותי | metsi'uti | real, realistic (from metsi'ut "reality") | real, realistic, actual | Describes what is real or corresponds to reality, as opposed to imaginary or theoretical. Also used for realistic assessments or expectations. | [CORE] |
| אותנטי | otenti | authentic (loanword from European languages) | authentic, genuine | Modern term for authenticity, particularly of objects, artworks, or cultural expressions. Emphasizes originality and genuineness. | [CORE] |
| מהימן | meheyman | reliable, credible (from root א-מ-נ) | reliable, credible, trustworthy | Formal or literary term for reliability and credibility, particularly of sources, testimony, or information. Somewhat more formal than amin. | [CORE] |
| כזב | kazav | lie, falsehood (from root כ-ז-ב) | lie, falsehood, deception | Biblical and literary term for falsehood or lying. Less common in modern colloquial Hebrew than sheker but appears in formal or elevated registers. | [MARGINAL] |
| תקף | takef | valid, in force (from root ת-ק-ף) | valid, in effect, sound | Used primarily in legal and logical contexts to indicate validity of arguments, documents, or claims. Denotes that something is in force or holds. | [CORE] |
| מוצדק | mutsдak | justified, warranted (passive participle from root צ-ד-ק) | justified, warranted, legitimate | Indicates that something is justified or has legitimate grounds. Used in moral and logical argumentation to assess whether claims or actions are warranted. | [CORE] |
| באמת | be'emet | in truth, truly (prepositional phrase) | truly, really, indeed, in truth | Fixed expression used to emphasize truthfulness or reality of a statement. Functions as an adverb or discourse marker to strengthen assertions. | [CORE] |
| דומה | dome | similar, resembling (from root ד-מ-ה) | similar, like, resembling | Indicates resemblance or similarity between things. Used in comparisons and assessments of likeness or correspondence. | [CORE] |
| מזויף | mezuyaf | forged, fake (passive participle from root ז-י-ף) | fake, forged, counterfeit, false | Describes objects, documents, or representations that are deliberately falsified or counterfeit. Emphasizes intentional deception. | [CORE] |
| אמת מידה | amat mida | measuring rod, standard (compound: truth + measure) | criterion, standard, yardstick | Fixed expression denoting a standard or criterion by which something is evaluated. Used in contexts of assessment and judgment. | [CORE] |
| ודאי | vadai | certain, sure (from root י-ד-ע) | certain, sure, definite | Indicates certainty or definiteness of knowledge or facts. Used to express high confidence in the truth of statements. | [CORE] |
| מוכח | mukhaḥ | proven, demonstrated (passive participle from root י-כ-ח) | proven, demonstrated, established | Indicates that something has been proven or demonstrated through evidence or argument. Common in scientific and legal contexts. | [CORE] |
| מעשי | ma'asi | practical, actual (from ma'ase "deed, act") | practical, actual, real | Describes what is practical or actual as opposed to theoretical. Used to assess whether something works in reality. | [CORE] |
| שווא | shav | vain, false, worthless (from root ש-ו-א) | vain, false, worthless, empty | Biblical and literary term for falsehood or vanity, particularly in moral contexts. Appears in religious discourse and elevated registers. | [MARGINAL] |
| ברור | barur | clear, obvious (from root ב-ר-ר) | clear, obvious, evident | Indicates clarity or obviousness of truth or facts. Used when something is manifestly true or evident. | [CORE] |
| אמונה | emuna | ʾ-m-n + feminine noun pattern | faith, belief, trust | Used in religious contexts for faith in God, and in secular contexts for trust or confidence in persons, institutions, or ideas. Central to theological discourse but also common in everyday expressions of trust. | [CORE] |
| להאמין | leha'amin | causative verb form of ʾ-m-n | to believe, to trust, to have faith | The standard verb for believing something to be true or trusting someone. Used across all registers from casual conversation to formal discourse. | [CORE] |
| מאמין | ma'amin | active participle of ha'amin | believer, one who believes | Describes someone who believes or has faith, particularly in religious contexts but also used for anyone who accepts a claim or ideology. | [CORE] |
| אמינות | aminut | ʾ-m-n + abstract noun suffix -ut | reliability, credibility, trustworthiness | Abstract noun used in formal and technical contexts to discuss the reliability of sources, data, measurements, or persons. Common in academic and professional discourse. | [CORE] |
| אמנם | omnam | ʾ-m-n + adverbial suffix | indeed, it is true that, although | Discourse marker used to acknowledge a truth or concede a point, often before introducing a contrasting statement. Common in argumentative and expository writing. | [CORE] |
| אמן | amen | ʾ-m-n (fixed liturgical form) | amen, so be it, truly | Liturgical response affirming the truth or desirability of what has been said. Used in religious services and adopted into secular contexts for emphatic agreement. | [CORE] |
| נאמנות | ne'emanut | ne'eman + abstract noun suffix -ut | faithfulness, loyalty, fidelity | Describes the quality of being faithful or loyal, used in personal relationships, professional ethics, and discussions of textual or historical accuracy. | [CORE] |
| אמת לאמיתה | emet la'amita | truth + to-its-truth (emphatic construction) | the absolute truth, the real truth | Emphatic expression used to stress that something is genuinely true, often after preliminary or partial statements. Common in conversational Hebrew. | [CORE] |
| באמונה | be'emuna | in/with + faith/trust | faithfully, in good faith, trustingly | Adverbial expression indicating that something is done with trust, sincerity, or good faith. Used in legal contexts and descriptions of sincere conduct. | [CORE] |
| מהימנות | meheymanut | meheyman + abstract noun suffix -ut | reliability, credibility, authenticity | Formal term for the quality of being reliable or credible, particularly of sources, documents, or testimony. Common in academic and legal writing. | [CORE] |
| אמת ויציב | emet veyatsiv | truth + and-firm/stable | true and established, absolutely true | Fixed liturgical phrase from Jewish prayer, used to affirm absolute truth. Sometimes used in secular contexts for emphatic affirmation. | [CORE] |
| אמיתות | amitiyut | amiti + abstract noun suffix -ut | authenticity, genuineness, truthfulness | Abstract noun describing the quality of being genuine or authentic. Used in discussions of art, identity, and factual accuracy. | [CORE] |
| לא להאמין | lo leha'amin | not + to-believe | unbelievable, incredible | Common expression of disbelief or amazement, used when something seems too extraordinary to be true (can be positive or negative). | [CORE] |
| מעולם לא האמנתי | me'olam lo he'emanti | from-world not + I-believed | I never believed | Expression used to state that one has never believed something, emphasizing long-standing disbelief or skepticism. | [CORE] |
| אמונת חכמים | emunat ḥakhamim | faith-of + sages/scholars | trust in the sages, scholarly authority | Religious concept referring to trust in rabbinic authority and tradition. Used in discussions of religious epistemology and authority. | [MARGINAL] |
| בתום לב ובאמונה | betom lev uve'emuna | in-innocence-of heart + and-in-faith | in good faith and sincerity | Legal and ethical expression indicating sincere, honest intention without deception. Common in contracts and ethical discourse. | [CORE] |
| אמת מוחלטת | emet muḥletet | truth + absolute | absolute truth | Philosophical and everyday term for truth that is unconditional and universal. Used in epistemological discussions and emphatic assertions. | [CORE] |
| אמת היסטורית | emet historit | truth + historical | historical truth | Academic term for factual accuracy regarding past events. Used in historiography and discussions of historical accuracy versus interpretation. | [CORE] |
| אמת מדעית | emet mada'it | truth + scientific | scientific truth | Term for empirically verified or scientifically established facts. Used in discussions of scientific knowledge and methodology. | [CORE] |
