| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Hori egia da.** | — | “That is true.” | Very common for straightforward truth/correctness judgments in everyday speech and writing. The same copular pattern also supports evaluative forms like **zuzena / okerra**, especially when assessing answers, statements, or choices. Alternate constructions attested in P4a: **X [egia / gezurra / zuzena / okerra] da**. | [CORE] |
| ATTRIBUTION | **Erantzuna okerra da.** | — | “The answer is wrong.” | Natural in evaluative contexts such as teaching, testing, correction, and discussion. Definite predicate forms like **okerra** are especially normal when identifying something as the wrong one. Alternate constructions attested in P4a: **X [egia / gezurra / zuzena / okerra] da**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Hori ez da egia.** | — | “That is not true.” | A very standard way to deny truth or accuracy, with simple copular negation. It is broadly usable in conversation, argumentation, and reporting, and does not require a special antonym. Alternate constructions attested in P4a: **X ez da [egia / zuzena / benetakoa]**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Albiste hori ez da benetakoa.** | — | “That news item is not real/genuine.” | Natural when rejecting authenticity or genuineness rather than only factual truth. Especially suitable for reports, objects, documents, or media items whose reality or legitimacy is in question. Alternate constructions attested in P4a: **X ez da [egia / zuzena / benetakoa]**. | [CORE] |
| ADNOMINAL MODIFICATION | **egiazko istorioa** | — | “a true story” | A normal attributive pattern for classifying nouns by truth or authenticity. Forms in **-zko / -ko** are especially productive in descriptive and written usage. Alternate constructions attested in P4a: **[egiazko / benetako / gezurrezko / faltsu / fidagarri / sinesgarri] + N**. | [CORE] |
| ADNOMINAL MODIFICATION | **gezurrezko agiria** | — | “a false/forged document” | Natural in contexts involving documents, claims, objects, or representations judged false or fake. Choice among modifiers may vary by nuance, but the prenominal adjective pattern itself is well established. Alternate constructions attested in P4a: **[egiazko / benetako / gezurrezko / faltsu / fidagarri / sinesgarri] + N**. | [CORE] |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | **(no common expression identified)** | No secure dedicated inchoative construction was established in the supplied material. The dataset does not support rating any specific “become true/correct/false” pattern as idiomatic here. Alternate constructions attested in P4a: none. | [UNCERTAIN] |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | **(no common expression identified)** | No attested common expression was identified in P4a, so usage remains unclear on the present evidence. No restrictions or variation can be stated securely beyond that absence. Alternate constructions attested in P4a: none. | [UNCERTAIN] |
| CAUSATIVE (OR ABSENCE) | **Datuak egiaztatu dituzte.** | — | “They verified the data.” | This is a normal lexical verb for procedural confirmation or verification, especially in administrative, technical, or factual-checking contexts. It expresses confirmation rather than a productive causative built directly from the attribution pattern. Alternate constructions attested in P4a: **X [egiaztatu / zuzendu]**. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **Irakasleak testua zuzendu du.** | — | “The teacher corrected the text.” | Very common for correcting texts, answers, mistakes, or performance. It is a lexical correction verb and not evidence for a dedicated truth-domain causative construction beyond this verb. Alternate constructions attested in P4a: **X [egiaztatu / zuzendu]**. | [CORE] |
| ABSTRACT NOMINALIZATION | **egiazkotasuna** | — | “truthfulness; authenticity” | A natural abstract noun in formal, descriptive, and evaluative contexts where a quality is being discussed. Derivational abstract nouns of this type are especially common in expository or analytical language. Alternate constructions attested in P4a: **Adj/verb base + abstract noun suffix: -tasun, -pen, -tze**. | [CORE] |
| ABSTRACT NOMINALIZATION | **zuzentasuna** | — | “correctness; rectitude” | Common when discussing correctness, propriety, or normative evaluation in formal or semi-formal registers. The **-tasun** pattern is productive for quality nouns in this semantic area. Alternate constructions attested in P4a: **Adj/verb base + abstract noun suffix: -tasun, -pen, -tze**. | [CORE] |
