# F2a Derivational Table — Swahili (sw)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| kweli | ukweli | ukweli | u- (noun class 11/14 abstract prefix) + -kweli (truth root) | truth, reality, fact (as abstract noun) | Nominalizes the truth concept into an abstract noun referring to the state or quality of being true. This is the standard abstract noun form used in formal and philosophical discourse. | [CORE] |
| kweli | -a kweli | -a kweli | -a (associative marker) + kweli (truth) | of truth, true, genuine (adjectival phrase) | Creates an adjectival phrase through the associative construction. Modifies nouns to indicate genuineness or truthfulness (e.g., "mtu wa kweli" - genuine person). | [CORE] |
| ukweli | -enye ukweli | -enye ukweli | -enye (possessive/having) + ukweli (truth) | having truth, truthful, veracious | Creates an adjectival construction indicating possession of the quality of truthfulness. Used attributively to describe persons or statements. | [CORE] |
| kweli | kwa kweli | kwa kweli | kwa (instrumental/manner preposition) + kweli (truth) | truly, really, indeed, in truth | Forms an adverbial phrase through prepositional construction. Extremely productive and common in everyday speech for emphasis and affirmation. | [CORE] |
| sahihi | usahihi | usahihi | u- (noun class 11/14 abstract prefix) + sahihi (correct) | correctness, accuracy, authenticity | Nominalizes the concept of correctness into an abstract noun. Common in formal, administrative, and academic contexts when discussing accuracy or authenticity. | [CORE] |
| sahihi | sahihisha | sahihisha | sahihi (correct) + -isha (causative suffix) | to correct, to verify, to authenticate, to certify | Causative verb meaning to make correct or to verify as correct. Widely used in administrative, educational, and editorial contexts. | [CORE] |
| sahihisha | sahihishwa | sahihishwa | sahihi (correct) + -ish- (causative) + -wa (passive suffix) | to be corrected, to be verified, to be authenticated | Passive form of the causative. Used when something undergoes correction or verification by an agent. | [CORE] |
| sahihi | -a sahihi | -a sahihi | -a (associative marker) + sahihi (correct) | of correctness, correct, accurate (adjectival) | Associative construction creating an adjectival phrase. Less common than direct adjectival use of "sahihi" but attested in formal contexts. | [MARGINAL] |
| uongo | mwongo | mwongo | m- (noun class 1 person prefix) + -ongo (lie root) | liar, one who lies | Derives a personal noun from the abstract noun/root, referring to a person characterized by lying. Strong moral condemnation in most contexts. | [CORE] |
| mwongo | waongo | waongo | wa- (noun class 2 plural person prefix) + -ongo (lie root) | liars, those who lie | Plural form of mwongo. Regular noun class agreement pattern. | [CORE] |
| uongo | -a uongo | -a uongo | -a (associative marker) + uongo (lie) | of falsehood, false, lying, deceptive | Associative construction creating an adjectival phrase. Used to characterize statements, persons, or representations as false. | [CORE] |
| -onga | uongo | uongo | u- (noun class 11/14 abstract prefix) + -ongo (lie/deceive root) | lying, falsehood, deception (verbal noun) | This represents the deverbal noun formation from the verb "-onga." The directionality of derivation (verb→noun vs. noun→verb) is historically complex. | [CORE] |
| haki | -a haki | -a haki | -a (associative marker) + haki (right/justice) | of right/justice, rightful, just, legitimate | Associative construction creating adjectival phrases. Common in legal and moral discourse (e.g., "mwenye haki" - rightful owner). | [CORE] |
| haki | haki yake | haki yake | haki (right) + yake (his/her/its possessive) | his/her right, their entitlement | Possessive construction. While grammatically regular, this is highly productive and semantically significant in legal and social discourse about rights and entitlements. | [CORE] |
| sawa | usawa | usawa | u- (noun class 11/14 abstract prefix) + sawa (equal/correct) | equality, correctness, balance | Abstract noun referring to the state of being equal or correct. Common in discussions of equality, fairness, and balance. | [CORE] |
| sawa | sawazisha | sawazisha | sawa (equal) + -ish- (causative) + -a (final vowel) | to equalize, to balance, to make equal, to correct | Causative verb meaning to make equal or to bring into balance. Used in contexts of adjustment, correction, and equalization. | [CORE] |
| sawa | -a sawa | -a sawa | -a (associative marker) + sawa (equal/correct) | of equality/correctness, equal, appropriate | Associative construction, though direct adjectival use of "sawa" is more common. Attested but less frequent. | [MARGINAL] |
| halisi | uhalisia | uhalisia | u- (noun class 11/14 abstract prefix) + halisi (genuine) + -a (abstract/stative suffix) | authenticity, genuineness, reality | Abstract noun referring to the quality of being genuine or authentic. Used in philosophical and evaluative discourse about authenticity and reality. | [CORE] |
| uhalisia | kwa uhalisia | kwa uhalisia | kwa (instrumental/manner preposition) + uhalisia (authenticity) | in reality, actually, genuinely, authentically | Adverbial phrase emphasizing actual or genuine nature. Common in contrasting appearance with reality. | [CORE] |
| halisi | -a halisi | -a halisi | -a (associative marker) + halisi (genuine) | of genuineness, genuine, authentic | Associative construction, though direct adjectival use of "halisi" is more common. Attested in formal contexts. | [MARGINAL] |
| dhahiri | udhahiri | udhahiri | u- (noun class 11/14 abstract prefix) + dhahiri (evident) | evidence, manifestation, clarity, obviousness | Abstract noun referring to the quality of being evident or the state of manifestation. Used in formal and analytical discourse. | [CORE] |
| dhahiri | dhihirisha | dhihirisha | dhahiri (evident) + -ish- (causative) + -a (final vowel) [with vowel harmony] | to show, to demonstrate, to manifest, to make evident | Causative verb meaning to make evident or to demonstrate. Common in academic, legal, and explanatory contexts. | [CORE] |
| dhihirisha | dhihirishwa | dhihirishwa | dhahiri (evident) + -ish- (causative) + -wa (passive) | to be shown, to be demonstrated, to be manifested | Passive form of the causative. Used when something is made evident or demonstrated by an agent. | [CORE] |
| hakika | uhakika | uhakika | u- (noun class 11/14 abstract prefix) + hakika (certain) | certainty, sureness, definiteness | Abstract noun referring to the state of being certain. Common in epistemic discourse about confidence and certainty. | [CORE] |
| hakika | hakikisha | hakikisha | hakika (certain) + -ish- (causative) + -a (final vowel) | to make certain, to ensure, to verify, to confirm | Causative verb meaning to make certain or to verify. Extremely common in everyday and formal contexts when ensuring or confirming something. | [CORE] |
| hakikisha | hakikishwa | hakikishwa | hakika (certain) + -ish- (causative) + -wa (passive) | to be verified, to be confirmed, to be ensured | Passive form of the causative. Used when something undergoes verification or confirmation. | [CORE] |
| hakika | kwa hakika | kwa hakika | kwa (instrumental/manner preposition) + hakika (certain) | certainly, surely, definitely, for certain | Adverbial phrase expressing certainty. Common in affirmations and emphatic statements. | [CORE] |
| bandia | ubandia | ubandia | u- (noun class 11/14 abstract prefix) + bandia (artificial) | artificiality, fakeness, counterfeit nature | Abstract noun referring to the quality of being artificial or fake. Used in discussions of authenticity and counterfeiting. | [CORE] |
