# F2b CONSTRUCTIONS TABLE

| Base Form | Construction | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|--------------|---------|-----------------|-------------|-------------|------------------|
| true | come true | Her dreams finally came true. | N/A | be realized, be fulfilled, become reality | Describes wishes, predictions, or dreams being actualized in reality. Common in narrative and everyday speech about hopes and expectations. | [CORE] |
| true | hold true | This principle holds true across all cases. | N/A | remain valid, continue to apply, be accurate | Evaluates statements, principles, or patterns as remaining accurate across contexts or time. Used in analytical and explanatory discourse. | [CORE] |
| true | ring true | His explanation rings true. | N/A | seem genuine, sound believable, feel authentic | Evaluates statements or accounts as seeming genuine or believable based on intuitive assessment. Common in evaluative discourse about credibility. | [CORE] |
| true | true to form | True to form, he arrived late. | N/A | as expected, characteristically, predictably | Evaluates behavior or events as consistent with established patterns or character. Common in narrative and descriptive contexts. | [CORE] |
| true | true to life | The film is remarkably true to life. | N/A | realistic, lifelike, authentic | Evaluates artistic representations, descriptions, or portrayals as accurately reflecting reality. Used in aesthetic and literary criticism. | [CORE] |
| true | true to one's word | She was true to her word and returned the money. | N/A | keeping promises, reliable, trustworthy | Evaluates persons as fulfilling their promises or commitments. Used in moral and practical evaluation of character. | [CORE] |
| true | true to oneself | He remained true to himself despite the pressure. | N/A | authentic, maintaining one's principles, not compromising one's values | Evaluates persons as maintaining their authentic identity or principles. Common in moral and personal development discourse. | [CORE] |
| true | too good to be true | The offer seemed too good to be true. | N/A | suspiciously attractive, unlikely to be genuine | Expresses skepticism about claims or offers that seem unrealistically favorable. Common in everyday evaluative discourse. | [CORE] |
| true | if truth be told | If truth be told, I never liked him. | N/A | to be honest, frankly speaking, actually | Discourse marker introducing a frank or honest admission, often contradicting previous statements or appearances. Somewhat formal or literary. | [CORE] |
| true | truth be told | Truth be told, we made several mistakes. | N/A | to be honest, frankly speaking, actually | Discourse marker introducing a frank or honest admission. More common than "if truth be told" in contemporary usage. | [CORE] |
| true | in truth | In truth, the situation was far worse. | N/A | actually, in fact, truly | Formal or literary expression emphasizing the truth of a statement. Used to introduce corrections or clarifications. | [CORE] |
| true | the truth of the matter | The truth of the matter is that we failed. | N/A | the actual facts, what really happened, the reality | Phrase introducing a frank statement of facts, often after discussion or speculation. Common in explanatory discourse. | [CORE] |
| true | tell the truth | I'm going to tell you the truth. | N/A | speak honestly, be truthful, reveal facts | Refers to the act of speaking truthfully. Extremely common across all registers. | [CORE] |
| true | speak the truth | He always speaks the truth, no matter the cost. | N/A | be truthful, tell the truth, be honest | Refers to habitual or principled truthfulness. Slightly more formal than "tell the truth." | [CORE] |
| true | moment of truth | This is the moment of truth. | N/A | critical moment, decisive point, time of testing | Refers to the point when something is tested or revealed. From bullfighting; used in narrative and dramatic contexts. | [CORE] |
| true | the truth will out | Don't worry—the truth will out eventually. | N/A | the truth will be revealed, facts will emerge | Proverbial expression asserting that truth eventually becomes known. Somewhat archaic or literary; "will out" is archaic verb usage. | [CORE] |
| true | nothing could be further from the truth | He claims I'm lazy, but nothing could be further from the truth. | N/A | completely false, entirely wrong, the opposite is true | Strong denial emphasizing that a claim is completely false. Common in argumentative and defensive discourse. | [CORE] |
| true | to tell (you) the truth | To tell you the truth, I don't really care. | N/A | honestly, frankly, to be honest | Discourse marker introducing a frank statement, often admitting something previously concealed. Very common in conversational English. | [CORE] |
| true | the plain truth | The plain truth is that we can't afford it. | N/A | the simple facts, the unvarnished truth, the straightforward reality | Emphasizes straightforward, unembellished truth. Common in explanatory discourse. | [CORE] |
| true | the honest truth | I'm telling you the honest truth. | N/A | the complete truth, the real facts, genuine truth | Emphasizes sincerity and completeness of truth-telling. Common in conversational contexts where credibility is at stake. | [CORE] |
| true | the whole truth | Tell me the whole truth, not just part of it. | N/A | complete truth, all the facts, nothing concealed | Emphasizes completeness of truth, often in contrast to partial disclosure. Common in legal contexts ("the truth, the whole truth, and nothing but the truth"). | [CORE] |
| true | a grain of truth | There's a grain of truth in what he says. | N/A | a small amount of truth, some truth, a kernel of truth | Acknowledges partial truth in otherwise false or exaggerated claims. Common in evaluative discourse. | [CORE] |
| true | a kernel of truth | Even the wildest rumors often contain a kernel of truth. | N/A | a small amount of truth, some truth, a grain of truth | Acknowledges partial truth in otherwise false or exaggerated claims. Synonymous with "grain of truth." | [CORE] |
