| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| kweli | kweli | basic lexical item; ‘truth, true’ | true, truth, real, indeed | Used very commonly to affirm that a statement is accurate or that something is genuinely the case. It also appears in expressions such as *ni kweli* “it is true” and can mark emphatic confirmation in everyday speech. | [CORE] |
| uongo | uongo | noun; ‘falsehood, lie’ | lie, falsehood, untruth | This is the ordinary word for a lie or something false. It is used for false statements, deception, and sometimes broader accusations that a claim or report is not true. | [CORE] |
| -kweli | -kweli | adjectival stem related to *kweli*; ‘true, genuine’ | true, genuine, real | As an adjectival stem, it occurs with agreement, for example *wa kweli*, *ya kweli*, *cha kweli*. It is used for genuine persons or things, not only for true propositions, as in contrasts between authentic and fake or superficial cases. | [CORE] |
| -ongo | -ongo | adjectival stem from *uongo*; ‘false, lying’ | false, untrue, deceitful | This stem is used in agreeing forms such as *si ya/wa kweli bali ya/wa uongo* and in expressions referring to false statements or deceptive behavior. It is less independent than *uongo* but is clearly part of ordinary evaluative usage around falsity. | [CORE] |
| sahihi | sahihi | borrowing from Arabic; ‘correct, exact, valid’ | correct, accurate, right, valid | This is widely used for correctness in answers, forms, spelling, calculations, and official details. It also extends to precision and exactness, especially in educational, bureaucratic, and informational contexts. | [CORE] |
| usahihi | usahihi | *u-* abstract noun from *sahihi*; ‘correctness, accuracy’ | correctness, accuracy, precision | This noun is used when discussing the quality of being correct or accurate, for example in writing, reporting, or measurement. It is common in formal and semi-formal registers, especially where evaluation of exactness is explicit. | [CORE] |
| -sahihi | -sahihi | adjectival use of *sahihi*; ‘correct, proper’ | correct, proper, accurate | In agreement with noun classes, this stem describes answers, procedures, forms, or identifications as correct. It is especially common in school, administrative, and instructional language. | [CORE] |
| halisi | halisi | lexical item; ‘real, actual, genuine’ | genuine, authentic, real, actual | This word is used for things considered genuine rather than fake, artificial, or merely apparent. It can describe material objects, identity, value, or the actual nature of a situation. | [CORE] |
| uhalisia | uhalisia | *u-* abstract noun from *halisi*; ‘reality, realism, genuineness’ | reality, realism, authenticity, genuineness | This noun appears in philosophical, literary, and general evaluative contexts concerning what is real or realistic. It can refer either to reality itself or to realism/authenticity in representation, depending on context. | [CORE] |
| bandia | bandia | lexical item; ‘fake, imitation, counterfeit’ | fake, counterfeit, imitation, bogus | This is used for objects, documents, medicines, money, or credentials judged not to be genuine. It is common in legal, commercial, and everyday contexts where authenticity is in question. | [CORE] |
| feki | feki | borrowing from English “fake” | fake, bogus, counterfeit | This form is common in colloquial and media usage, especially in urban speech, for fake goods, fake accounts, or fake information. It overlaps with *bandia* but often sounds more informal and contemporary. | [CORE] |
| aminifu | aminifu | from root related to trust/faith; ‘trustworthy, faithful, honest’ | trustworthy, faithful, honest, reliable | This adjective is used for persons whose conduct or statements can be relied on. It often carries a moral dimension, evaluating character as dependable and sincere rather than merely factually correct. | [CORE] |
