| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| truth | truthful | N/A | truth + -ful | truthful; honest | Used for persons, statements, and testimony that conform to truth and do not deceive. It is common in moral, interpersonal, and legal contexts. | [CORE] |
| truth | truthfully | N/A | truthful + -ly | truthfully; honestly | Common as an adverb for speaking or reporting honestly. It also appears as a discourse marker, as in “Truthfully, I was surprised.” | [CORE] |
| truth | truthfulness | N/A | truthful + -ness | truthfulness; honesty | Refers to the quality of being truthful in speech or character. It is well established, though somewhat less common than *honesty* in everyday use. | [CORE] |
| truth | untruth | N/A | un- + truth | untruth; falsehood | Used for a false statement, often with a somewhat formal or euphemistic tone. It is established but less common than *lie* or *falsehood*. | [CORE] |
| truth | untruthful | N/A | un- + truthful | untruthful; dishonest | Used for persons or statements that are not truthful. It is attested and understandable, though less frequent than *dishonest* or *false*. | [MARGINAL] |
| true | truly | N/A | true + -ly | truly; genuinely; really | Very common as both a manner adverb and an intensifier. It is used in statements of sincerity, degree, or factual emphasis. | [CORE] |
| true | trueness | N/A | true + -ness | trueness | Refers to the quality of being true, exact, or faithful. It is attested but much less common than *truth* and often sounds technical, philosophical, or stylistically marked. | [MARGINAL] |
| true | untrue | N/A | un- + true | untrue; false | Commonly used for statements, allegations, or representations that are not true. It is especially frequent in formal denial or correction. | [CORE] |
| correct | correctly | N/A | correct + -ly | correctly | Very common adverb for doing, stating, or identifying something in the right way. It is used across educational, technical, and everyday contexts. | [CORE] |
| correct | correction | N/A | correct + -ion | correction | Refers to the act of correcting or to the corrected form itself. It is common in education, publishing, administration, and technical work. | [CORE] |
| correct | corrective | N/A | correct + -ive | corrective; remedying | Used for measures, actions, or devices intended to correct an error or defect. It is common in technical, medical, and administrative language. | [CORE] |
| correct | correctness | N/A | correct + -ness | correctness | Names the quality of being correct. It is established in formal, educational, and technical discussion, though often narrower than *accuracy*. | [CORE] |
| correct | incorrect | N/A | in- + correct | incorrect | Very common adjective for answers, statements, forms, or procedures that contain error. It is standard in both formal and everyday usage. | [CORE] |
| correct | incorrectly | N/A | incorrect + -ly | incorrectly | Common adverb for doing or stating something in an erroneous way. It is frequent in instruction, criticism, and reporting. | [CORE] |
| correct | incorrectness | N/A | incorrect + -ness | incorrectness | Refers to the quality of being incorrect. It is attested but less common than *error* or *inaccuracy*. | [MARGINAL] |
| right | rightly | N/A | right + -ly | rightly; correctly; justly | Used in formal and semi-formal English for judging, describing, or assigning something correctly or justly. It is especially common in argumentative prose. | [CORE] |
| right | rightness | N/A | right + -ness | rightness; correctness; moral rightness | Refers to the quality of being right, often in ethical or philosophical discussion. It is established but not especially common in everyday speech. | [MARGINAL] |
| right | rightful | N/A | right + -ful | rightful; legitimate | Used for claims, ownership, authority, or inheritance that properly belong to someone. It is common in legal, political, and moral contexts. | [CORE] |
| right | rightfully | N/A | rightful + -ly | rightfully; legitimately | Used to indicate justified possession, entitlement, or attribution. It is common in legal and rhetorical contexts. | [CORE] |
| accurate | accurately | N/A | accurate + -ly | accurately | Very common adverb for describing precise reporting, measurement, depiction, or performance. It is frequent in scientific, technical, and everyday contexts. | [CORE] |
| accurate | inaccuracy | N/A | in- + accuracy | inaccuracy | Refers to an error or lack of accuracy in statements, records, measurements, or representations. It is common in criticism, editing, and technical evaluation. | [CORE] |
| accurate | inaccurate | N/A | in- + accurate | inaccurate | Common adjective for descriptions, data, reports, or measurements that do not match the facts closely enough. It is standard across registers. | [CORE] |
| accurate | inaccurately | N/A | inaccurate + -ly | inaccurately | Common adverb for reporting, measuring, or describing something with error. It is frequent in formal correction and evaluation. | [CORE] |
| accuracy | inaccuracy | N/A | in- + accuracy | inaccuracy | Used for a specific error or for the general quality of being inaccurate. It is common in editorial, scientific, and bureaucratic contexts. | [CORE] |
| accuracy | inaccuracies | N/A | inaccuracy + plural -s | inaccuracies | Frequently used for multiple factual or representational errors in a text, report, or account. This plural form is especially common in criticism and review. | [CORE] |
| genuine | genuinely | N/A | genuine + -ly | genuinely; truly; sincerely | Common adverb for real sincerity, authenticity, or non-fakeness. It is used both for emotions and for judgments of authenticity. | [CORE] |
| genuine | genuineness | N/A | genuine + -ness | genuineness; authenticity | Refers to the quality of being genuine, whether in objects, feelings, or character. It is well established in both commercial and interpersonal evaluation. | [CORE] |
| authentic | authentically | N/A | authentic + -ly | authentically | Used for acting, representing, cooking, performing, or presenting something in an authentic way. It is common in cultural, aesthetic, and evaluative discourse. | [CORE] |
| authentic | authenticity | N/A | authentic + -ity | authenticity | Refers to the quality of being authentic, original, or genuine. It is very common in legal, historical, artistic, and cultural contexts. | [CORE] |
| authentic | authenticate | N/A | authentic + -ate | authenticate; verify as genuine | Used for establishing the genuineness of documents, artworks, identities, or digital access. It is common in legal, archival, and technological contexts. | [CORE] |
| authentic | authentication | N/A | authenticate + -ion | authentication | Refers to the process of proving genuineness or verifying identity. It is common in both security technology and document analysis. | [CORE] |
| authentic | unauthentic | N/A | un- + authentic | inauthentic; unauthentic | This form is attested, but it is much less common than *inauthentic*. It is therefore not the default modern choice. | [UNCERTAIN] |
| authentic | inauthentic | N/A | in- + authentic | inauthentic | Common adjective for things, performances, identities, or expressions judged not genuinely authentic. It is frequent in cultural criticism and interpersonal evaluation. | [CORE] |
| authentic | inauthenticity | N/A | in- + authenticity | inauthenticity | Refers to the quality of being inauthentic. It is established in philosophy, criticism, and cultural commentary. | [CORE] |
| real | really | N/A | real + -ly | really; actually; genuinely | Extremely common adverb in both literal and intensifying uses. It can mark actuality, sincerity, or emphasis. | [CORE] |
| real | reality | N/A | real + -ity | reality | Basic noun for what actually exists or is the case. It is common in philosophy, science, media, and everyday speech. | [CORE] |
| real | realness | N/A | real + -ness | realness | Used for the quality of being real or authentically felt. It is attested, especially in colloquial, aesthetic, and cultural discourse, but is less standard than *reality*. | [MARGINAL] |
| real | unreal | N/A | un- + real | unreal | Used literally for what is not real, and colloquially for something astonishing or hard to believe. The literal sense is well established. | [CORE] |
| real | unreality | N/A | un- + reality | unreality | Refers to the condition or feeling of not being real. It is established but more literary, philosophical, or psychological than everyday. | [MARGINAL] |
| real | realize / realise | N/A | historically real + -ize | realize; become aware of / make actual | Extremely common verb, though synchronically many speakers may not perceive it as transparently derived from *real*. It is firmly established in both cognitive and actualizing senses. | [CORE] |
| real | realization / realisation | N/A | realize + -ation | realization; actualization; dawning awareness | Common noun for the act of becoming aware or making something actual. It is frequent in everyday, philosophical, and planning contexts. | [CORE] |
| valid | validity | N/A | valid + -ity | validity | Refers to the quality of being valid in logical, legal, procedural, or methodological terms. It is very common in formal and technical discourse. | [CORE] |
| valid | validly | N/A | valid + -ly | validly | Used in formal writing for something done or established in a valid manner. It is common in legal, logical, and academic contexts, though less frequent than *validity*. | [CORE] |
| valid | invalidate | N/A | in- + valid + -ate | invalidate; render invalid | Common verb for making an argument, document, result, or claim no longer valid. It is frequent in law, logic, science, and administration. | [CORE] |
| valid | invalidation | N/A | invalidate + -ion | invalidation | Refers to the act or process of rendering something invalid. It is common in legal, scientific, and technical contexts. | [CORE] |
| valid | invalid | N/A | in- + valid | invalid; not valid | Common adjective for arguments, documents, licenses, or procedures that fail to meet required standards. This sense is standard and productive in formal usage. | [CORE] |
| valid | invalidity | N/A | invalid + -ity | invalidity | Refers to the condition of being invalid in legal, logical, or procedural terms. It is common in formal analysis and adjudication. | [CORE] |
