| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: FACTUAL CORRESPONDENCE TERMS | Terms used to evaluate whether statements, information, or representations correspond to actual states of affairs. These expressions appear in contexts where the primary concern is matching claims to reality, particularly in reporting, verification, and correction contexts. They are commonly used with *tieto* "information," *väite* "claim," and *kertomus* "account." | *tosi* "true", *totuus* "truth", *tosiasia* "fact", *tosiasiallinen* "actual, factual", *todellinen* "real, actual", *paikkansapitävä* "accurate, correct", *todenmukainen* "truthful, veracious", *todenperäinen* "truthful, veracious", *pitää paikkansa* "to be true, to hold", *vastata totuutta* "to correspond to truth", *ei pidä paikkaansa* "is not true", *ei ole totta* "is not true", *paikkansapitävä tieto* "accurate information", *tosiasioihin perustuva* "based on facts" | *todellinen* appears here when used with *tilanne* "situation," *ongelma* "problem"; *väärä* appears here when used with *väite* "claim," *tieto* "information"; *tosiasia* appears here as basic term and in Group 16; *totuus* appears here as abstract noun, in Group 16, and in Group 12 | Typical usage contexts: Verification and fact-checking, News reporting and journalism, Administrative documentation, Distinguishing actual from hypothetical situations |
| GROUP 2: CORRECTNESS EVALUATION TERMS | Terms used to evaluate whether answers, procedures, methods, or choices are correct or proper according to standards, norms, or expectations. These expressions commonly appear in educational, instructional, and evaluative contexts, often with *vastaus* "answer," *tapa* "way/method," and *ratkaisu* "solution." | *oikea* "right, correct", *oikeellinen* "correct, accurate", *oikein* "correctly, right", *väärä* "wrong, incorrect", *väärin* "wrongly, incorrectly", *virheellinen* "erroneous, faulty", *olla oikeassa* "to be right", *olla väärässä* "to be wrong", *oikea vastaus* "correct answer", *oikealla tavalla* "the right way", *väärä käsitys* "wrong impression", *virheellinen tieto* "erroneous information" | *oikea* appears here when used with *vastaus* "answer," *tapa* "way" and also in Group 3; *väärä* appears here when used with *vastaus* "answer", also in Group 1 and Group 13 | Typical usage contexts: Educational assessment, Instructions and procedures, Problem-solving, Evaluating understanding or interpretation. Note: *Oikea* and *väärä* also appear in Group 1 contexts, but with distinct usage patterns |
| GROUP 3: AUTHENTICITY AND GENUINENESS TERMS | Terms used to distinguish genuine, authentic, or real things from imitations, fakes, or pretense. These expressions commonly appear with nouns denoting objects (*nahka* "leather," *taide* "art"), persons (*ystävä* "friend"), and emotions (*rakkaus* "love"), emphasizing the contrast between authentic and counterfeit. | *aito* "genuine, authentic", *aitous* "genuineness, authenticity", *aidosti* "genuinely", *todellinen* "real, actual" (in some contexts), *oikea* "real, genuine" (in some contexts), *oikea nimi* "real name", *tosimies* "real man", *tosiystävä* "true friend", *tosirakkauden* "true love", *aito nahka* "genuine leather", *aito ystävä* "true friend" | *todellinen* appears here when used with *ystävä* "friend," *rakkaus* "love" and also in Group 1; *oikea* appears here when used with *nimi* "name," *nahka* "leather" and also in Group 2 | Typical usage contexts: Product authentication, Character evaluation, Distinguishing sincere from insincere, Evaluating relationships |
| GROUP 4: DECEPTION AND FALSIFICATION TERMS | Terms used for deliberate acts of creating false representations, lying, or deceiving. These expressions emphasize intentional misrepresentation and commonly appear in moral, legal, and interpersonal contexts. They contrast with unintentional error terms. | *valhe* "lie, falsehood", *valehdella* "to lie", *valehtelija* "liar", *valheellinen* "false, mendacious", *väärentää* "to forge, to counterfeit", *väärennös* "forgery, counterfeit", *väärennösrikos* "forgery (crime)", *petollinen* "deceptive, deceitful", *petollisuus* "deceitfulness", *vääristää* "to distort, to falsify", *vääristely* "distortion, falsification", *harhaanjohtava* "misleading, deceptive", *puhua valhetta* "tell a lie", *elää valheessa* "live a lie", *valkoinen valhe* "white lie", *vääristää totuutta* "distort the truth", *harhaanjohtava mainonta* "misleading advertising", *väärä todistus* "false testimony" | *vääristää* appears here when emphasizing intentional falsification and also in Group 12 | Typical usage contexts: Moral evaluation, Legal proceedings, Interpersonal trust, Media criticism |
| GROUP 5: HONESTY AND SINCERITY TERMS | Terms used to characterize persons, statements, or intentions as honest, truthful, or sincere. These expressions emphasize moral character and genuine intent, commonly appearing in character evaluations and personal communication. They form the positive counterpart to Group 4. | *rehellinen* "honest, truthful", *rehellisyys* "honesty", *rehellisesti* "honestly", *vilpitön* "sincere, genuine", *vilpittömyys* "sincerity", *vilpittömästi* "sincerely", *rehellisesti sanottuna* "honestly speaking", *olla rehellinen* "to be honest", *vilpitön halu* "sincere desire", *vilpittömästi pahoillaan* "sincerely sorry", *aito ja rehellinen* "genuine and honest" | None noted | Typical usage contexts: Character evaluation, Personal communication, Moral discourse, Apologies and admissions |
| GROUP 6: EVIDENTIAL AND PROOF TERMS | Terms used in contexts of establishing truth through evidence, demonstration, or testimony. These expressions commonly appear in legal, scientific, and argumentative contexts where claims must be supported or verified through evidence. | *todistaa* "to prove, to testify", *todiste* "proof, evidence", *todistaja* "witness", *todistus* "certificate, testimony", *todistusaineisto* "body of evidence", *todistustaakka* "burden of proof", *todistuskappale* "piece of evidence", *todistettava* "provable", *todistettavasti* "provably, demonstrably", *todentaa* "to verify, to authenticate", *todentaminen* "verification", *esittää todisteita* "present evidence", *kiistaton todiste* "indisputable evidence", *todistaa syyttömyytensä* "prove one's innocence", *todistaa vääräksi* "prove false", *todistaa oikeaksi* "prove correct" | None noted | Typical usage contexts: Legal proceedings, Scientific demonstration, Argumentation, Administrative verification |
| GROUP 7: RELIABILITY AND CREDIBILITY TERMS | Terms used to evaluate whether sources, persons, or information can be trusted or believed. These expressions focus on the trustworthiness of information sources and the believability of claims, commonly appearing in contexts of information evaluation and source assessment. | *luotettava* "reliable, trustworthy", *luotettavuus* "reliability", *uskottava* "believable, credible", *uskottavuus* "credibility", *luotettava lähde* "reliable source", *luotettava tieto* "reliable information", *uskottava selitys* "credible explanation", *ei kuulosta uskottavalta* "doesn't sound credible" | None noted | Typical usage contexts: Source evaluation, Information assessment, Testimony evaluation, Media literacy |
| GROUP 8: PROBABILITY AND LIKELIHOOD TERMS | Terms used to express degrees of likelihood or probability that something is true or will occur. These expressions appear in predictive and epistemic contexts where certainty is qualified, commonly with complement clauses. | *todennäköinen* "probable, likely", *todennäköisyys* "probability, likelihood", *todennäköisesti* "probably, likely", *on todennäköistä että* "it is probable that", *hyvin todennäköinen* "very probable" | None noted | Typical usage contexts: Predictions, Risk assessment, Epistemic qualification, Scientific probability |
| GROUP 9: CLAIM AND ASSERTION TERMS | Terms used for making claims or assertions without necessarily committing to their truth. These expressions are neutral regarding truth value and commonly appear in contexts of reported speech, debate, and argumentation. | *väittää* "to claim, to assert", *väite* "claim, assertion", *väittely* "debate, argumentation", *väittelijä* "debater", *väitös* "dissertation defense", *väittää olevansa* "claim to be", *väittää että* "claim that", *väittää vastaan* "argue against" | None noted | Typical usage contexts: Reported speech, Debate and argumentation, Academic discourse, Neutral claim reporting |
