# F2a DERIVATIONAL TABLE
# Language: Korean (ko)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| 진실 (jinsil) — truth | 진실성 | jinsilseong | 진실 (truth) + 성 (quality/nature) | truthfulness, veracity, authenticity | Abstract noun referring to the quality of being truthful. Used in formal evaluation of statements, representations, or character. | [CORE] |
| 신빙 (sinbing) — credibility | 신빙성 | sinbingseong | 신빙 (trust-evidence) + 성 (quality/nature) | credibility, reliability | Abstract noun for the quality of being credible or reliable. Common in evaluating sources, testimony, or information. | [CORE] |
| 진정 (jinjeong) — genuine | 진정성 | jinjeongseonɡ | 진정 (genuine) + 성 (quality/nature) | authenticity, genuineness, sincerity | Abstract noun for the quality of being genuine or authentic. Used in formal discourse about intentions, emotions, or artistic expression. | [CORE] |
| 실효 (silhyo) — actual effect | 실효성 | silhyoseong | 실효 (actual effect) + 성 (quality/nature) | effectiveness, practical efficacy | Abstract noun for the quality of having actual effect or practical results. Common in policy evaluation. | [CORE] |
| 타당 (tadang) — valid | 타당성 | tadangseong | 타당 (appropriate-suitable) + 성 (quality/nature) | validity, reasonableness | Abstract noun for the quality of being valid or reasonable. Used in evaluating arguments, claims, or decisions. | [CORE] |
| 정당 (jeongdang) — legitimate | 정당성 | jeongdangseong | 정당 (correct-appropriate) + 성 (quality/nature) | legitimacy, justification | Abstract noun for the quality of being legitimate or justified. Used in legal, political, and moral evaluation. | [CORE] |
| 진실 (jinsil) — truth | 진실로 | jinsilro | 진실 (truth) + 로 (instrumental/manner marker) | truly, truthfully, in truth | Adverbial form emphasizing truthfulness or sincerity of statements or actions. Somewhat formal. | [CORE] |
| 진심 (jinsim) — sincerity | 진심으로 | jinsimeuro | 진심 (true heart) + 으로 (instrumental/manner marker) | sincerely, from the heart, genuinely | Adverbial expression emphasizing genuine feeling or intention. Very common in apologies, thanks, and emotional expressions. | [CORE] |
| 사실 (sasil) — fact | 사실상 | sasilsang | 사실 (fact) + 상 (on/upon) | in fact, actually, de facto | Adverbial expression meaning "in actual fact" or "de facto." Used to contrast actual reality with formal or theoretical status. | [CORE] |
| 정확 (jeonghwak) — accurate | 정확하다 | jeonghwakhada | 정확 (correct-precise) + 하다 (to be/do) | to be accurate, to be precise | Adjectival verb describing precision and correctness. Very common across all contexts. | [CORE] |
| 정직 (jeongjik) — honesty | 정직하다 | jeongjikada | 정직 (upright-straight) + 하다 (to be/do) | to be honest, to be truthful | Adjectival verb describing honest character or truthful behavior. Common in character assessment. | [CORE] |
| 솔직 (soljik) — frankness | 솔직하다 | soljikada | 솔직 (straightforward-direct) + 하다 (to be/do) | to be frank, to be candid | Adjectival verb describing directness and openness in communication. Very common in everyday speech. | [CORE] |
| 진정 (jinjeong) — genuine | 진정하다 | jinjeonghada | 진정 (true-genuine) + 하다 (to be/do) | to be genuine, to be sincere | Adjectival verb describing genuine feelings or authentic nature. Common in formal contexts. | [CORE] |
| 확실 (hwaksil) — certain | 확실하다 | hwaksilhada | 확실 (certain-real) + 하다 (to be/do) | to be certain, to be sure | Adjectival verb expressing certainty or definiteness. Very common in both formal and informal contexts. | [CORE] |
