# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Truth-telling and lying in speech acts | This group contains terms specifically focused on the act of making true or false statements in communication. These expressions center on the speaker's relationship to truth in what they say, distinguishing between telling truth, telling lies, and related speech behaviors. The core contrast is between αλήθεια/αληθεύω (truth-telling) and ψέμα/ψεύδομαι (lying), with extensions to habitual liars (ψεύτης) and the quality of statements (ψευδής, αληθινός when applied to statements). | αλήθεια (alítheia) — truth; λέω την αλήθεια (léo tin alítheia) — to tell the truth; αληθεύω (alithévo) — to tell the truth, to speak truly; ψέμα (pséma) — lie; λέω ψέματα (léo psémata) — to tell lies; ψεύδομαι (psévomai) — to lie, to deceive; ψεύτης (pséftis) — liar; ψεύτρα (pséftra) — (female) liar; ψευδής (pseudís) — false, lying (of statements); ψευδολογία (psevdología) — lying, mendacity; ψευδολόγος (psevdológos) — lying, mendacious; liar; ψευτιά (pseftiá) — lying, mendacity, lies (collective); ψέμα για καλό (pséma ya kaló) — lie for good purpose, white lie; άσπρο ψέμα (áspro pséma) — white lie; κοτσάνα ψέματα (kotsána psémata) — big lies, whopping lies | αληθινός (alithinós) — can apply to statements ("true story") but also to objects and persons ("genuine friend"), overlapping with GROUP 3; ψεύτικος (pséftikos) — can apply to statements but also to objects ("fake jewelry"), overlapping with GROUP 3 | |
| GROUP 2: Legal and testimonial falsity | This group comprises terms specifically used in legal, judicial, and formal testimonial contexts where falsity has legal consequences. These expressions mark violations of oath, false witness, perjury, and fraudulent legal documents. The terms are distinguished by their association with formal legal proceedings, oaths, and official documentation rather than everyday lying. | ψευδορκία (psevdorkía) — perjury, false oath; ψευδόρκος (psevdórkos) — perjured, forsworn; perjurer; ψευδομαρτυρία (psevdomartyría) — false testimony, false witness; ψευδομάρτυρας (psevdomártyras) — false witness, perjurer; ψευδής μαρτυρία (psevdís martyría) — false testimony, perjury; ψευδής κατηγορία (psevdís katigoría) — false accusation; ψευδής υπόσχεση (psevdís ypóschesi) — false promise; πλαστά έγγραφα (plastá éngrafa) — forged documents; πλαστή υπογραφή (plastí ypografí) — forged signature; πλαστή ταυτότητα (plastí taftótita) — fake identity, forged ID; γνήσια υπογραφή (gnísια ypografí) — genuine signature | | |
| GROUP 3: Authenticity and counterfeit objects | This group contains terms distinguishing genuine objects, products, and artifacts from fake, forged, or counterfeit ones. These expressions are primarily used in commercial, artistic, and material contexts to evaluate whether physical items are authentic originals or fraudulent copies. The focus is on the provenance and material genuineness of objects rather than truth of statements or correctness of actions. | γνήσιος (gnísios) — genuine, authentic, legitimate; γνήσιο προϊόν (gnísio proïón) — genuine product; γνησιότητα (gnisiótita) — genuineness, authenticity; αυθεντικός (afthentikós) — authentic, genuine, original; αυθεντικό έργο τέχνης (afthentikó érgo téchnis) — authentic work of art; αυθεντικότητα (afthentikótita) — authenticity; πλαστός (plastós) — fake, forged, counterfeit; πλαστά χαρτονομίσματα (plastá chartonomísmata) — counterfeit banknotes; κίβδηλος (kívdilos) — counterfeit, spurious, adulterated; νόθος (nóthos) — spurious, illegitimate, bastard; νοθεία (nothía) — adulteration, corruption; ψεύτικος (pséftikos) — false, fake (when applied to objects); ψευδοπόδιο (psevdopódio) — pseudopod (biological extension) | αληθινός (alithinós) — when applied to objects ("genuine leather") belongs here, but also applies to statements (GROUP 1) and persons (GROUP 4) | |
| GROUP 4: Sincerity and hypocrisy in character | This group focuses on the authenticity or insincerity of persons in their conduct and self-presentation. These terms evaluate whether people are genuine in their emotions, beliefs, and relationships, or whether they are pretending and deceiving through their behavior. The emphasis is on consistency between inner state and outward presentation, particularly in interpersonal and moral contexts. | ειλικρινής (eilikrinís) — sincere, honest, genuine; ειλικρίνεια (eilikríneia) — sincerity, honesty; ειλικρινής απάντηση (eilikrinís apántisi) — honest answer; ειλικρινής φίλος (eilikrinís fílos) — sincere friend; αληθινός φίλος (alithinós fílos) — true friend; αληθινή αγάπη (alithiní agápi) — true love; υποκριτής (ipokritís) — hypocrite, pretender; υποκρισία (ipokrisía) — hypocrisy, pretense; υποκριτικός (ipokritikós) — hypocritical, insincere; απατηλός (apatilós) — deceptive, misleading (when applied to persons); απάτη (apáti) — deception, fraud; απατεώνας (apateónas) — swindler, fraud, con artist | | |
| GROUP 5: Correctness and error in actions and judgments | This group contains terms evaluating whether actions, decisions, answers, or procedures conform to standards, rules, or proper execution. The focus is on doing things correctly versus making mistakes, with emphasis on practical correctness rather than truth of statements. These terms are common in educational, technical, and everyday problem-solving contexts. | σωστός (sostós) — correct, right, proper; σωστά (sostá) — correctly, rightly; σωστή απάντηση (sostí apántisi) — correct answer; κάνω το σωστό (káno to sostó) — to do the right thing; σωστεύω (sostévo) — to correct, to fix; λάθος (láthos) — error, mistake, wrong; κάνω λάθος (káno láthos) — to make a mistake; λαθεμένος (latheménos) — mistaken, wrong; λαθεύω (lathévo) — to make a mistake; διορθώνω το λάθος (diorthóno to láthos) — to correct the mistake; κατά λάθος (katá láthos) — by mistake, accidentally; ανθρώπινο λάθος (anthrópino láthos) — human error; ορθός (orthós) — correct, right, straight; ορθότητα (orthótita) — correctness, rightness; ορθή χρήση (orthí chrísi) — correct use | | |
| GROUP 6: Precision and accuracy in measurement and description | This group comprises terms emphasizing exactness, precision, and detailed accuracy in quantitative measurement, temporal specification, and descriptive detail. These expressions are used when correspondence to precise values or detailed specifications is important, particularly in technical, scientific, and administrative contexts. The focus is on degree of precision rather than simple correctness. | ακριβής (akrivís) — accurate, exact, precise; ακριβώς (akrivós) — exactly, precisely; ακρίβεια (akríveia) — accuracy, precision, exactness; ακριβής ώρα (akrivís óra) — exact time; ακριβής αριθμός (akrivís arithmós) — exact number; ακριβής περιγραφή (akrivís perigrafí) — accurate description | | |
| GROUP 7: Reality versus appearance or virtuality | This group contains terms distinguishing what actually exists or occurs from what merely appears, seems, or exists in representation. These expressions mark the contrast between real phenomena and virtual, notional, or apparent ones, particularly relevant in contemporary contexts involving digital technology, simulations, and deceptive appearances. | πραγματικός (pragmatikós) — real, actual, true; πραγματικότητα (pragmatikótita) — reality, actuality; πραγματικός κόσμος (pragmatikós kósmos) — real world; πραγματική ζωή (pragmatikí zoí) — real life; πραγματικό γεγονός (pragmatikó gegonós) — real event; εικονικός (eikonikós) — virtual, notional, apparent; εικονική πραγματικότητα (eikonikí pragmatikótita) — virtual reality; εικονικός κόσμος (eikonikós kósmos) — virtual world; ψευδαίσθηση (psevdaísthisi) — illusion, false perception; απατηλή εμφάνιση (apatilí emfánisi) — deceptive appearance; αληθοφάνεια (alithofáneia) — verisimilitude, appearance of truth; αληθοφανής (alithofanís) — verisimilar, truth-like, plausible | | |
| GROUP 8: Justice and fairness in moral and legal evaluation | This group focuses on terms evaluating actions, persons, and situations according to standards of justice, fairness, and moral rightness. These expressions are used in moral reasoning, legal judgment, and social evaluation to distinguish just from unjust treatment, fair from unfair actions, and righteous from wrongful conduct. | δίκαιος (díkaios) — just, fair, righteous; δικαιοσύνη (dikaiosýni) — justice, fairness; δίκαιη κρίση (díkαii krísi) — fair judgment; δικαιώνω (dikαióno) — to justify, to vindicate; δικαίωμα (dikaíoma) — right, entitlement; άδικος (ádikos) — unjust, unfair; αδικία (adikía) — injustice, unfairness; άδικη μεταχείριση (ádiki metachírisi) — unfair treatment; αδικώ (adikó) — to wrong, to treat unjustly | | |
| GROUP 9: Legal and administrative validity | This group contains terms specifically marking whether documents, contracts, arguments, or procedures have legal force, proper authorization, or logical validity. These expressions are used in legal, administrative, and formal contexts to distinguish valid from invalid, legitimate from illegitimate, with emphasis on proper authority and procedural correctness rather than truth or factual accuracy. | έγκυρος (énkyros) — valid, legitimate, authoritative; εγκυρότητα (enkyrótita) — validity, legitimacy; έγκυρο έγγραφο (énkyro éngrafo) — valid document; έγκυρη πηγή (énkyri pigí) — valid source, authoritative source; έγκυρο επιχείρημα (énkyro epichírima) — valid argument; άκυρος (ákyros) — invalid, null, void; ακυρότητα (akyrótita) — invalidity, nullity; ακυρώνω (akyróno) — to invalidate, to cancel; άκυρη ψήφος (ákyri psífos) — invalid vote; άκυρο συμβόλαιο (ákyro symvóleo) — void contract | | |
