# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Georgian (ka)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| ჭეშმარიტი (ch'eshmarit'i) "true, genuine" | ჭეშმარიტება | ch'eshmarit'eba | ჭეშმარიტ- (ch'eshmarit'- "true") + -ებ- (-eb-) + -ა (-a nominal) | truth, veracity, truthfulness | Abstract noun denoting the quality or state of being true. Used in philosophical and formal discourse as an alternative to სიმართლე (simart'le), often with slightly more elevated or religious connotations. | [CORE] |
| ჭეშმარიტი (ch'eshmarit'i) "true, genuine" | ჭეშმარიტად | ch'eshmarit'ad | ჭეშმარიტ- (ch'eshmarit'-) + -ად (-ad adverbial) | truly, really, genuinely | Adverbial form used to emphasize the truth or genuineness of a statement. Functions as an intensifier affirming accuracy or authenticity in both formal and everyday contexts. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სიმართლე | simart'le | სი- (si- abstract nominalizer) + მართ- (mart'- "right") + -ლ- (-l-) + -ე (-e nominal) | truth, veracity | The primary abstract noun for "truth" in Georgian. Used across all registers from everyday conversation to philosophical discourse to denote both the concept of truth and truthful statements. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლაც | mart'lats | მართ- (mart'- "right") + -ლ- (-l-) + -აც (-ats emphatic particle) | really, indeed, truly | Common adverbial expression used to affirm truth or seek confirmation. Functions both as an intensifier and as a question marker seeking verification in conversational contexts. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართალია | mart'alia | მართ- (mart'-) + -ალ- (-al-) + -ი (-i) + -ა (-a copula) | it is true, it is correct | Predicative construction affirming the truth or correctness of something. Very common in everyday speech and writing as a way to validate statements or claims. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართებული | mart'ebuli | მართ- (mart'- "right") + -ებ- (-eb- verbal formant) + -ულ- (-ul- participial) + -ი (-i nominal) | justified, well-founded, legitimate | Used in formal and legal contexts to describe claims, arguments, or actions that are justified or have legitimate grounds. Common in academic and administrative writing. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართებულად | mart'ebulad | მართ- (mart'-) + -ებ- (-eb-) + -ულ- (-ul-) + -ად (-ad adverbial) | justifiably, legitimately, properly | Adverb indicating that something is done in a justified or legitimate manner. Common in formal argumentation and evaluation of actions or claims. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | უმართებულო | umart'ebulo | უ- (u- privative "without") + მართ- (mart'-) + -ებ- (-eb-) + -ულ- (-ul-) + -ო (-o adjectival) | unjustified, unfounded, illegitimate | Describes claims, actions, or arguments that lack justification or legitimate grounds. Used in formal and critical discourse to challenge the validity of positions. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | გამართლება | gamart'leba | გა- (ga- preverb) + მართ- (mart'- "right") + -ლ- (-l- verbal suffix) + -ებ- (-eb- thematic) + -ა (-a nominal) | justification, vindication, excuse | Used in legal, moral, and everyday contexts for justifying actions or vindicating someone's position. Also used for excuses or explanations of behavior. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | გამართლებული | gamart'lebuli | გა- (ga- preverb) + მართ- (mart'- "right") + -ლ- (-l-) + -ებ- (-eb-) + -ულ- (-ul- participial) + -ი (-i) | justified, vindicated, excused | Describes persons or actions that have been justified or vindicated. Used in legal judgments and moral evaluations to indicate that something has been shown to be right or acceptable. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართვა | mart'va | მართ- (mart'- "right/direct") + -ვ- (-v- verbal) + -ა (-a nominal) | management, governance, control, steering | Used for management of organizations, governance of states, or control/steering of vehicles. Very common in administrative and technical contexts, showing semantic extension from "making right" to "directing." | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართავს | mart'avs | მართ- (mart'- "direct/manage") + -ავ- (-av- present) + -ს (-s 3rd person) | manages, governs, controls, steers | Verb form used for managing, governing, or controlling. Common in descriptions of leadership, administration, and vehicle operation. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სამართალი | samart'ali | სა- (sa- nominalizing prefix) + მართ- (mart'- "right") + -ალ- (-al- suffix) + -ი (-i nominal) | law, justice, legal system | The primary term for law and the legal system. Used in legal, political, and everyday contexts to refer to laws, legal rights, and justice as an institutional system. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სამართლებრივი | samart'lebrivi | სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -ებრ- (-ebr- "according to") + -ივ- (-iv- adjectival) + -ი (-i) | legal, juridical, lawful | Adjective describing things pertaining to law. Common in legal documents, administrative texts, and formal discourse about legal matters. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სამართლიანი | samart'liani | სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -იან- (-ian- adjectival suffix) + -ი (-i) | just, fair, righteous | Describes conduct, decisions, or situations that are morally right and fair. Commonly used in legal, ethical, and everyday evaluative contexts. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სამართლიანად | samart'lianad | სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -იან- (-ian-) + -ად (-ad adverbial) | justly, fairly, righteously | Adverb describing actions done in a just or fair manner. Common in moral evaluations and descriptions of fair treatment. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | სამართლიანობა | samart'lianoba | სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -იან- (-ian-) + -ობ- (-ob- abstract nominalizer) + -ა (-a) | justice, fairness, righteousness | Abstract noun for the concept of justice or fairness. Central term in ethical, legal, and political philosophy and everyday moral discourse. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | უსამართლო | usamart'lo | უ- (u- privative "without") + სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -ო (-o adjectival) | unjust, unfair, wrong | Describes actions, situations, or judgments that lack justice or fairness. Used in moral and legal evaluations of conduct and decisions. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | უსამართლობა | usamart'loba | უ- (u- privative) + სა- (sa-) + მართ- (mart'-) + -ლ- (-l-) + -ობ- (-ob- abstract) + -ა (-a) | injustice, unfairness, wrongdoing | Abstract noun for injustice or unfair treatment. Used in moral, legal, and political discourse to describe unjust situations or actions. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლმსაჯული | mart'lmsajuli | მართ- (mart'- "right") + -ლ- (-l-) + მსაჯ- (msaj- "judge") + -ულ- (-ul-) + -ი (-i) | justice, judicial system, jurisprudence | Formal term for the justice system or judicial process. Used in legal and administrative contexts, somewhat archaic or elevated in register. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლმადიდებელი | mart'lmadidebeli | მართ- (mart'- "right") + -ლ- (-l-) + მადიდებ- (madideb- "glorifying") + -ელ- (-el- agent) + -ი (-i) | Orthodox (Christian) | Religious term for Orthodox Christianity, literally "right-glorifying." Used to describe the Georgian Orthodox Church and Orthodox believers. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლმადიდებლობა | mart'lmadidebloba | მართ- (mart'- "right") + -ლ- (-l-) + მადიდებ- (madideb-) + -ლ- (-l-) + -ობ- (-ob- abstract) + -ა (-a) | Orthodoxy (Christian faith) | Abstract noun for Orthodox Christianity as a faith system. Used in religious, historical, and cultural discourse. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართებს | mart'ebs | მართ- (mart'- "right/proper") + -ებ- (-eb- present) + -ს (-s 3rd person) | it is proper, it befits, it is fitting | Impersonal verb expressing propriety or fittingness. Used in formal and literary contexts to indicate what is appropriate or seemly. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლზომიერი | mart'lzomieri | მართ- (mart'- "right") + -ლ- (-l-) + ზომ- (zom- "measure") + -იერ- (-ier- adjectival) + -ი (-i) | moderate, temperate, reasonable | Describes behavior, opinions, or actions that are moderate and reasonable. Used in moral and political discourse to praise balanced approaches. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლზომიერება | mart'lzomiereba | მართ- (mart'-) + -ლ- (-l-) + ზომ- (zom-) + -იერ- (-ier-) + -ებ- (-eb-) + -ა (-a) | moderation, temperance, reasonableness | Abstract noun for the quality of being moderate or temperate. Used in ethical discourse and character evaluation. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | გამართული | gamart'uli | გა- (ga- preverb) + მართ- (mart'- "straight/proper") + -ულ- (-ul- participial) + -ი (-i) | well-organized, well-arranged, smooth-running | Describes events, systems, or processes that are well-organized and run smoothly. Common in evaluations of events, meetings, and organizational systems. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლწერა | mart'lts'era | მართ- (mart'- "right") + -ლ- (-l-) + წერ- (ts'er- "write") + -ა (-a nominal) | orthography, correct spelling | Technical term for correct spelling and orthographic rules. Used in educational and linguistic contexts. | [CORE] |
| მართალი (mart'ali) "right, correct, just" | მართლმეტყველება | mart'lmet'q'veleba | მართ- (mart'- "right") + -ლ- (-l-) + მეტყველ- (met'q'vel- "speech") + -ებ- (-eb-) + -ა (-a) | correct speech, proper diction, orthodoxy (in speech) | Formal term for correct or proper speech, including both linguistic correctness and doctrinal orthodoxy. Used in linguistic and religious contexts. | [MARGINAL] |
| სწორი (sts'ori) "correct, right, proper, straight" | სიწორე | sits'ore | სი- (si- abstract nominalizer) + წორ- (ts'or- "correct") + -ე (-e nominal) | correctness, rightness, straightness | Abstract noun denoting the quality of being correct or straight. Used in both physical and metaphorical senses across various contexts. | [CORE] |
| სწორი (sts'ori) "correct, right, proper, straight" | სწორად | sts'orad | სწორ- (sts'or-) + -ად (-ad adverbial) | correctly, rightly, properly, straight | Adverb indicating that something is done correctly or properly. Very common in everyday instructions and evaluations. | [CORE] |
| სწორი (sts'ori) "correct, right, proper, straight" | გასწორება | gasts'oreba | გა- (ga- preverb) + სწორ- (sts'or-) + -ებ- (-eb-) + -ა (-a nominal) | correction, straightening, rectification | Noun for the act of correcting errors or straightening something. Used in educational, editorial, and technical contexts. | [CORE] |
| სწორი (sts'ori) "correct, right, proper, straight" | გასწორებული | gasts'orebuli | გა- (ga-) + სწორ- (sts'or-) + -ებ- (-eb-) + -ულ- (-ul- participial) + -ი (-i) | corrected, straightened, rectified | Describes something that has been corrected or straightened. Common in descriptions of edited texts or repaired objects. | [CORE] |
| ყალბი (q'albi) "false, fake" | გაყალბება | gaq'albeba | გა- (ga- preverb) + ყალბ- (q'alb-) + -ებ- (-eb-) + -ა (-a nominal) | falsification, forgery, counterfeiting | Noun for the act of falsifying or forging documents, currency, or other items. Common in legal and commercial contexts. | [CORE] |
| ყალბი (q'albi) "false, fake" | გაყალბებული | gaq'albebuli | გა- (ga-) + ყალბ- (q'alb-) + -ებ- (-eb-) + -ულ- (-ul- participial) + -ი (-i) | falsified, forged, counterfeited | Describes items that have been falsified or forged. Used in legal contexts and commercial fraud cases. | [CORE] |
| ტყუილი (t'q'uili) "lie, falsehood" | ტყუილად | t'q'uilad | ტყუილ- (t'q'uil-) + -ად (-ad adverbial) | in vain, for nothing, falsely | Adverb indicating that something is done without result or purpose, or that something is false. Common in everyday speech and literary contexts. | [CORE] |
| ტყუილი (t'q'uili) "lie, falsehood" | ტყუილუბრალოდ | t'q'uilubralod | ტყუილ- (t'q'uil-) + უბრალ- (ubral- "simple") + -ოდ (-od adverbial) | simply, just, merely, for no reason | Common adverb meaning "simply" or "just," often used to minimize or downplay something. Very frequent in conversational Georgian. | [CORE] |
| ტყუილი (t'q'uili) "lie, falsehood" | ტყუარა | t'q'uara | ტყუ- (t'q'u- "lie") + -არ- (-ar- agent/characteristic) + -ა (-a nominal) | liar, deceiver | Common everyday term for a liar. Used in moral judgments and accusations of dishonesty, more colloquial than formal alternatives. | [CORE] |
