| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** | Bu haber doğru. | *bu haber doğru* | "This news is correct/true." | Null-copula predicate-adjective is the default pattern in everyday speech and writing; *-dır* variant (*Bu haber doğrudur*) is restricted to formal, assertive, or written registers. No agreement inflection on the adjective. Ubiquitous across all registers; tense and evidential variants (*doğruydu*, *doğruymuş*) are fully productive and common in journalistic and spoken registers. | [CORE] |
| **1. ATTRIBUTION** | Bu iddia doğru. | *Bu iddia doğru.* | "This claim is correct." | Same null-copula pattern; no restrictions on which truth-domain adjective fills the predicate slot. | [CORE] |
| **1. ATTRIBUTION** | Belge sahte. | *Belge sahte.* | "The document is fake." | Same pattern; no restrictions on which truth-domain adjective fills the predicate slot. | [CORE] |
| **1. ATTRIBUTION** | İddia asılsız. | *iddia asılsız* | "The claim is unfounded/baseless." | Same null-copula pattern; *asılsız* is a lexicalized privative form, not a productive negation. Typical in journalistic and evaluative contexts. | [CORE] |
| **1. ATTRIBUTION (adnominal)** | doğru haber | *doğru haber* | "correct news, accurate report" | Fully productive in everyday speech, journalism, and formal writing; no observable register restriction. Adjective position is fixed pre-nominally; postposition of adjective is unattested in this domain. | [CORE] |
| **1. ATTRIBUTION (adnominal)** | sahte belge | *sahte belge* | "forged document, fake document" | Frequent in legal and journalistic contexts; *sahte* is the standard attributive for document forgery. No morphological variation on the adjective. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Bu bilgi doğru değil. | *Bu bilgi doğru değil.* | "This information is not correct." | The *değil* negation strategy for adjectival predicates is the standard and obligatory form; no alternate negation strategy exists for this construction type. Tense and evidential suffixes attach to *değil* (*değildi*, *değilmiş*). | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Bu belge gerçek değil. | *bu belge gerçek değil* | "This document is not real/genuine." | *Değil* is the sole negation strategy for adjectival predicates; no alternate negation construction is attested in this slot. Fully productive across all truth-domain adjectives. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | İddia doğru değil. | *iddia doğru değil* | "The claim is not correct/true." | Fully productive across all truth-domain adjectives. Privative derivatives (*asılsız*, *geçersiz*) are lexical items, not alternates to this construction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Bu haber doğru değil. | *Bu haber doğru değil.* | "This news is not correct." | The *değil* strategy is the default syntactic negation for predicative adjectives across all registers. *Değil* is invariant and follows the adjective directly; tense and agreement are suffixed to *değil* itself. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (double negation)** | İddia asılsız değil. | *İddia asılsız değil.* | "The allegation is not unfounded." | Double negation (*asılsız değil* = "not unfounded") is grammatical and used for rhetorical attenuation; pragmatically marked but structurally regular. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (privative)** | asılsız iddialar | *asılsız iddialar* | "unfounded/baseless claims" | Frequent in formal, legal, and journalistic registers; *asılsız* is a fixed lexical item in these contexts. The privative *-sız/-siz* strategy produces new lexical items rather than compositional negation; not all bases accept it freely. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Güvenilir kaynak | *güvenilir kaynak* | "reliable source" | The dominant and unmarked adnominal pattern; no agreement morphology required. Freely productive across all P1 adjectives and all noun types. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Asılsız iddia | *asılsız iddia* | "unfounded allegation" | Same pattern; collocational preferences exist (e.g., *asılsız iddia* is a near-fixed pairing in legal and journalistic registers) but the construction itself is fully general. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Sahte belgeyle yakalandı. | *sahte belgeyle yakalandı* | "He/she was caught with a forged document." | Modifier precedes head noun invariantly; all case inflection falls on the head noun. *Bir* may intervene between modifier and noun without disruption. Fully productive across all truth-domain adjectives listed in P4a. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Güvenilir bir kaynaktan aldım. | *güvenilir bir kaynaktan aldım* | "I got it from a reliable source." | Same pattern with indefinite *bir* intervening; ablative case on head noun. No restriction on adjective class within the truth domain. | [CORE] |
| **3. ADNOMINAL MODIFICATION (-lı/-li)** | geçerli pasaport | *geçerli pasaport* | "valid passport" | *Geçerli* is fully lexicalized and is the standard term for document/credential validity in administrative and legal contexts. The *-lı/-li* suffix is productive but individual derivatives vary in lexicalization degree. | [CORE] |
| **3. ADNOMINAL MODIFICATION (-sal/-sel)** | doğrusal denklem | *doğrusal denklem* | "linear equation" | *Doğrusal* is restricted to technical/mathematical registers; it does not occur freely in everyday truth-domain discourse. The *-sal/-sel* suffix is productive in technical vocabulary but rare in general truth-domain attribution. | [MARGINAL] |
| **4. BECOME / INCHOATIVE (morphological)** | Meşrulaşmak | *meşrulaşmak* | "to become legitimate" | The morphological *-laş-* strategy is core for lexically licensed items (*meşrulaşmak*, *yasalaşmak*); not all P1 bases accept it productively. | [CORE] |
| **4. BECOME / INCHOATIVE (morphological)** | Hareket zamanla meşrulaştı. | *hareket zamanla meşrulaştı* | "The movement became legitimate over time." | Morphological *-leş-* inchoative is productive where conventionalized; temporal adverbials (*zamanla*, *giderek*) are typical co-occurring elements. Not all truth-domain adjectives have a conventionalized *-leş-* form. Common in political, social, and journalistic discourse; *meşrulaşmak* is a fully lexicalized inchoative. | [CORE] |
| **4. BECOME / INCHOATIVE (morphological)** | Hayalleri gerçekleşti. | *hayalleri gerçekleşti* | "Their dreams came true / were realized." | *Gerçekleşmek* is highly frequent but has shifted toward the meaning "to occur, to take place" in addition to "to become real"; the original inchoative reading is still available but context-dependent. The subject is typically an abstract noun (plan, dream, prediction). | [CORE] |
| **4. BECOME / INCHOATIVE (morphological)** | Hayali gerçekleşti. | *Hayali gerçekleşti.* | "His/her dream came true / materialized." | *Gerçekleşmek* is fully lexicalized and extremely frequent across all registers; it has extended beyond the strict truth domain to mean "to occur/materialize" in general. | [CORE] |
| **4. BECOME / INCHOATIVE (periphrastic)** | Geçersiz hale gelmek | *geçersiz hale gelmek* | "to become invalid / to come to be void" | The periphrastic *hale gelmek* strategy is core and universally available for all adjectives; it is the default where *-laş-* is unavailable or marginal. | [CORE] |
