| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| Assertion-of-truth expressions / Reality-asserting expressions / Propositional truth assertion and denial | These expressions are used by a speaker to affirm that a proposition corresponds to fact, or to frame a statement as sincere and accurate. They appear in contexts where the speaker is either making a direct claim of truth or intensifying the credibility of what they are saying, including in response to claims, in argument, and in contexts where a speaker is committing to or challenging the factual status of a proposition. They contrast with expressions in the falsehood/deception group and are distinct from correctness expressions, which evaluate correctness of procedures or documents rather than propositional truth. | *kweli*; *ukweli*; *kweli kweli*; *kwa kweli*; *kwa kweli kweli*; *kweli kabisa*; *kweli ni kweli*; *Hii ni kweli*; *hakika*; *kwa hakika*; *bila shaka*; *dhahiri*; *Nakuambia kweli*; *ni kweli*; *si kweli*; *ni kweli kabisa kwamba...*; *kweli au uongo*; *Je, ni kweli?*; *ukweli ni kwamba...*; *ukweli wa mambo ni kwamba...*; *ni sahihi*; *si sahihi*; *sahihi kabisa*; *haki kabisa!*; *ukweli mtupu*; *ukweli wote*; *sahihi sahihi*; *sawa*; *sawa sawa*; *ni dhahiri kwamba…*; *kwa dhahiri*; *hali halisi*; *halisi*; *haki* (in truth-asserting uses); *haki ya Mungu*; *ukweli wa Mungu* | *hakika* and *bila shaka* also appear in the certainty/reliability group; *kweli kweli* and *kwa kweli* also appear in Group 2; *halisi* also appears in Group 8; *haki* also appears in rights/justice and moral rightness groups; *dhahiri* also appears in Group 6; *sawa* also overlaps with moral fairness group | Within this group, there is a further distinction in usage between expressions that assert truth of a statement (*kweli*, *sahihi*, *sawa*) and expressions that assert the genuineness of an object or situation (*halisi*, *hali halisi*). *Sahihi* is used of answers, documents, and calculations; *halisi* is used of gold, goods, and persons. *Dhahiri* is distinctive in that it asserts self-evidence rather than simple accuracy. *Haki kabisa* is used as an affirmative response particle in spoken Swahili and overlaps with the rights/justice group, but its use as a truth-affirmation response is well attested. |
| Sincerity framing in discourse | These expressions are used at the beginning of utterances, or parenthetically, to signal that the speaker is being honest or genuine — not to assert the truth of a specific proposition, but to frame the entire speech act as sincere. They function as discourse markers rather than as predicates. | *kwa kweli*; *kwa kweli, sijui*; *kusema ukweli*; *kusema ukweli, sikupenda hilo*; *kweli kweli, hii ni ajabu*; *kwa kweli kweli* | *kwa kweli* and *kweli kweli* also appear in Group 1 | The distinction observed in usage is that in Group 1 these expressions modify a specific propositional claim, while here they frame the speaker's overall stance. *Kusema ukweli* as a parenthetical is particularly characteristic of this group and does not appear in Group 1 usage. |
| Certainty and reliability expressions | These expressions are used to evaluate whether a piece of information, a source, or a claim can be relied upon or is known with confidence. They appear in epistemic contexts where the speaker is assessing how sure they or others are, and they contrast with *shaka* (doubt) and *bila uhakika* (without certainty). They differ from Group 1 in that they focus on the epistemic status of the knower or source rather than on the propositional content of a claim. | *uhakika*; *hakika*; *bila uhakika*; *kwa uhakika*; *hakika kabisa*; *Nina uhakika*; *Sina uhakika*; *shaka*; *bila shaka*; *kuhakikisha*; *uhakikisho*; *uaminifu wa chanzo*; *uaminifu wa habari* | *kuhakikisha* and *uhakikisho* also appear in Group 6; *hakika* and *bila shaka* also appear in Group 1 | *kuhakikisha* is used in both everyday procedural contexts (making sure a door is closed) and in epistemic verification contexts (confirming a fact). The procedural uses do not involve truth evaluation at all, which means this verb spans this group and contexts entirely outside the truth domain. |
| Correctness and accuracy expressions / Accuracy and correctness evaluation | These expressions are used to evaluate whether a statement, calculation, document, answer, or procedure meets a standard of accuracy or correctness. They are particularly common in educational, administrative, legal, scientific, and technical contexts. They differ from Group 1 in that they evaluate against a standard or norm (correct/incorrect) rather than asserting correspondence to fact in a general sense. They are frequently applied to specific domains by the pattern *X sahihi* or *usahihi wa X*. | *sahihi*; *usahihi*; *Ni sahihi*; *Si sahihi*; *sahihi kabisa*; *jibu sahihi*; *taarifa sahihi*; *nakala sahihi*; *sahihi na kamili*; *tarehe sahihi*; *kwa usahihi*; *kwa usahihi zaidi*; *kwa usahihi zaidi, idadi ni elfu tatu, si mbili*; *usahihi wa takwimu*; *usahihi wa lugha*; *usahihi wa habari*; *usahihi wa tafsiri*; *usahihi wa taarifa*; *usahihi wa kipimo*; *kusahihisha*; *kusahihishwa*; *usahihishaji*; *msahihishaji / wasahihishaji*; *takwimu sahihi*; *matamshi sahihi*; *sarufi sahihi*; *tafsiri sahihi*; *hesabu sahihi*; *maelezo sahihi*; *lugha sahihi*; *utambuzi sahihi*; *thibitisha usahihi*; *kuhakikisha usahihi*; *jibu lako si sahihi — jaribu tena*; *taarifa hii imethibitishwa kuwa sahihi*; *hakikisha kuwa taarifa ni sahihi kabla ya kuisambaza*; *sahihisha makosa*; *hii si sahihi*; *sahihi sahihi* | *kusahihisha* also appears in Group 6 when used of document validation | *sahihi* also has a distinct use as "signature" (see Group 7), which is a separate usage cluster. The correctness/accuracy cluster is the dominant one in terms of frequency and range of contexts. The pattern *kwa usahihi zaidi* as a precision-correction frame is particularly characteristic. |
| Falsehood, deception, and inauthenticity expressions | These expressions are used to identify a statement, object, or person as false, deceptive, or not genuine, and to characterize acts, persons, or patterns of conduct as involving deliberate deception, misleading, or fraud. They appear in contexts of accusation, moral condemnation, legal evaluation, commercial fraud detection, and narrative contexts where the intentional production of false impressions is at issue. Several of these expressions contrast directly with authenticity expressions in Group 7. | *uongo*; *Hii ni uongo*; *Piga uongo*; *Anapiga uongo*; *kusema uongo*; *uongo mtupu*; *uongo wa wazi*; *Uongo una miguu mifupi*; *Uongo ni dhambi*; *kusema uongo ni dhambi*; *kueneza uongo*; *amejaa uongo*; *uongo wake ulidhihirika*; *kudanganya*; *udanganyifu*; *danganyifu*; *mdanganyifu / wadanganyifu*; *kudanganywa*; *kudanganyika*; *alikudanganya kwa makusudi*; *kudanganya kwa maneno na matendo*; *alidanganywa na macho yake mwenyewe*; *udanganyifu wake ulifunuliwa hadharani*; *kujikinga na udanganyifu*; *ghushi*; *kughushi*; *mghushi / waghushi*; *Hii ni ghushi*; *Si kweli*; *nusu ukweli*; *ulaghai*; *mlaghai*; *kulaghai*; *kesi ya ulaghai*; *alishtakiwa kwa ulaghai*; *muongo*; *waongo*; *shahidi wa uongo*; *imani potofu*; *muongo wa hali ya juu* | *bandia* overlaps with this group but is treated as the core of Group 8; *ghushi* overlaps with both this group and Group 8; *nusu ukweli* is a borderline item | *uongo* is primarily used of statements and verbal acts; *bandia* is primarily used of objects, documents, and physical goods. *udanganyifu* and *kudanganya* emphasize the deliberate, intentional character of the deception, whereas *uongo* can describe a false statement without necessarily implying intent. *muongo* and *mdanganyifu* are agentive forms that characterize persons rather than acts or objects. *ulaghai* is more specific than *udanganyifu*, carrying connotations of material fraud and appearing more in legal contexts. The distinction between *uongo* (falsehood as a state or product) and *kudanganya* (the act of deceiving) is consistently maintained in usage. The construction *ukweli nusu ni uongo* explicitly bridges this group and Group 1. |
| Verification, confirmation, and proof expressions | These expressions are used when a speaker or institution acts to establish, confirm, or demonstrate that something is true, authentic, or correct. They appear in legal, administrative, academic, journalistic, and everyday procedural contexts. They differ from Group 1 (asserting truth) in that they describe a process or act of establishing truth rather than simply claiming it. | *thibitisha*; *kuthibitisha*; *uthibitisho*; *kuthibitishwa*; *mthibitisho*; *kuhakikisha*; *uhakikisho*; *hakikisha*; *kudhihirisha*; *udhihirisho*; *kudhihirika*; *dhahiri*; *ushahidi*; *ushahidi wa maandishi*; *ushahidi wa kutosha*; *ushahidi madhubuti*; *kukusanya ushahidi*; *kutoa ushahidi*; *kupinga ushahidi*; *shahidi*; *shahidi wa jicho*; *kushuhudia*; *uthibitisho wa maandishi*; *uthibitisho wa kisayansi*; *kutoa uthibitisho*; *kuthibitisha utambulisho*; *kuthibitisha madai*; *thibitisha habari kabla ya kuisambaza*; *habari imethibitishwa na vyanzo vingi*; *uthibitisho wa hati*; *thibitisha utambulisho wako*; *kuthibitisha kuwa halisi*; *taarifa hii imethibitishwa kuwa sahihi* | *kuhakikisha* and *uhakikisho* also appear in Group 3; *dhahiri* also appears in Group 1; *uthibitisho* also overlaps with Group 7; *kusahihisha* also appears here when used of document validation | *kuhakikisha* is used in both everyday procedural contexts (making sure a door is closed) and in epistemic verification contexts (confirming a fact). The procedural uses do not involve truth evaluation at all. *thibitisha* and *ushahidi* are the central items in this group. *thibitisha* is oriented toward the act of verifying or confirming; *ushahidi* is oriented toward the material or testimony used as the basis for verification. *kudhihirisha* and *kudhihirika* overlap with this group in argumentative contexts but also appear in Group 1 contexts. |
| Document signature and authentication expressions | These expressions cluster around the use of *sahihi* in its extended sense of "signature," and are used in administrative, legal, and commercial contexts where a document requires a signature or formal authentication. This usage is distinct from the correctness/accuracy uses of *sahihi* documented in Group 4, though both derive from the same form. | *sahihi* (signature meaning); *sahihi ya mkono*; *sahihi ya kidole*; *sahihi ya dijiti*; *sahihi ya kidijitali*; *weka sahihi*; *weka sahihi hapa*; *tia sahihi*; *kuhakikisha sahihi*; *sahihi yake haikubaliani na ile ya pasipoti*; *hati sahihi*; *uthibitisho* | *uthibitisho* overlaps with Group 6 | This group is relatively small and tightly defined. It is included because the usage pattern is clearly distinct from other uses of *sahihi* and because the expressions form a coherent cluster in administrative and legal practice. |
| Genuineness and counterfeit expressions / Authenticity and genuineness evaluation | These expressions are used to evaluate whether an item, person, or practice is the real thing or an imitation. They are particularly common in commercial, legal, and cultural contexts. The contrast between *halisi* (genuine) and *bandia* (fake) is the clearest organizing opposition in this group. These expressions differ from Group 5 in that they focus on the status of objects and things rather than on the acts or character of persons. | *halisi*; *uhalisi*; *dhahabu halisi*; *bidhaa halisi*; *Hii ni halisi*; *Si halisi*; *mtu halisi*; *upendo halisi*; *hisia halisi*; *picha halisi*; *halisi na ya kweli*; *halisi kwa asilimia mia*; *hii ni halisi, si bandia*; *halisi au bandia — jinsi ya kutofautisha*; *nakala halisi*; *hati halisi*; *bandia*; *pesa bandia*; *bidhaa bandia*; *dawa bandia*; *hati bandia*; *habari bandia*; *picha bandia*; *akili bandia*; *tabasamu la bandia*; *Hii ni bandia*; *hii ni bandia — usiinunue*; *jinsi ya kutambua bidhaa bandia*; *dawa bandia zinaweza kuua*; *asili*; *wa asili*; *ghushi* | *uhalisi* also has distinct uses in literary/aesthetic discourse (Group 11) and in reference to actual conditions (Group 12); *asili* also has uses in cultural and philosophical discourse about origins (Group 17); *ghushi* overlaps with both this group and Group 5; *mtu halisi* and *hisia halisi* overlap with Group 10 | *halisi* evaluates against a standard of genuineness (not counterfeit), while *asili* evaluates against a standard of origin (not modified or imported). *akili bandia* (artificial intelligence) belongs to this group in form but is used in technology discourse without the evaluative negativity characteristic of this group; *bandia* here carries the "artificial/not natural" sense rather than the "counterfeit/fraudulent" sense and does not fit cleanly into this group as defined by usage patterns in the truth-evaluation domain. |
| Legitimacy and lawfulness expressions | These expressions are used to evaluate whether an act, claim, document, or entitlement is legally or morally valid and recognized. They appear in legal, religious, and political discourse. They are oriented toward the question of whether something is rightfully permitted or recognized, rather than simply whether it is factually accurate. | *halali*; *uhalali*; *uhalali wa kisheria*; *uhalali wa kikatiba*; *uhalali wa uchaguzi*; *kuhalalisha*; *kuhalalishwa*; *uhalalishaji*; *kuthibitisha uhalali*; *kupinga uhalali*; *halali ya kisheria*; *halali ya kidini*; *chakula halali*; *mali halali*; *mrithi halali*; *serikali halali*; *haki halali*; *haki* (in entitlement uses); *haki za binadamu*; *kudai haki*; *nakala halisi*; *hati halisi* | *haki* overlaps with Groups 1, 9, and 13; *nakala halisi* and *hati halisi* overlap with Group 8 | (none stated beyond overlaps noted) |
