| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| òtítọ́ | òtítọ́ | from *títọ́* “straight, correct, true” with nominal prefix *ò-* | truth, correctness, rightness, accuracy | Used for the truth of a statement, the correctness of an account, or the rightness of a matter more generally. It is very common in everyday speech as well as in religious, moral, and philosophical discussion. | [CORE] |
| òtọ́ | òtọ́ | nominal/adjectival form associated with “truth, correctness, genuineness” | truth, true thing, correctness, genuineness | This form is used in many contexts for what is true or genuine, and also appears in contrasts with falsity or deception. In actual usage it can overlap strongly with *òtítọ́*, though distributions may vary by speaker and expression. | [CORE] |
| òtítọ́ ni | òtítọ́ ni | “it is truth / it is true” | it is true, that is true, indeed true | This fixed expression is used to affirm the truth of a statement or report. It commonly occurs in conversation when agreeing that something said is accurate or correct. | [CORE] |
| irọ́ | irọ́ | lie, falsehood | lie, falsehood, untruth | Used for a false statement, deception, or what is not true. It is one of the basic opposites of *òtítọ́* in ordinary moral and evaluative discourse. | [CORE] |
| irọ́ ni | irọ́ ni | “it is a lie / it is falsehood” | it is a lie, that is false, that is untrue | This expression is used to reject a statement as false or deceptive. It is common in direct conversational evaluation of claims, accusations, and reports. | [CORE] |
| jẹ́ òtítọ́ | jẹ́ òtítọ́ | “be truth / be true” | be true, be correct, be genuine | This verbal expression is used predicatively for statements, rumors, claims, and sometimes appearances or identities. It is a standard way to say that something turns out to be true or valid. | [CORE] |
| kì í ṣe òtítọ́ | kì í ṣe òtítọ́ | “is not truth” | is not true, is incorrect, is false | This is a common negative evaluative expression for denying the truth of a statement or report. It is less accusatory than directly calling something *irọ́* in some contexts, since it can simply mark inaccuracy. | [CORE] |
| títọ́ | títọ́ | straightness; correctness; truth | straight, correct, true, proper | The form is used both literally for straightness and more abstractly for correctness or truth. This overlap supports uses in evaluating conduct, procedure, and statements as proper or right. | [CORE] |
| tọ́ | tọ́ | be right, be correct, be proper | be right, be correct, be proper | This is a common predicate for saying that a person, action, judgment, or statement is right or correct. It is widely used in everyday argument, moral evaluation, and practical decision-making. | [CORE] |
| kò tọ́ | kò tọ́ | “it is not right / not correct” | it is not right, it is wrong, it is improper | This expression is used for moral wrongness, procedural impropriety, or factual incorrectness depending on context. It is very common in evaluating behavior as well as judgments and decisions. | [CORE] |
| dájú | dájú | be certain, be sure, be definite | be certain, be sure, be definite, be reliable | This item is used when something is certain, settled, or dependable. It often evaluates the reliability of information, the firmness of evidence, or the trustworthiness of an expectation. | [CORE] |
| ó dájú | ó dájú | “it is certain / it is sure” | it is certain, surely, definitely | This fixed expression commonly marks confidence in the truth or likelihood of a statement. It is frequent in both ordinary conversation and more formal persuasive speech. | [CORE] |
| àdéhùn | àdéhùn | agreement, covenant, contract | agreement, contract, covenant | In legal and social contexts this refers to a binding agreement whose validity and faithfulness can be evaluated. It is relevant where genuineness, enforceability, or correctness of representation is at issue. | [CORE] |
| ẹ̀rí | ẹ̀rí | evidence, testimony, proof | evidence, proof, testimony | This is used for evidence supporting the truth of a claim or the reality of an event. It is common in legal, religious, and everyday argumentative contexts where reliability and verification matter. | [CORE] |
| ẹlẹ́rìí | ẹlẹ́rìí | “owner/bearer of testimony” | witness, testifier | This refers to a witness whose reliability or credibility may be evaluated. It is especially common in legal, religious, and narrative contexts involving attestation of truth. | [CORE] |
| ìdánimọ̀ | ìdánimọ̀ | identification, recognition | identification, identity verification, recognition | This is used for establishing who or what something fundamentally is, especially in administrative or legal settings. It is relevant where authenticity, identity, or correct attribution is being checked. | [CORE] |
| ojúlówó | ojúlówó | conventional lexical item; often associated with genuineness/authenticity | genuine, authentic, original, real | This is commonly used for genuine goods, authentic documents, or a real/original item as opposed to an imitation. It is especially natural in commercial and evaluative contexts involving authenticity. | [CORE] |
| èké | èké | falsehood, deceit | lie, deceit, falsity, fake | This item is used for falsity and deception, and in some contexts can modify things understood as fake or deceptive. It appears in moral and religious discourse as well as ordinary accusation. | [CORE] |
| òdodo | òdodo | justice, righteousness, fairness | justice, righteousness, fairness, rightness | This is used in moral, legal, and religious contexts for what is just or righteous. It evaluates conduct, judgment, and social arrangements in terms of rightness rather than mere factual truth. | [CORE] |
| olódodo | olódodo | “one possessing justice/righteousness” | righteous person, just person, honest person | This refers to a person regarded as upright, just, or morally truthful. It is used in moral and religious evaluation of character and conduct. | [CORE] |
| ìwà rere | ìwà rere | “good character / good conduct” | good character, good conduct, virtue | This fixed expression evaluates a person’s conduct and moral quality. While not specifically about factual truth, it is central in Yoruba usage for judging whether behavior is right and commendable. | [CORE] |
| ìwà búburú | ìwà búburú | “bad character / bad conduct” | bad character, bad conduct, vice | This expression is used to condemn conduct or character as morally wrong. It often contrasts with *ìwà rere* in ethical evaluation of persons and actions. | [CORE] |
| àṣìṣe | àṣìṣe | mistake, error | mistake, error, fault | This is used when a statement, action, calculation, or representation is incorrect. It is common in practical, educational, and administrative contexts where accuracy is being assessed. | [CORE] |
