| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| सत्य | सत्यम् | satyam | neuter form of *satya* | truth; true; it is true | Commonly used as a noun meaning “truth,” and also in predicative use (“it is true”). It is widespread in literary, religious, and philosophical Sanskrit. | [CORE] |
| सत्य | सत्यता | satyatā | *satya* + abstract suffix *-tā* | truth; truthfulness; correctness | This abstract noun denotes the quality of being true. It is especially common in reflective, scholastic, and evaluative discussion. | [CORE] |
| सत्य | सत्यवचन | satyavacana | *satya* + *vacana* “speech, utterance” | truthful speech; true statement | Used for speech that accords with fact or truth. It appears especially in ethical and normative contexts. | [CORE] |
| सत्य | सत्यवादिन् | satyavādin | *satya* + *vādin* “speaker” | truth-speaker; truthful person | A common descriptive and ethical term for one who speaks the truth. It occurs in narrative, didactic, and religious contexts. | [CORE] |
| सत्य | सत्यवादी | satyavādī | *satya* + *vādī* “speaker, one who says” | truthful; one who tells the truth | Widely used for a truthful person, especially in later and Sanskritized usage. It overlaps in function with *satyavādin*. | [CORE] |
| सत्य | सत्यभाषण | satyabhāṣaṇa | *satya* + *bhāṣaṇa* “speaking” | truthful speaking | Used in moral and didactic contexts where truthfulness in speech is treated as a virtue. It emphasizes the act or practice of speaking truth. | [CORE] |
| सत्य | सत्यभाषिन् | satyabhāṣin | *satya* + *bhāṣin* “speaker” | truthful speaker | Refers to a person who habitually speaks truth. It is used in praise and character evaluation. | [CORE] |
| सत्य | सत्यसंध | satyasaṃdha | *satya* + *saṃdha* “firm, faithful to” | true to one’s word; faithful to truth | Common in epic and kāvya for a person who keeps promises and remains faithful to truth. It often has a strong ethical and heroic coloring. | [CORE] |
| सत्य | सत्यपरायण | satyaparāyaṇa | *satya* + *parāyaṇa* “devoted to” | devoted to truth | Used for a person deeply committed to truthfulness. It is common in ethical, religious, and laudatory discourse. | [CORE] |
| सत्य | सत्यनिष्ठ | satyaniṣṭha | *satya* + *niṣṭha* “steadfast, grounded in” | steadfast in truth; truthful | Describes stable commitment to truth rather than a single true utterance. It is common in moral and character evaluation. | [CORE] |
| सत्य | सत्यशील | satyaśīla | *satya* + *śīla* “conduct, character” | of truthful character | Used for a person whose disposition or conduct is truthful. It appears in ethical and literary description. | [CORE] |
| सत्य | सत्यपालन | satyapālana | *satya* + *pālana* “keeping, maintaining” | observance of truth; keeping truth | Refers to maintaining truthfulness or keeping one’s truthful commitment. It is used in ethical and religious contexts. | [CORE] |
| सत्य | सत्यप्रतिज्ञ | satyapratijña | *satya* + *pratijña* “vow, pledge” | true to one’s vow; whose pledge is true | Common in epic and literary usage for one whose promise is fulfilled. It often shades into reliability and vow-keeping. | [CORE] |
| सत्य | असत्य | asatya | privative *a-* + *satya* | false; untrue | The standard antonym of *satya*, used for falsehood in speech, character, or representation. It is common across ethical and descriptive contexts. | [CORE] |
| सत्य | असत्यवचन | asatyavacana | *a-* + *satya* + *vacana* | false statement; untruthful speech | Used for false utterance or lying, especially in ethical and juridical contexts. It directly contrasts with *satyavacana*. | [CORE] |
| सत्य | असत्यवादिन् | asatyavādin | *a-* + *satya* + *vādin* | speaker of falsehood; liar | Used for one who speaks falsely. It appears in moral, narrative, and polemical contexts. | [CORE] |
| सत्यम् | सत्यता | satyatā | from adjectival/nominal base *satya* + *-tā* | truth; truthfulness | Although formally built from *satya*, this abstract noun belongs directly to the same lexical family as *satyam*. It is used for the quality or condition of being true. | [CORE] |
| सत्यम् | (no common derivation identified) |  |  |  | No additional common derivation identified specifically from the neuter citation form *satyam* apart from the broader *satya* family. |  |
| सत्यता | (no common derivation identified) |  |  |  | No common further derivation was identified that is both clearly established and directly based on *satyatā* rather than on *satya*. |  |
| सत्यवचन | (no common derivation identified) |  |  |  | No common further derivation identified. |  |
| ऋत | अनृत | anṛta | privative *an-* + *ṛta* | falsehood; untruth; wrong | An old and important antonym of *ṛta*, especially in Vedic and moral-religious contexts. It is used for lying, untruth, and violation of right order. | [CORE] |
| ऋत | (no common derivation identified) |  |  |  | No additional common derivation identified within the present truth-relevant lexical set. |  |
| तथ्य | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| यथार्थ | यथार्थता | yathārthatā | *yathārtha* + abstract suffix *-tā* | reality; accuracy; truth; exactness | Denotes the quality of being accurate or corresponding to reality. It is common in analytical and philosophical discussion. | [CORE] |
| यथार्थ | यथार्थत्व | yathārthatva | *yathārtha* + abstract suffix *-tva* | actuality; correctness; realism | Used in scholastic and philosophical prose for the state of being real or accurate. It is especially at home in technical discussion. | [CORE] |
| यथार्थ | यथार्थज्ञान | yathārthajñāna | *yathārtha* + *jñāna* “knowledge” | true knowledge; accurate cognition | Refers to cognition that corresponds to reality. It is common in philosophical discourse and often contrasted with error. | [CORE] |
| यथार्थ | यथार्थदर्शन | yathārthadarśana | *yathārtha* + *darśana* “seeing, view” | seeing things as they are; accurate perception | Used for correct apprehension of reality in philosophical and religious contexts. It emphasizes veridical seeing or understanding. | [CORE] |
| यथार्थ | यथार्थवचन | yathārthavacana | *yathārtha* + *vacana* | accurate statement; statement of fact | Used for speech or writing that correctly represents the matter at hand. It is common in learned and descriptive contexts. | [CORE] |
| यथार्थ | यथार्थवर्णन | yathārthavarṇana | *yathārtha* + *varṇana* “description” | accurate description; realistic depiction | Used for representation faithful to the actual state of affairs. It appears in literary, historical, and descriptive contexts. | [CORE] |
| यथार्थ | यथार्थनिरूपण | yathārthanirūpaṇa | *yathārtha* + *nirūpaṇa* “determination, exposition” | accurate exposition; correct determination | Common in scholastic and commentarial writing for precise exposition of a matter as it really is. It has a technical and analytical flavor. | [CORE] |
| यथार्थ | यथार्थबोध | yathārthabodha | *yathārtha* + *bodha* “understanding” | correct understanding; true apprehension | Used for understanding that matches reality. It is common in philosophical and pedagogical contexts. | [CORE] |
| यथार्थ | यथार्थचित्रण | yathārthacitraṇa | *yathārtha* + *citraṇa* “depiction” | realistic depiction | Used in literary and artistic criticism for depiction faithful to reality. It is especially relevant in representational evaluation. | [CORE] |
| यथार्थ | अयथार्थ | ayathārtha | privative *a-* + *yathārtha* | unreal; inaccurate; false | Used for what does not correspond to reality or fact. It is common in philosophical and evaluative prose. | [CORE] |
| यथार्थ | अयथार्थता | ayathārthatā | *a-* + *yathārtha* + *-tā* | inaccuracy; unreality; falsity | Used in abstract discussion of error, misrepresentation, or non-correspondence to reality. It is especially suited to scholastic prose. | [CORE] |
| यथार्थ | अयथार्थज्ञान | ayathārthajñāna | *a-* + *yathārtha* + *jñāna* | false knowledge; erroneous cognition | Refers to cognition that fails to match its object. It is a standard philosophical contrast to *yathārthajñāna*. | [CORE] |
