| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| cheqa | llulla | cheqa / llulla | 'true, real, correct, genuine' / 'false, lying, deceptive, fake' | These are described in P1 as the primary antonym pair in the truth-evaluation domain; *llulla* "contrasts directly with *cheqa*" (P1, item 7/10). The opposition is attested across adjectival, nominal, and verbal uses, and is explicitly described as the foundational positive/negative polarity of the domain. They are used as direct predicative antonyms in the same construction type (e.g., *Cheqam kay* "This is true" vs. *Llullam chay* "That is a lie") and appear as contrasting modifiers in parallel nominal phrases (*cheqa simi* "true word" vs. *llulla simi* "false speech"; *cheqa sonqo* "honest at heart" vs. *llulla sonqo* "false-hearted"). *Cheqa* predicates truth or genuineness of a statement, person, or thing; *llulla* characterizes statements, persons, or representations as dishonest or counterfeit. They are the primary antonyms in the truth-evaluation domain. | lexical | [CORE] |
| cheqa | mana cheqa | cheqa / mana cheqa | 'true, real, genuine' / 'untrue, false, not genuine, inauthentic, incorrect' | *Mana cheqa* is described in P1 as "the standard negated form used to predicate falsity or inauthenticity" and functions as "a fixed evaluative expression" contrasting with *cheqa*. P1b and P2a describe it as "the standard negated form of *cheqa*" and "widely attested in Southern Quechua." The negator *mana* produces a phrasal negative that operates as a fixed evaluative unit rather than a transparent compositional negation. | morphological | [CORE] |
| allin | mana allin | allin / mana allin | 'good, right, well, proper, fine, correct' / 'bad, not good, wrong, improper, incorrect' | P1 describes *mana allin* as "standard negated evaluative expression for moral, practical, and aesthetic badness or wrongness" and the "negative counterpart" to *allin*, functioning as a conventionalized fixed expression. The CONTEXT treats this as a fixed expression parallel in status to *mana cheqa*. Both appear in the same predicate-plus-evidential construction (*Allinmi chay ruway* vs. *Mana allinmi chay*). The opposition covers moral, practical, and accuracy-related contexts. | morphological | [CORE] |
| cheqam | mana cheqachu | cheqam / mana cheqachu | 'it is true (I know directly)' / 'it is not true / it is false' | P2b documents these as a direct predicative pair: *cheqam* is "the most basic predicative truth assertion" and *mana cheqachu* is its "standard negative predication of falsity," described as "extremely common in discourse as a direct denial." The *-chu* enclitic is described as obligatory in negative declarative clauses, making the structural asymmetry between the two forms grammatically conditioned. P4a and P4b document both as the standard forms for truth assertion and denial across Southern Quechua registers. | constructional | [CORE] |
| llullam | mana llullachu | llullam / mana llullachu | 'it is a lie / that is false' / 'it is not a lie / that is not false' | P2b documents *llullam* as "the most direct predicative assertion of falsehood or deception" and *mana llullachu* as its negative counterpart (Construction 17), described as "the standard negative predication of *llulla*," used "in rebuttal and defense contexts." The same obligatory *-chu* asymmetry applies as in Opposition 4. This is the morphological negation of the negative evaluative root, functioning as a positive characterization by negating the negative term. | constructional | [CORE] |
| cheqam | cheqas | cheqam / cheqas | 'it is true (I know directly)' / 'it is true (reportedly / I heard that)' | P2b (Construction 25.1) and P4a (§8) explicitly document this as a grammatically encoded contrast between first-hand and reported knowledge of truth. The CONTEXT states: "The contrast between the direct evidential *-m* and the reportative *-s* on the same predicate *cheqa* constitutes a grammatically encoded distinction between first-hand and reported knowledge of truth." The two forms are identical except for the evidential enclitic. | morphological | [CORE] |
| cheqam | cheqachá | cheqam / cheqachá | 'it is true (I know directly)' / 'it is probably true / perhaps it is genuine' | P4a (§8) documents the three-way evidential contrast; *-m/-mi* marks direct knowledge while *-chá* marks "conjecture or inference rather than certain knowledge" (P1, item 27). The CONTEXT treats these as part of a single grammatical system with three distinct values. | morphological | [CORE] |
| cheqas | cheqachá | cheqas / cheqachá | 'it is true (reportedly)' / 'it is probably true (I conjecture)' | Within the three-way evidential system documented in P1 (items 25–27) and P4a (§8), *-s/-si* marks a claim as based on reported information from another source, while *-chá* marks it as the speaker's own inference or conjecture. Both contrast with the direct evidential *-m/-mi* (Oppositions 6 and 7) and with each other. | morphological | [CORE] |
| cheqanchay | cheqakay | cheqanchay / cheqakay | 'to verify / to confirm / to make true (transitive)' / 'to become true / to be realized / to come true (intransitive)' | P2a explicitly states: "*cheqakay* is intransitive ('it becomes true'), while *cheqanchay* is transitive ('to make something true / to verify')." P4a (§4 and §5) formalizes this as a systematic contrast between the *-ncha-* causative verbalizer (transitive, externally directed) and the *-ka-* intransitive verbalizer (inchoative, internally directed). Both derive from the same root *cheqa*. | morphological | [CORE] |
