| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| cheqa | Cheqam kay | Cheqa-m kay | It is true. / That is the truth. / It is real. / This is true. | The most basic predicative truth assertion in Southern Quechua, combining the adjectival root with the direct evidential enclitic *-m* and the copular *kay*. The copula may be omitted in rapid speech, yielding *cheqam* alone as a complete utterance. Used across all registers as a direct affirmation. Widely attested in Southern Quechua discourse. | [CORE] |
| cheqa | Cheqachus? | Cheqa-chus? | Is it true? / Is that really so? / Can it be real? | Interrogative construction combining *cheqa* with the polar question enclitic *-chu*. Used to query the truth or genuineness of a claim or situation. Extremely common in everyday speech. | [CORE] |
| cheqa | Cheqachus, manachus? | Cheqa-chus, mana-chus? | Is it true or not? / Is it real or isn't it? | A paired polar question construction using *-chu* on both the positive and negative alternatives. Used to request a definitive answer about the truth or genuineness of something. Common in everyday and legal discourse. | [CORE] |
| cheqa | Cheqata rimay | Cheqa-ta rimay | Tell the truth. / Speak truthfully. / To speak the truth, to tell the truth. | Imperative construction with *cheqa* in the accusative/adverbial case (*-ta*) modifying the verb *rimay* ('to speak'). The standard collocation for commanding or requesting truthful speech. *Cheqata rimay* uses the accusative-marked adverbial form of *cheqa* with the verb *rimay*, meaning "to speak truly" or "to speak what is true." This construction is distinct from *cheqanta rimay* (documented in P1), where *cheqan* is a possessed nominal ("its truth"); here *cheqata* functions adverbially. Both constructions are attested and appear to be used in overlapping contexts of moral and legal enjoinment to truthful speech, with *cheqanta rimay* being the more conventionalized fixed expression and *cheqata rimay* the more compositional variant. Used in legal, moral, and everyday contexts. | [CORE] |
| cheqa | Cheqata rimani | Cheqa-ta rimani | I am telling the truth. / I speak truthfully. | First-person declarative form of the *cheqata rimay* construction. Used in testimony and everyday assertion to claim that one's own speech is truthful. Common in legal and moral contexts. | [CORE] |
| cheqa | Mana cheqachu | Mana cheqa-chu | It is not true. / That is not genuine. / That is false. / That is not the case. | Standard negative predication of falsity, combining the negator *mana* with *cheqa* and the negative polar enclitic *-chu*. The *-chu* is required in negative clauses in Quechua. Used as a direct denial across all registers. Extremely common in discourse as a direct denial. | [CORE] |
| cheqa | Cheqa hina rikukun | Cheqa hina rikukun | It appears to be genuine. / It looks like the real thing. / It seems true. | Similative construction using *cheqa hina* ('like the genuine/true') with the reflexive perception verb *rikukun* ('it is seen, it appears'). Used to describe something that has the appearance of genuineness without asserting that it is genuine. Relevant in contexts of evaluating representations and imitations. | [CORE] |
| cheqa | Cheqa kasqanta yachani | Cheqa kasqa-n-ta yachani | I know that it is true. / I know it to be genuine. / To know what is truly the case, to know the truth of the matter. | Nominalized subordinate clause construction: *cheqa kasqanta* ('its being true', accusative nominalization of the predicate) as the object of *yachani* ('I know'). Used to express propositional knowledge of a truth. The nominalized subordinate clause pattern (*X kasqanta yachay*) is the standard Quechua construction for propositional knowledge. Common in epistemic assertion contexts, legal and philosophical discourse. | [CORE] |
| cheqa | Cheqa kasqanman hina | Cheqa kasqa-n-man hina | As if it were true. / In the manner of its being genuine. | A complex similative construction combining the nominalized predicate *cheqa kasqan* ('its being true') with the directional/similative postposition *-man hina* ('in the direction of, as if'). Used to describe conduct or representation that proceeds as though something were true, without asserting that it is. Appears in narrative and evaluative discourse. | [UNCERTAIN] |
| cheqa | Cheqam, Diospa sutimpi | Cheqa-m, Diospa sutimpi | It is true, in God's name. / Truly, I swear by God. | An oath or solemn affirmation construction combining the evidentially marked truth assertion *cheqam* with the prepositional phrase *Diospa sutimpi* ('in the name of God'). Attested in colonial and contemporary legal and religious Quechua texts as a formula for sworn testimony. | [CORE] |
| cheqa | Cheqa nispa rimay | Cheqa nispa rimay | To speak saying it is true. / To assert truthfully. / To affirm as true while speaking. | Construction using the quotative converb *nispa* ('saying, having said') to embed *cheqa* as a reported or performed assertion within a speech act description. The *nispa* construction is a productive syntactic pattern in Quechua for embedding direct speech or thought. Used in narrative and testimonial contexts when describing how a statement was made. | [CORE] |
| cheqa | Cheqa kasqanta willay | Cheqa kasqa-n-ta willay | To report what is truly the case, to tell what is actually true. | A periphrastic construction combining *cheqa* (true) with the nominalized stative *kasqan* (the fact of its being, what it actually is) in the accusative, followed by *willay* (to inform, to report). Used in legal and testimonial contexts to enjoin a witness to report the actual facts of a matter. The construction emphasizes the factual state of affairs rather than the speaker's sincerity. | [CORE] |
| cheqa | Cheqa kasqanman hina rimay | Cheqa kasqa-n-man hina rimay | To speak in accordance with what is actually the case, to speak as things truly are. | A periphrastic construction using *cheqa kasqanman hina* (in accordance with what is truly the case) as an adverbial phrase modifying *rimay* (to speak). The postposition *-man hina* (in accordance with, in the manner of) creates a conformity construction: speech that conforms to the true state of affairs. Attested in formal and legal registers. | [CORE] |
