| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| אמת | שקר | *ʾemet* / *sheqer* | truth / lie, falsehood | These are direct semantic opposites in the dataset for truth versus falsehood. The context repeatedly treats **אמת** as the core truth term and **שקר** as the core falsehood term. | lexical | [CORE] |
| נכון | לא נכון | *nakhon* / *lo nakhon* | correct, true / incorrect, untrue | This is an explicit negation pair attested in P1 and reinforced by constructions like **נכון או לא נכון** and **זה לא נכון**. The contrast is one of correctness versus non-correctness. | morphological | [CORE] |
| מדויק | לא מדויק | *meduyaq* / *lo meduyaq* | accurate, precise / not accurate, not precise | The context explicitly lists **לא מדויק** as a common correction formula opposed to **מדויק**. This contrast marks precision versus lack of precision, often softer than outright falsehood. | morphological | [CORE] |
| מדויק | בלתי מדויק | *meduyaq* / *bilti meduyaq* | accurate, precise / inaccurate, imprecise | This is an attested formal negation pair in the derivational material. **בלתי מדויק** functions as a more formal negative counterpart to **מדויק**. | morphological | [CORE] |
| בדיוק | לא בדיוק | *be-diyuq* / *lo be-diyuq* | exactly / not exactly | The context explicitly presents these as a common adverbial opposition. The contrast is between exactness and partial or qualified inexactness. | morphological | [CORE] |
| מהימן | לא מהימן | *meheman* / *lo meheman* | reliable, credible / unreliable, not credible | This is an attested evaluative opposition for sources, testimony, and data. The negative form is explicitly listed in P2b as a common formal construction. | morphological | [CORE] |
| אמין | לא אמין | *ʾamin* / *lo amin* | reliable, credible / unreliable, not credible | The context explicitly gives **לא אמין** as the common negated counterpart of **אמין**. This opposition is especially common in everyday and semi-formal usage. | morphological | [CORE] |
| אמינות גבוהה | אמינות נמוכה | *ʾaminut gvohah* / *ʾaminut nemukhah* | high reliability / low reliability | This is an explicit scalar opposition in the derivational inventory. It contrasts stronger versus weaker assessed reliability. | lexical | [CORE] |
| אותנטי | לא אותנטי | *otenti* / *lo otenti* | authentic / inauthentic | The context explicitly lists **לא אותנטי** as the negated counterpart of **אותנטי**. The contrast concerns genuineness versus artificiality or lack of authenticity. | morphological | [CORE] |
| מקורי | מזויף | *meqori* / *mezuyaf* | original, authentic / forged, counterfeit, fake | The semantic groupings explicitly note that **מקורי** naturally contrasts with the forgery/counterfeit group. This is a supported opposition between an original item and a fake one. | lexical | [CORE] |
| אותנטי | מזויף | *otenti* / *mezuyaf* | authentic / forged, counterfeit, fake | The context notes that **אותנטי** often contrasts naturally with the forgery/counterfeit group. The opposition is between genuineness and falsified imitation. | lexical | [CORE] |
| זיוף | מקורי | *ziyuf* / *meqori* | forgery / original | The forgery group is explicitly described as contrasting with authenticity/originality terms. This opposition is supported especially in contexts of documents, artworks, and products. | lexical | [CORE] |
| דומה ל־ | זהה ל־ | *dome le-* / *zehe le-* | similar to / identical to | The context explicitly says these are often contrasted in practice: one marks resemblance, the other exact sameness. This is a strong semantic opposition within comparison language. | lexical | [CORE] |
| דומה ל־ | תואם ל־ / תואם את | *dome le-* / *toʾem le- / toʾem et* | similar to / corresponds to, matches | P4a explicitly distinguishes **דומה ל־** as resemblance from **תואם** as correspondence/compliance. The contrast is between looser similarity and stronger matching relation. | lexical | [CORE] |
| זהה ל־ | אינו זהה ל־ | *zehe le-* / *eino zehe le-* | identical to / is not identical to | This is an explicit formal negation pair listed in P2b. It contrasts exact identity with explicit non-identity. | morphological | [CORE] |
| תואם | אינו תואם | *toʾem* / *eino toʾem* | matching, corresponding / does not match, is not consistent | The context explicitly lists this as a common formal opposition. It is used for mismatch versus conformity with requirements, records, or facts. | morphological | [CORE] |
| תואם למציאות | אינו תואם למציאות | *toʾem la-metsiʾut* / *eino toʾem la-metsiʾut* | corresponds to reality / does not correspond to reality | This is an explicitly attested evaluative pair in P2b. It contrasts representational fidelity to reality with failure to reflect actual conditions. | morphological | [CORE] |
| כוזב | אמת / נכון | *kozév* / *ʾemet, nakhon* | false, deceitful / truth, correct | The context places **כוזב** in the formal falsehood cluster opposed to ordinary truth/correctness terms. The opposition is supported at the semantic level, though not always as a fixed binary pair. | lexical | [CORE] |
| שקרי | אמיתי | *sheqri* / *ʾamiti* | false, deceitful / true, genuine | These adjectives occupy opposing sides of the truth/authenticity field in the context. The contrast is supported semantically, especially for claims, representations, and appearances. | lexical | [CORE] |
| צודק | לא נכון | *tsodek* / *lo nakhon* | right, justified / incorrect, untrue | The context distinguishes being right in an argument (**צודק**) from rejecting a statement as incorrect (**לא נכון**). This is a supported contrast in evaluative function rather than a strict antonym pair. | constructional | [MARGINAL] |
| צודק | נכון | *tsodek* / *nakhon* | right, justified / correct, true | The semantic groupings explicitly note that **נכון** may overlap with **צודק**, but they differ in use: **צודק** is typically for a person’s position in a dispute, while **נכון** is often for answers, facts, or correctness. | constructional | [CORE] |
| צדק | אמת | *tsedeq* / *ʾemet* | justice, rightness / truth | The context repeatedly distinguishes **צדק** as justice or moral rightness from **אמת** as factual truth. This is a semantic opposition of evaluative domain rather than direct antonymy. | constructional | [CORE] |
| נכון | מדויק | *nakhon* / *meduyaq* | correct, true / accurate, precise | The semantic grouping on softer correction explicitly distinguishes simple correctness from precision. Something may be broadly **נכון** yet not fully **מדויק**. | constructional | [CORE] |
| לא נכון | לא מדויק | *lo nakhon* / *lo meduyaq* | not true, incorrect / not accurate, not precise | The context explicitly contrasts these in usage: **לא נכון** rejects a claim more directly, while **לא מדויק** often softens correction by marking imprecision rather than outright falsity. | constructional | [CORE] |
| זה לא נכון. | התיאור אינו תואם למציאות. | *ze lo nakhon* / *ha-teʾur eino toʾem la-metsiʾut* | that is not true / the description does not correspond to reality | P4b presents these as contrasting negative-attribution constructions with different styles and semantic focus. The first is ordinary colloquial denial; the second is more formal and frames falsity as mismatch with reality. | constructional | [CORE] |
| זה לא נכון. | הצהרה כוזבת / טענה שקרית | *ze lo nakhon* / *hatsaharah kozevet, taʿanah sheqrit* | that is not true / false declaration, false claim | P4a and P4b explicitly contrast everyday clausal negation with formal written falsehood labeling. The first denies a proposition directly; the second classifies it institutionally or textually. | constructional | [CORE] |
| לומר את האמת | לספר שקר | *lomar et ha-ʾemet* / *lesaper sheqer* | to tell the truth / to tell a lie | These are directly opposed light-verb constructions attested in P2b. They contrast truthful speech with lying. | constructional | [CORE] |
| מקור מהימן | לא מהימן | *maqor meheman* / *lo meheman* | reliable source / unreliable, not credible | The context supports this as a source-evaluation opposition. The positive collocation and the negated predicate are both explicitly attested. | constructional | [CORE] |
| מקור אמין | לא אמין | *maqor amin* / *lo amin* | reliable source / unreliable, not credible | This is the colloquial parallel to the **מהימן** opposition. Both sides are explicitly attested in the source and used for evaluating information sources. | constructional | [CORE] |
| אמין | מהימן | *ʾamin* / *meheman* | reliable / reliable, trustworthy | The context explicitly notes a register contrast: **אמין** is broader and more colloquial, while **מהימן** is more formal and source/testimony-oriented. This is a supported contrast in usage, not in polarity. | constructional | [CORE] |
| אמיתי | אותנטי | *ʾamiti* / *otenti* | true, real, genuine / authentic | The context shows overlap but also a usage contrast: **אמיתי** can apply to factual truth and genuineness, while **אותנטי** is more specifically about authenticity in cultural, personal, or stylistic terms. | constructional | [CORE] |
| מקורי | אותנטי | *meqori* / *otenti* | original / authentic | The context notes overlap but distinguishes them: **מקורי** often refers to the original version or source object, while **אותנטי** emphasizes genuineness or faithfulness to tradition/style. | constructional | [CORE] |
| זהה ל־ | כמעט זהה ל־ | *zehe le-* / *kimʿat zehe le-* | identical to / almost identical to | This is an attested scalar opposition within identity judgments. The second weakens the first from full identity to near-identity. | morphological | [CORE] |
| זהה לחלוטין | אינו זהה ל־ | *zehe la-ḥalutin* / *eino zehe le-* | completely identical / is not identical to | Both constructions are explicitly listed in P2b and stand at opposite ends of the identity scale. One asserts total sameness; the other denies identity. | constructional | [CORE] |
| תואם את העובדות | אינו תואם למציאות | *toʾem et ha-uvdot* / *eino toʾem la-metsiʾut* | matches the facts / does not correspond to reality | These are attested correspondence constructions with opposite polarity. Both evaluate whether a statement or description aligns with external facts or reality. | constructional | [CORE] |
