| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Ni kweli.** | *Ni kweli.* | “It is true.” | Common idiomatic predication for evaluating truth, correctness, validity, and related notions in everyday speech and formal discourse. Also attested with related predicates such as **sahihi, batili, halali, haramu, dhahiri**. | [CORE] |
| ATTRIBUTION | **Hii ni sahihi.** | *Hii ni sahihi.* | “This is correct.” | Natural for direct assessment of statements, answers, claims, or decisions. Variation is lexical within the same pattern: **NP + ni + kweli / uongo / sahihi / batili / halali / haramu / dhahiri**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Si kweli.** | *Si kweli.* | “It is not true.” | Very common for plain denial or rejection of a claim. An attested stronger alternative is positive predication with a negative-value noun, e.g. **ni uongo** or **ni batili**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Jibu hili si sahihi.** | *Jibu hili si sahihi.* | “This answer is not correct.” | Natural in correction, evaluation, and instructional contexts. Variation is between **si + predicate** and the stronger rejecting forms **ni uongo / ni batili** where appropriate. | [CORE] |
| ADNOMINAL MODIFICATION | **taarifa sahihi** | *taarifa sahihi* | “accurate information” | Common with nouns denoting information, objects, and statuses. Attested alternants within this slot include **-kweli / -ongo / sahihi / halisi / bandia / feki / ya asili / -enye haki**. | [CORE] |
| ADNOMINAL MODIFICATION | **dawa bandia** | *dawa bandia* | “counterfeit medicine” | Natural especially for authenticity, falsity, and quality distinctions in everyday and regulatory contexts. Usage varies by modifier type: some are direct postnominal modifiers, while others appear in constructions like **ya asili**. | [CORE] |
| BECOME / INCHOATIVE | **Taarifa hii inaaminika.** | *Taarifa hii inaaminika.* | “This report is credible.” | Clearly attested and natural for credibility or trustworthiness judgments, especially with reports, sources, and claims. The note in P4a restricts this to **-amini- → -aminika**; no equally common inchoative was identified for **kweli**, **uongo**, or **sahihi**. | [CORE] |
| BECOME / INCHOATIVE | **Chanzo hicho hakiaminiki.** | *Chanzo hicho hakiaminiki.* | “That source is not credible.” | Common in evaluative contexts involving reliability of sources or testimony. Attested variation is polarity only within the same construction: **inaaminika / hakiaminiki**. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **Hotuba yake ilitia imani.** | *Hotuba yake ilitia imani.* | “His speech inspired confidence.” | The periphrastic expression is attested and usable, but P4a explicitly notes that no productive dedicated causative for “make true/correct” was established. Its use is therefore restricted to causing confidence rather than directly causing truth or correctness. | [MARGINAL] |
| CAUSATIVE (OR ABSENCE) | **Kiongozi huyo anatia imani.** | *Kiongozi huyo anatia imani.* | “That leader inspires confidence.” | Natural in contexts of trust, leadership, and public evaluation, but it is only a nearby causative-like expression. The only attested alternate construction here is the same periphrastic **kutia imani**. | [MARGINAL] |
| ABSTRACT NOMINALIZATION | **ukweli** | *ukweli* | “truth” | Common abstract noun formation for qualities and states in the truth domain. Attested alternants in the same pattern include **usahihi, uaminifu, uhalisia**. | [CORE] |
| ABSTRACT NOMINALIZATION | **usahihi wa taarifa** | *usahihi wa taarifa* | “accuracy of information” | Natural in formal, evaluative, and descriptive contexts, especially with genitive complements specifying the domain. Variation is lexical across abstract nouns formed with **u-**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **mwongo** | *mwongo* | “liar” | Common person-denoting noun for stable character description or accusation. Attested alternants in the same pattern are **mkweli** and **mwaminifu**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **mkweli** | *mkweli* | “truthful/honest person” | Natural for describing a person’s character or reputation. Variation within the attested set includes **mwongo** and **mwaminifu**, each with its own lexical meaning. | [CORE] |
| PROPOSITIONAL COMPLEMENT WITH “THAT” | **Ninaamini kwamba atasema ukweli.** | *Ninaamini kwamba atasema ukweli.* | “I believe that he will tell the truth.” | Common with belief verbs and truth-evaluating predicates introducing full clauses. Attested alternate frames include **ni dhahiri kwamba + clause** and **ukweli ni kwamba + clause**. | [CORE] |
| PROPOSITIONAL COMPLEMENT WITH “THAT” | **Ni dhahiri kwamba ni uongo.** | *Ni dhahiri kwamba ni uongo.* | “It is evident that it is a lie.” | Natural in evidential and evaluative statements, especially in formal or argumentative contexts. Variation is lexical in the matrix predicate: **kuamini**, **ni dhahiri**, and **ukweli ni kwamba** are all attested. | [CORE] |
| TRUTH / FALSEHOOD AS LIGHT-VERB OBJECT | **Sema ukweli.** | *Sema ukweli.* | “Tell the truth.” | This is the ordinary verbal strategy for truth-telling and lying. The attested alternate construction is the same light-verb pattern with the contrasting object, **sema/kusema + uongo**. | [CORE] |
| TRUTH / FALSEHOOD AS LIGHT-VERB OBJECT | **Alisema uongo.** | *Alisema uongo.* | “He/she told a lie.” | Very natural in everyday narration and accusation. P4a explicitly notes this light-verb construction as the ordinary strategy rather than a simple lexical verb pair. | [CORE] |
| GENITIVE QUALITY CONSTRUCTION | **habari za uongo** | *habari za uongo* | “false news” | Productive and natural for linking a noun to falsity, authenticity, or source/status meanings. Attested alternants include **N + wa/ya/za + ukweli / uongo / asili**. | [CORE] |
| GENITIVE QUALITY CONSTRUCTION | **bidhaa ya asili** | *bidhaa ya asili* | “natural/authentic product” | Common especially for authenticity and origin/status readings. Usage varies with noun class agreement in the genitive linker (**wa/ya/za**). | [CORE] |
