# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Korean (ko)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| 진실 (jinsil) | 진실을 말하다 | jinsireul malhada | to tell the truth, to speak truthfully | Standard expression for speaking truthfully. Very common in everyday discourse when emphasizing honest communication. | [CORE] |
| 진실 (jinsil) | 진실을 밝히다 | jinsireul balkhida | to reveal the truth, to bring the truth to light | Common in investigative, journalistic, and legal contexts when uncovering or disclosing true facts. | [CORE] |
| 진실 (jinsil) | 진실을 숨기다 | jinsireul sumgida | to hide the truth, to conceal the truth | Used when describing deliberate concealment of true facts. Common in moral and investigative discourse. | [CORE] |
| 진실 (jinsil) | 진실이 드러나다 | jinsiri deureonada | the truth comes to light, the truth is revealed | Describes truth becoming known or exposed, often after being hidden. Common in narrative and investigative contexts. | [CORE] |
| 진실 (jinsil) | 진실과 거짓 | jinsilgwa geojit | truth and falsehood, truth and lies | Paired expression contrasting truth with falsehood. Used in philosophical, moral, and evaluative discourse. | [CORE] |
| 진실 (jinsil) | 진실한 마음 | jinsilhan maeum | sincere heart, truthful heart | Describes genuine or sincere feelings/intentions. Common in expressing or evaluating emotional sincerity. | [CORE] |
| 거짓 (geojit) | 거짓말을 하다 | geojinmareul hada | to tell a lie, to lie | Standard expression for the act of lying. Extremely common across all registers. | [CORE] |
| 거짓 (geojit) | 거짓말이 들통나다 | geojinmari deultongada | a lie is exposed, a lie is found out | Describes when a lie is discovered or exposed. Common in everyday discourse about deception being revealed. | [CORE] |
| 거짓 (geojit) | 거짓말을 밝히다 | geojinmareul balkhida | to expose a lie, to reveal a lie | Used when actively exposing or revealing lies. Common in investigative and confrontational contexts. | [CORE] |
| 거짓 (geojit) | 거짓말을 꾸미다 | geojinmareul kkumida | to fabricate a lie, to concoct a lie | Describes deliberately constructing or inventing lies. Emphasizes the deliberate nature of deception. | [CORE] |
| 거짓 (geojit) | 거짓 없는 | geojit eomneun | without falsehood, truthful | Adjectival phrase describing something as free from falsehood. Used to characterize honest communication or sincere character. | [CORE] |
| 거짓 (geojit) | 거짓과 진실 | geojitgwa jinsil | falsehood and truth, lies and truth | Paired expression contrasting falsehood with truth. Mirror of 진실과 거짓, used in similar contexts. | [CORE] |
| 사실 (sasil) | 사실이다 | sasirida | it is a fact, it is true | Declarative statement affirming something as factual. Very common in confirming or asserting truth of statements. | [CORE] |
| 사실 (sasil) | 사실은 | sasireun | in fact, actually, the truth is | Discourse marker introducing factual information, often correcting or clarifying previous statements. Extremely common in all registers. | [CORE] |
| 사실 (sasil) | 사실을 말하다 | sasireul malhada | to state the facts, to tell the truth | Expression for stating factual information. Common in formal and informal contexts when emphasizing factual accuracy. | [CORE] |
| 사실 (sasil) | 사실을 확인하다 | sasireul hwaginhada | to verify the facts, to confirm the facts | Expression for fact-checking or verification. Common in journalistic, investigative, and administrative contexts. | [CORE] |
| 사실 (sasil) | 사실과 다르다 | sasilgwa dareuda | to differ from the facts, to be contrary to the facts | Expression indicating something doesn't match factual reality. Used in corrections and refutations. | [CORE] |
| 사실 (sasil) | 사실대로 | sasildaero | according to the facts, as it really is | Adverbial expression meaning "truthfully" or "as things actually are." Common when requesting or providing accurate accounts. | [CORE] |
| 사실 (sasil) | 사실 여부 | sasil yeobu | whether it is fact or not, truth status | Formal expression referring to the question of factual status. Used in investigative and analytical contexts. | [CORE] |
| 사실 (sasil) | 사실을 왜곡하다 | sasireul waegokada | to distort the facts, to twist the facts | Expression for deliberately misrepresenting facts. Common in criticism of dishonest reporting or testimony. | [CORE] |
| 사실 (sasil) | 사실을 숨기다 | sasireul sumgida | to hide the facts, to conceal the facts | Expression for concealing factual information. Used in contexts of cover-ups or information suppression. | [CORE] |
| 사실 (sasil) | 사실이 아니다 | sasiri anida | it is not a fact, it is not true | Declarative negation of factual status. Common in denials and corrections. | [CORE] |
| 진짜 (jinjja) | 진짜야? | jinjjaya? | Really? Is it real? Are you serious? | Colloquial question expressing surprise or seeking confirmation. Extremely common in casual conversation. | [CORE] |
| 진짜 (jinjja) | 진짜인지 가짜인지 | jinjjainji gajjainji | whether it's real or fake | Expression questioning authenticity. Common when evaluating genuineness of items or claims. | [CORE] |
| 진짜 (jinjja) | 진짜 같다 | jinjja gatda | seems real, looks genuine | Expression indicating something appears authentic. Used when something seems genuine but may require verification. | [CORE] |
| 진짜 (jinjja) | 진짜로 | jinjjaro | really, truly, for real | Adverbial intensifier emphasizing reality or seriousness. Very common in casual speech for emphasis. | [CORE] |
| 가짜 (gajja) | 가짜인지 진짜인지 | gajjainji jinjjainji | whether it's fake or real | Mirror expression of 진짜인지 가짜인지. Used when questioning authenticity. | [CORE] |
| 가짜 (gajja) | 가짜로 판명되다 | gajjaro panmyeongdoeda | to be determined to be fake, to be proven fake | Expression for official determination of inauthenticity. Common in legal and investigative contexts. | [CORE] |
| 가짜 (gajja) | 가짜를 진짜처럼 | gajjareul jinjjacheoreom | to make fake seem real, to pass off fake as real | Expression describing deceptive presentation of counterfeits. Used in fraud and deception contexts. | [CORE] |
| 정확하다 (jeonghwakhada) | 정확히 말하다 | jeonghwakhi malhada | to speak accurately, to state precisely | Expression for precise or accurate communication. Common when emphasizing exactness of statements. | [CORE] |
| 정확하다 (jeonghwakhada) | 정확한 정보 | jeonghwakhan jeongbo | accurate information, precise information | Common collocation for accurate or reliable information. Widely used across contexts. | [CORE] |
| 정확하다 (jeonghwakhada) | 정확하게 알다 | jeonghwakhage alda | to know accurately, to know precisely | Expression for having precise or accurate knowledge. Common in epistemic contexts. | [CORE] |
| 정확하다 (jeonghwakhada) | 정확히 모르다 | jeonghwakhi moreuda | to not know precisely, to be uncertain | Expression for lacking precise knowledge. Common when admitting uncertainty about details. | [CORE] |
| 올바르다 (olbareuda) | 올바른 판단 | olbareun pandan | correct judgment, right decision | Common collocation for sound or correct judgment. Used in evaluative contexts. | [CORE] |
| 올바르다 (olbareuda) | 올바른 길 | olbareun gil | right path, correct way | Metaphorical expression for morally or practically correct course of action. Common in moral discourse. | [CORE] |
| 올바르다 (olbareuda) | 올바르게 이해하다 | olbareuge ihaehada | to understand correctly, to comprehend properly | Expression for correct understanding. Common in educational and explanatory contexts. | [CORE] |
| 틀리다 (teullida) | 틀린 것 같다 | teullin geot gatda | seems wrong, appears incorrect | Expression for tentative judgment of incorrectness. Common when politely suggesting error. | [CORE] |
| 틀리다 (teullida) | 틀릴 리 없다 | teullil ri eopda | cannot be wrong, must be correct | Expression of strong confidence in correctness. Common when asserting certainty. | [CORE] |
| 틀리다 (teullida) | 틀림없이 | teullimeobsi | without doubt, certainly, surely | Adverbial expression of certainty. Very common for confident assertions. | [CORE] |
| 틀리다 (teullida) | 틀린 답 | teullin dap | wrong answer, incorrect answer | Common collocation in educational contexts for incorrect answers. | [CORE] |
| 맞다 (matda) | 맞는 말 | manneun mal | correct statement, right words | Common expression for accurate or appropriate statements. Used in agreeing or validating. | [CORE] |
| 맞다 (matda) | 맞는지 확인하다 | manneunji hwaginhada | to check if correct, to verify accuracy | Expression for verification or checking. Common in quality control and validation contexts. | [CORE] |
| 맞다 (matda) | 맞을 것이다 | majeul geosida | will be correct, is probably right | Expression of confident prediction or expectation of correctness. Common in reasoning contexts. | [CORE] |
| 맞다 (matda) | 맞고 틀리고 | matgo teulligo | right and wrong, correct and incorrect | Paired expression for correctness and incorrectness. Used in evaluative and educational contexts. | [CORE] |
| 정직하다 (jeongjikada) | 정직하게 말하다 | jeongjikage malhada | to speak honestly, to tell truthfully | Expression for honest communication. Common when emphasizing truthfulness of statements. | [CORE] |
| 정직하다 (jeongjikada) | 정직한 사람 | jeongjikhan saram | honest person, truthful person | Common collocation for characterizing someone as honest. Used in character evaluation. | [CORE] |
| 정직하다 (jeongjikada) | 정직하게 살다 | jeongjikage salda | to live honestly, to lead an honest life | Expression for living with integrity. Common in moral discourse about lifestyle. | [CORE] |
| 솔직하다 (soljikada) | 솔직히 말하다 | soljikhi malhada | to speak frankly, to be honest | Very common expression for frank or candid communication. Used when introducing honest opinions. | [CORE] |
| 솔직하다 (soljikada) | 솔직히 말해서 | soljikhi malhaeseo | frankly speaking, to be honest | Discourse marker introducing frank statements. Extremely common in all registers. | [CORE] |
| 솔직하다 (soljikada) | 솔직한 의견 | soljikhan uigyeon | frank opinion, honest opinion | Common collocation for candid opinions. Used when requesting or offering honest views. | [CORE] |
| 솔직하다 (soljikada) | 솔직하게 털어놓다 | soljikage teoreonota | to confess frankly, to open up honestly | Expression for candid confession or disclosure. Common in contexts of revealing hidden information. | [CORE] |
| 진정하다 (jinjeonghada) | 진정한 의미 | jinjeongan uimi | true meaning, genuine meaning | Common collocation for authentic or real meaning. Used in interpretive and philosophical contexts. | [CORE] |
| 진정하다 (jinjeonghada) | 진정한 사랑 | jinjeongan sarang | true love, genuine love | Common expression for authentic love. Used in romantic and philosophical discourse. | [CORE] |
| 진정하다 (jinjeonghada) | 진정으로 원하다 | jinjeongeuro wonhada | to truly want, to genuinely desire | Expression emphasizing genuine desire or intention. Common in expressing sincere wishes. | [CORE] |
| 참 (cham) | 참과 거짓 | chamgwa geojit | truth and falsehood, true and false | Paired expression contrasting truth with falsehood. Used in philosophical and evaluative discourse. | [CORE] |
| 참 (cham) | 참으로 | chameuro | truly, really, indeed | Adverbial intensifier emphasizing truth or genuineness. Common in formal and emphatic speech. | [CORE] |
| 거짓말 (geojinmal) | 거짓말 같다 | geojinmal gatda | seems like a lie, sounds unbelievable | Expression indicating something seems too extraordinary to be true. Common in expressing surprise or skepticism. | [CORE] |
| 거짓말 (geojinmal) | 거짓말 아니다 | geojinmal anida | it's not a lie, I'm not lying | Expression emphatically denying falsehood. Common when asserting truthfulness of surprising claims. | [CORE] |
