# F1 — VOCABULARY TABLE: Georgian (ka)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| ჭეშმარიტი | č'ešmarit'i | From root related to "genuine/authentic" | true, genuine, real, authentic | Used to describe statements that correspond to reality or facts, and also to characterize persons or things as genuine or authentic. Commonly appears in both everyday speech and formal discourse to affirm the accuracy or genuineness of something. | [CORE] |
| სიმართლე | simart'le | Nominalized form from root mart'l- (right, correct) | truth, correctness, rightness | A fundamental term denoting truth as a concept, correctness of statements, or moral rightness. Used across contexts from factual accuracy ("tell the truth") to moral evaluation ("justice and truth"). | [CORE] |
| მართალი | mart'ali | From root mart'l- (right, correct) | right, correct, just, righteous | Describes statements, actions, or persons as correct, right, or morally upright. Frequently used in both epistemic contexts (correct answer) and moral/legal contexts (righteous person, just cause). | [CORE] |
| ტყუილი | ṭq'uili | Basic root for falsehood | lie, falsehood, untruth | The primary term for a false statement or lie. Used both as a noun denoting falsehood and in various derived forms to describe deceptive speech or false representations. | [CORE] |
| ყალბი | q'albi | Basic root for counterfeit/fake | false, fake, counterfeit, forged | Primarily used to describe objects or representations that are counterfeit, forged, or inauthentic. Also extends to false statements or deceptive appearances, particularly when deliberate fabrication is implied. | [CORE] |
| ნამდვილი | namdvili | Related to root meaning "real/actual" | real, genuine, actual, true | Emphasizes authenticity and reality, distinguishing genuine items from imitations or false representations. Used for both concrete objects (genuine article) and abstract evaluations (real truth). | [CORE] |
| სწორი | sc'ori | Root meaning "straight, correct" | correct, right, proper, accurate | Denotes correctness, accuracy, or propriety in statements, actions, or arrangements. Commonly used for factual correctness (correct answer) and proper conduct or arrangement. | [CORE] |
| უტყუარი | uṭq'uari | u- (without) + ṭq'u- (lie) + -ari (adjectival suffix) | truthful, honest, infallible | Describes persons or sources as truthful, not given to lying, or statements/methods as infallible. Used to characterize reliability and trustworthiness. | [CORE] |
| ზუსტი | zusti | Root related to precision | precise, accurate, exact | Emphasizes precision and exactness in measurements, statements, or representations. Used when accuracy of detail or correspondence is at issue. | [CORE] |
| მცდარი | mcdari | From root mcdar- (err, mistake) | false, erroneous, mistaken, wrong | Describes statements, beliefs, or judgments as incorrect or mistaken. Implies error rather than deliberate deception, though used broadly for any false claim. | [CORE] |
| სანდო | sando | From root nd- (trust) with sa- prefix | reliable, trustworthy, credible | Characterizes persons, sources, or information as worthy of trust or belief. Focuses on reliability and credibility rather than truth per se. | [CORE] |
| ნამდვილად | namdvilad | Adverbial form of namdvili (real/genuine) | really, truly, actually, indeed | Adverbial form used to emphasize the reality or truth of a statement. Functions as an intensifier affirming genuine correspondence to fact. | [CORE] |
| მოტყუება | moṭq'ueba | mo- (verbal prefix) + ṭq'u- (lie) + -eba (verbal noun suffix) | deception, deceit, fraud, cheating | Denotes the act of deceiving or the state of being deceived. Used across contexts from interpersonal deception to fraud and misrepresentation. | [CORE] |
| ჭეშმარიტება | č'ešmarit'eba | Nominalized form of č'ešmarit'i (true/genuine) | truth, veracity, authenticity | Abstract noun denoting truth or authenticity as a quality or state. Often used in philosophical or formal contexts to discuss truth as a concept. | [CORE] |
| სიყალბე | siq'albe | Nominalized form of q'albi (false/fake) | falseness, fakeness, counterfeit nature | Abstract noun denoting the quality of being false, fake, or counterfeit. Used to characterize the nature of deceptive or inauthentic things. | [CORE] |
| რეალური | realuri | Borrowed from European languages (real) | real, actual | Borrowed term emphasizing reality or actuality. Used similarly to namdvili but often in more modern or technical contexts. | [CORE] |
| ობიექტური | obiekṭuri | Borrowed from European languages (objective) | objective, impartial | Borrowed term used in formal, academic, or technical contexts to describe statements or evaluations as objective or unbiased. Contrasts with subjective perspectives. | [CORE] |
| სუბიექტური | subiekṭuri | Borrowed from European languages (subjective) | subjective, personal | Borrowed term characterizing statements or evaluations as based on personal perspective rather than objective reality. Common in academic and formal discourse. | [CORE] |
| ფაქტი | pakṭi | Borrowed from European languages (fact) | fact | Borrowed term denoting an established or verified piece of information. Used to distinguish factual claims from opinions or interpretations. | [CORE] |
| ვერიფიცირება | veripicicreba | Borrowed from European languages (verification) | verification | Borrowed technical term for the process of verifying or confirming truth or accuracy. Used primarily in formal, technical, or administrative contexts. | [MARGINAL] |
| დამოწმება | damoc'meba | da- (prefix) + moc'me (witness) + -eba (verbal noun) | verification, attestation, witnessing | Denotes the act of verifying, attesting, or bearing witness to something. Used in legal and formal contexts for confirmation of truth or authenticity. | [CORE] |
| ნაღდი | naɣdi | Root related to "clear/evident" | evident, clear, obvious, manifest | Describes something as clearly evident or manifest. Used when truth or reality is apparent and undeniable. | [CORE] |
| ცრუ | cru | Basic root for false/vain | false, vain, futile | Describes statements, hopes, or things as false, vain, or without substance. Often carries connotations of emptiness or futility beyond mere incorrectness. | [CORE] |
| ბუნებრივი | bunebrivi | From buneba (nature) + -ivi (adjectival suffix) | natural, genuine, authentic | Characterizes things as natural or genuine, in accordance with their true nature. Used to distinguish authentic from artificial or contrived. | [CORE] |
| ხელოვნური | xelovnuri | From xelovneba (art/craft) + -uri (adjectival suffix) | artificial, man-made, synthetic | Describes things as artificial or man-made, contrasting with natural or genuine. Used for both physical objects and contrived situations or behaviors. | [CORE] |
| მართებული | mart'ebuli | mart'- (right/correct) + -ebul- (participial suffix) + -i (adjectival) | correct, proper, appropriate | Used to describe actions, statements, or decisions as correct or appropriate. Common in formal and everyday contexts when evaluating the propriety or correctness of conduct or claims. | [CORE] |
