# F6 — NATURALNESS TABLE
# Language: Indonesian (id)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | menjadi benar | menjadi benar | NATURAL | Standard inchoative construction with *menjadi* "to become." Used when something that was false or incorrect becomes true or correct. Common in contexts of verification or correction. |
| 1.2 | menjadi kenyataan | menjadi kenyataan | NATURAL | Fixed collocation, extremely common. Preferred over *menjadi nyata* for abstract realization of hopes, dreams, or predictions. Very frequent in narrative and aspirational contexts. |
| 1.3 | menjadi nyata | menjadi nyata | NATURAL | Used for concrete realization or manifestation of something previously abstract or potential. Less common than *menjadi kenyataan* for abstract concepts. |
| 1.4 | ternyata benar | ternyata benar | NATURAL | Evidential construction marking discovery that something is true, often contrary to prior belief or expectation. Very common discourse pattern. |
| 1.5 | terbukti benar | terbukti benar | NATURAL | Marks demonstrated truth through evidence or proof. Common in investigative and legal contexts. |
| 1.6 | berubah menjadi benar | berubah menjadi benar | NATURAL | Emphasizes transformation from false to true state. *Berubah* "to change" adds emphasis on the transformation process. |
| 2.1 | menjadi salah | menjadi salah | NATURAL | Standard inchoative construction. Used when something correct becomes wrong, or when an action results in error. |
| 2.2 | ternyata salah | ternyata salah | NATURAL | Evidential construction marking discovery of error, often contrary to prior belief. Very common discourse pattern. |
| 2.3 | terbukti salah | terbukti salah | NATURAL | Marks demonstrated incorrectness through evidence. Common in investigative and argumentative contexts. |
| 2.4 | terbukti bohong | terbukti bohong | NATURAL | Specifically marks demonstrated falsehood or deception. Stronger moral judgment than *terbukti salah*. |
| 2.5 | ternyata bohong | ternyata bohong | NATURAL | Evidential construction marking discovery of deception. Common in contexts of betrayal or revelation. |
| 2.6 | berubah menjadi salah | berubah menjadi salah | NATURAL | Emphasizes transformation from correct to incorrect state. Less common than simple *menjadi salah*. |
| 3.1 | menjadi asli | menjadi asli | MARGINAL | Rare construction; authenticity is typically inherent rather than acquired. More common to verify existing authenticity than to "become" authentic. Limited natural usage; *terbukti asli* "proven genuine" is more common. |
| 3.2 | terbukti asli | terbukti asli | NATURAL | Common construction for verification of authenticity. Used in commercial and forensic contexts. |
| 3.3 | ternyata asli | ternyata asli | NATURAL | Evidential construction marking discovery of authenticity, often after suspicion or doubt. |
| 4.1 | menjadi palsu | menjadi palsu | MARGINAL | Rare; fakeness is typically inherent (created as fake) rather than acquired. More common to discover existing fakeness. Very limited natural usage. |
| 4.2 | terbukti palsu | terbukti palsu | NATURAL | Common construction for verification of fakeness. Used in forensic and commercial contexts. |
| 4.3 | ternyata palsu | ternyata palsu | NATURAL | Evidential construction marking discovery of fakeness, often after assuming authenticity. |
| 5.1 | menjadi jujur | menjadi jujur | NATURAL | Used for character transformation or change in behavior from dishonest to honest. Common in moral narratives. |
| 5.2 | menjadi lebih jujur | menjadi lebih jujur | NATURAL | Indicates gradual improvement in honesty. Common in developmental and therapeutic contexts. |
| 5.3 | mulai jujur | mulai jujur | NATURAL | Marks inception of honest behavior. *Mulai* "to begin" indicates the starting point of change. |
| 6.1 | menjadi pembohong | menjadi pembohong | NATURAL | Character transformation from honest to dishonest. Strong negative moral judgment. |
| 6.2 | menjadi tidak jujur | menjadi tidak jujur | NATURAL | Behavioral change toward dishonesty. Less severe judgment than *menjadi pembohong*. |
| 6.3 | mulai bohong | mulai bohong | NATURAL | Marks inception of deceptive behavior. Common in narratives of moral decline. |
