| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | NP + prove true / turn out true / become true; also come true | N/A | clear and common | English has clear and common dynamic expressions for later confirmation that something is true. *Prove true* is common for claims, rumors, suspicions, and reports. *Come true* is especially fixed for predictions, hopes, fears, wishes, and dreams. *Become true* is possible, but less idiomatic than *come true* or *prove true* in many cases. |
| 2 | NP + become real / be made real / make real | N/A | allows dynamic uses | English allows dynamic uses with *real*, especially where something moves from idea, possibility, or appearance into actuality. *Become real* is natural. *Make real* is attested, but more limited and somewhat more formal or stylistically marked than everyday alternatives outside the provided vocabulary. |
| 3 | NP + become valid / be valid / prove valid / hold true | N/A | can encode entry into a state of validity | English can encode entry into a state of validity with *become valid*, though this is more domain-specific than *prove true*. *Prove valid* is possible in formal or analytical contexts. *Hold true* is dynamic in the sense of continued applicability, but it expresses stability more than change. |
| 4 | NP + become right / be right / get it right / set right / put right | N/A | does not strongly favor NP + become right | English does not strongly favor **NP + become right** for many truth-evaluative contexts, though it is possible in limited cases. More natural dynamic expressions are often achievement or correction expressions such as *get it right*, *set right*, and *put right*. These are especially common for answers, reports, interpretations, and situations needing correction. |
| 5 | NP + become accurate / exact / precise | N/A | possible and natural | These patterns are possible and natural when something is revised or improved. However, the most common dynamic use is often comparative, especially with *accurate* and *precise*. No strongly fixed idiom from the context parallels *come true* here. |
| 6 | NP + become genuine / authentic / real | N/A | does not strongly favor everyday inchoative expressions like become authentic or become genuine | English does not strongly favor everyday inchoative expressions like **become authentic** or **become genuine** for many ordinary cases. Instead, the language often uses a causative lexical verb in authenticity contexts: *authenticate*. For *real*, dynamic use is much more natural than for *genuine* or *authentic*. |
| 7 | NP + become untrue / not true | N/A | does not strongly favor a common dynamic expression like become untrue | English has clear negative attribution (*not true*, *untrue*), but it does not strongly favor a common dynamic expression like **become untrue** in ordinary usage. For change into the opposed state, no especially common fixed expression is identified in the provided context. |
| 8 | NP + become incorrect / inaccurate / invalid | N/A | possible | These are possible, but they differ in naturalness. *Become invalid* is common and natural in legal, procedural, and technical contexts. *Become inaccurate* is possible for descriptions, records, or models. *Become incorrect* is possible, but often less idiomatic than direct negative attribution or correction expressions. |
| 9 | NP + become unreliable / untrustworthy / incredible | N/A | become unreliable is natural | *Become unreliable* is natural for sources, methods, systems, or instruments. *Become untrustworthy* is possible for persons or institutions, though often more evaluative and less neutral. For *incredible* in the sense “not credible,” dynamic use is much less natural, especially because *incredible* often shifts toward “astonishing” in modern English. |
| 10 | Y + prove + NP + true | N/A | one of the clearest causative-like constructions | This is one of the clearest causative-like constructions in the domain. It does not mean that Y makes the claim true in the world; rather, Y establishes or shows it to be true. English does not have one general productive verb meaning “cause to be true” across all truth-related meanings in the provided vocabulary. |
| 11 | Y + set + NP + right / put + NP + right / correct + NP | N/A | commonly uses | English commonly uses *set right* and *put right* for correction. These are dynamic and causative: someone causes a mistaken statement, account, or situation to become right. *Correct* is the main lexical verb for this domain. |
| 12 | Y + authenticate + NP | N/A | main causative verb in the authenticity domain | This is the main causative verb in the authenticity domain from the provided context. As with *prove true*, it usually means establishing or verifying authenticity, not literally transforming a fake object into a genuine one. |
| 13 | Y + validate + NP / invalidate + NP | N/A | especially common | *Invalidate* is clearly attested in the context and is a strong dynamic verb for causing loss of validity. *Validate* is mentioned in P4a as a lexical causative, so it belongs here as well. These are especially common in legal, logical, scientific, and procedural settings. |
| 14 | NP + hold true / be true of | N/A | clearest stability expression | *Hold true* is the clearest stability expression in the provided material. It encodes continued truth or continued applicability over time or across cases. This is especially common in science, generalization, and argumentation. |
| 15 | NP + be faithful to / remain faithful to / be true to | N/A | encode stability of fidelity rather than propositional truth | These constructions encode stability of fidelity rather than propositional truth. They are dynamic in the sense of persistence across time. *Remain faithful to* is especially clear for continued fidelity. *Be true to* also works for principles, style, promises, or oneself. |
| 16 | NP + remain valid / be valid for / valid until | N/A | commonly marks temporal stability of validity | English commonly marks temporal stability of validity with *valid until* and continued status with *remain valid*. This is narrower and more institutional than *hold true*. |
| 17 | NP + ring true / seem credible / seem genuine / have a ring of truth | N/A | dynamic in discourse | These are dynamic in discourse because they encode an evaluation reached by a speaker, often before full verification. They do not mark actual change in the object itself, but a judgment of plausibility, authenticity, or believability. |
| 18 | No common expression identified | N/A | no single general dynamic system | English does not use one unified dynamic verb across the whole truth-related domain. Instead, it uses different constructions for different subdomains: **prove true / come true** for truth-confirmation; **get it right / set right / put right / correct** for correction; **authenticate** for authenticity; **validate / invalidate** for validity; **hold true / remain faithful / remain valid** for stability. |
